62016CJ0267,Judgment of the Court (Grand Chamber) of 23 January 2018,Grand Chamber,Albert Buhagiar and Others v Minister for Justice,Request for a preliminary ruling from the Supreme Court of Gibraltar,Reference for a preliminary ruling — Territorial scope of EU law — Article 355(3) TFEU — Act concerning the Conditions of Accession of the Kingdom of Denmark; Ireland and the United Kingdom of Great Britain and Northern Ireland and the Adjustments to the Treaties — Article 29 — Point 4 of Section I of Annex I — Exclusion of Gibraltar from the customs territory of the European Union — Implications — Directive 91/477/EEC — Article 1(4) — Article 12(2) — Annex II — European firearms pass — Hunting and target shooting activities — Applicability to the territory of Gibraltar — Obligation to transpose — No such obligation — Validity,Case C-267/16,ECLI identifier: ECLI:EU:C:2018:26,13/05/2016,23/01/2018,United Kingdom,Ilešič,Mengozzi,ADH
62016CJ0281,Judgment of the Court (Fourth Chamber) of 19 October 2017,Fourth Chamber,Vereniging Hoekschewaards Landschap v Staatssecretaris van Economische Zaken,Request for a preliminary ruling from the Raad van State,Reference for a preliminary ruling — Directive 92/43/EEC — Conservation of natural habitats and of wild fauna and flora — Implementing Decision (EU) 2015/72 — List of sites of Community importance for the Atlantic biogeographical region — Reduction of the size of a site — Scientific error — Validity,Case C-281/16,ECLI identifier: ECLI:EU:C:2017:774,20/05/2016,19/10/2017,Netherlands,Lycourgos,Kokott,ADH
62014CJ0409,Judgment of the Court (Fifth Chamber) of 8 September 2016,Fifth Chamber,Schenker Nemzetközi Szállítmányozási és Logisztikai Kft, v Nemzeti Adó- és Vámhivatal Észak-alföldi Regionális Vám- és Pénzügyőri Főigazgatósága,Reference for a preliminary ruling — Common Customs Tariff — Combined Nomenclature — Classification of goods — Interpretation of a subheading of the Combined Nomenclature — Directive 2008/118/EC — Importation of excise goods — Customs suspensive procedure or arrangement — Effects of a customs declaration referring to an incorrect subheading of the Combined Nomenclature — Irregularities during the movement of excise goods,Case C-409/14,ECLI identifier: ECLI:EU:C:2016:643,28/08/2014,08/09/2016,Hungary,Borg Barthet,Kokott,ADH
62013CJ0660,Judgment of the Court (Grand Chamber) of 28 July 2016,Grand Chamber,Council of the European Union v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-660/13,ECLI identifier: ECLI:EU:C:2016:616,13/12/2013,28/07/2016,,von Danwitz,Sharpston,ADH
62014CJ0103,Judgment of the Court (Fourth Chamber) of 12 November 2015,Fourth Chamber,Bronius Jakutis and Kretingalės kooperatinė ŽŪB v Nacionalinė mokėjimo agentūra prie Žemės ūkio ministerijos and Lietuvos valstybė,Request for a preliminary ruling from the Vilniaus apygardos administracinis teismas,Reference for a preliminary ruling — Agriculture — Regulation (EC) No 73/2009 — Articles 7(1); 10(1); 121 and 132(2) — Acts implementing that regulation — Validity; in the light the TFEU Treaty; the 2003 Act of Accession and the principles of non-discrimination; legal certainty; the protection of legitimate expectations and sound administration — Modulation of direct payments granted to farmers — Reduction of the amounts — Level of direct payments applicable in the Member States of the European Community as constituted on 30 April 2004 and in the Member States that joined it on 1 May 2004 — No publication and no statement of reasons,Case C-103/14,ECLI identifier: ECLI:EU:C:2015:752,04/03/2014,12/11/2015,Lithuania,Safjan,Wahl,ADH
62013CJ0586,Judgment of the Court (Fourth Chamber) of 18 June 2015,Fourth Chamber,Martin Meat kft v Géza Simonfay and Ulrich Salburg,Request for a preliminary ruling from the Pesti Központi Kerületi Bíróság,Reference for a preliminary ruling — Freedom to provide services — Directive 96/71/EC — Article 1(3)( a) and (c) — Posting of workers — Hiring out of workers — Act of Accession of 2003 — Chapter 1; paragraphs 2 and 13 of Annexe X — Transitional measures — Access of Hungarian nationals to the labour market of States already members of the European Union at the date of accession to the European Union of the Republic of Hungary — Requirement of a work permit for the hiring out of workers — Non-sensitive sectors,Case C-586/13,ECLI identifier: ECLI:EU:C:2015:405,20/11/2013,18/06/2015,Hungary,Jürimäe,Sharpston,ADH
62013CJ0539,Judgment of the Court (Third Chamber) of 12 February 2015,Third Chamber,Merck Canada Inc,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-539/13,ECLI identifier: ECLI:EU:C:2015:87,14/10/2013,12/02/2015,United Kingdom,Fernlund,Jääskinen,ADH
62011CJ0262,Judgment of the Court (Second Chamber); 29 November 2012,Second Chamber,Kremikovtzi AD v Ministar na ikonomikata; energetikata i turizma i zamestnik-ministar na ikonomikata; energetikata i turizma,Reference for a preliminary ruling from the Administrativen sad Sofia-grad,Accession of the Republic of Bulgaria to the European Union — EC‑Bulgaria Association Agreement — Steel sector — Public aid for reconstruction granted prior to accession — Conditions — Viability of the recipients at the end of the restructuring period — Declaration of insolvency of a recipient following accession — Respective powers of the national authorities and the European Commission — National decision finding the existence of a public debt in the form of aid which has become unlawful — Decision EU‑BG No 3/2006 — Annex V to the Act of Accession — Aid applicable following accession — Council Regulation (EC) No 659/1999 — Existing aid,Case C‑262/11,ECLI identifier: ECLI:EU:C:2012:760,26/05/2011,29/11/2012,Bulgaria,Ó Caoimh,Cruz Villalón,ADH
62011CJ0471,Judgment of the Court (Sixth Chamber); 6 September 2012,Sixth Chamber,Cido Grupa SIA v Valsts ieņēmumu dienests,Reference for a preliminary ruling from the Augstākās Tiesas Senāts,Accession of new Member States — Transitional measures — Agricultural products — Sugar — Regulation (EC) No 60/2004 — Basis of assessment and rate applicable for the charge on surplus stocks,Case C‑471/11,ECLI identifier: ECLI:EU:C:2012:555,14/09/2011,06/09/2012,Latvia,Fernlund,Kokott,ADH
62011CJ0146,Judgment of the Court (Second Chamber) of 12 July 2012,Second Chamber,  AS Pimix v Maksu- ja Tolliameti Lõuna maksu- ja tollikeskus and Põllumajandusministeerium,  Reference for a preliminary ruling: Riigikohus - Estonia,  Accession of new Member States - Setting the charge on surplus stocks of agricultural products - Reference; in a provision of national law; to a provision of a European Union regulation not duly published in the Official Journal of the European Union in the language of the Member State in question,  Case C-146/11,ECLI identifier: ECLI:EU:C:2012:450,25/03/2011,12/07/2012,Estonia,Fernlund,Trstenjak,ADH
62009CJ0336,Judgment of the Court (Grand Chamber); 26 June 2012,Grand Chamber,Republic of Poland v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-336/09 P,ECLI identifier: ECLI:EU:C:2012:386,24/08/2009,26/06/2012,Poland,Kasel,Cruz Villalón,ADH
62011CJ0015,Judgment of the Court (Fourth Chamber); 21 June 2012,Fourth Chamber,Leopold Sommer v Landesgeschäftsstelle des Arbeitsmarktservice Wien,Reference for a preliminary ruling from the Verwaltungsgerichtshof (Austria),Accession of new Member States — Republic of Bulgaria — Member State legislation making the grant of a work permit to Bulgarian nationals subject to an examination of the situation of the labour market — Directive 2004/114/EC — Conditions of admission of third‑country nationals for the purposes of studies; pupil exchange; unremunerated training or voluntary service,Case C‑15/11,ECLI identifier: ECLI:EU:C:2012:371,12/01/2011,21/06/2012,Austria,Bay Larsen,Jääskinen,ADH
62010CJ0017,Judgment of the Court (Grand Chamber); 14 February 2012,Grand Chamber,Toshiba Corporation and Others v Úřad pro ochranu hospodářské soutěže,Reference for a preliminary ruling from the Krajský soud v Brně,Competition — Cartel; in the territory of a Member State; having begun before that State acceded to the European Union — Cartel of international scope having effects in the territory of the Union and the European Economic Area — Article 81 EC and Article 53 of the EEA Agreement — Prosecution and penalty for the infringement for the period before the date of accession and the period following that date — Fines — Delimitation of the powers of the Commission and those of the national competition authorities — Imposition of fines by the Commission and by the national competition authority — Principle ne bis in idem — Regulation (EC) No 1/2003– Articles 3(1) and 11(6) — Consequences of the accession of a new Member State to the Union,Case C‑17/10,ECLI identifier: ECLI:EU:C:2012:72,11/01/2010,14/02/2012,Czech Republic,Rosas,Kokott,ADH
62009CJ0410,Judgment of the Court (Second Chamber) of 12 May 2011,Second Chamber,  Polska Telefonia Cyfrowa sp,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-410/09,ECLI identifier: ECLI:EU:C:2011:294,28/10/2009,12/05/2011,Poland,Lindh,Cruz Villalón,ADH
62009CJ0307,Judgment of the Court (Second Chamber) of 10 February 2011,Second Chamber,Vicoplus SC PUH (C-307/09); BAM Vermeer Contracting sp,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined cases C-307/09; C-308/09 and C-309/09,ECLI identifier: ECLI:EU:C:2011:64,03/08/2009,10/02/2011,Netherlands,Lõhmus,Bot,ADH
62008CJ0385,Judgment of the Court (Fourth Chamber) of 22 December 2010,Fourth Chamber,European Commission v Republic of Poland,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-385/08,ECLI identifier: ECLI:EU:C:2010:801,02/09/2008,22/12/2010,Poland,Prechal,Jääskinen,ADH
62008CJ0350,Judgment of the Court (First Chamber) of 28 October 2010,First Chamber,European Commission v Republic of Lithuania,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-350/08,ECLI identifier: ECLI:EU:C:2010:642,29/07/2008,28/10/2010,Lithuania,Tizzano,Sharpston,ADH
62009CJ0248,Judgment of the Court (First Chamber) of 29 July 2010,First Chamber,  Pakora Pluss SIA v Valsts ieņēmumu dienests,  Reference for a preliminary ruling: Augstākās tiesas Senāts Administratīvo lietu departaments - Latvia,  Act of Accession to the European Union - Customs union - Transitional measures - Goods free from customs duties when entered for free circulation - Goods in transport in the enlarged Community on the date of accession of the Republic of Latvia - Export formalities - Import duties - VAT,  Case C-248/09,ECLI identifier: ECLI:EU:C:2010:457,07/07/2009,29/07/2010,Latvia,Safjan,Mengozzi,ADH
62008CJ0140,Judgment of the Court (Third Chamber) of 29 October 2009,Third Chamber,Rakvere Lihakombinaat AS v Põllumajandusministeerium and Maksu- ja Tolliameti Ida maksu- ja tollikeskus,Reference for a preliminary ruling: Tallinna Halduskohus - Estonia,Common Customs Tariff - Combined Nomenclature - Tariff classification - Frozen cuts or offal of cocks and hens - Accession of Estonia - Transitional measures - Agricultural products - Surplus stocks - Regulation (EC) No 1972/2003,Case C-140/08,ECLI identifier: ECLI:EU:C:2009:667,07/04/2008,29/10/2009,Estonia,Lindh,Ruiz-Jarabo Colomer,ADH
62007CJ0560,Judgment of the Court (Third Chamber) of 4 June 2009,Third Chamber,Balbiino AS v Põllumajandusminister and Maksu- ja Tolliameti Põhja maksu- ja tollikeskus,Reference for a preliminary ruling: Tallinna halduskohus - Estonia,Accession of Estonia - Transitional measures - Agricultural products - Sugar - Surplus stocks - Regulations (EC) Nos 1972/2003; 60/2004 and 832/2005,Case C-560/07,ECLI identifier: ECLI:EU:C:2009:341,18/12/2007,04/06/2009,Estonia,Lindh,Ruiz-Jarabo Colomer,ADH
62007CJ0420,Judgment of the Court (Grand Chamber) of 28 April 2009,Grand Chamber,Meletis Apostolides v David Charles Orams and Linda Elizabeth Orams,Reference for a preliminary ruling: Court of Appeal (England & Wales) (Civil Division) - United Kingdom,Reference for a preliminary ruling - Protocol No 10 on Cyprus - Suspension of the application of the acquis communautaire in the areas falling outside the effective control of the Cypriot Government - Regulation (EC) No 44/2001 - Jurisdiction and the recognition and enforcement of judgments in civil and commercial matters - Judgment given by a Cypriot court sitting in the area effectively controlled by the Cypriot Government and concerning immovable property situated outside that area - Articles 22(1); 34(1) and (2); 35(1) and 38(1) of that regulation,Case C-420/07,ECLI identifier: ECLI:EU:C:2009:271,13/09/2007,28/04/2009,United Kingdom,Silva de Lapuerta,Kokott,ADH
62006CJ0161,Judgment of the Court (Grand Chamber) of 11 December 2007,Grand Chamber,Skoma-Lux sro v Celní ředitelství Olomouc,Reference for a preliminary ruling: Krajský soud v Ostravě - Czech Republic,Act concerning the conditions of accession to the European Union - Article 58 - Community legislation - No translation into the language of a Member State - Enforceability,Case C-161/06,ECLI identifier: ECLI:EU:C:2007:773,24/03/2006,11/12/2007,Czech Republic,Bonichot,Kokott,ADH
62006CJ0184,Judgment of the Court (Sixth Chamber) of 13 December 2007,Sixth Chamber,  Kingdom of Spain v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-184/06,ECLI identifier: ECLI:EU:C:2007:782,10/04/2006,13/12/2007,Spain,Kūris,Bot,ADH
62005CJ0141,Judgment of the Court (Third Chamber) of 8 November 2007,Third Chamber,  Kingdom of Spain v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-141/05,ECLI identifier: ECLI:EU:C:2007:653,29/03/2005,08/11/2007,Spain,Lindh,Bot,ADH
62004CJ0273,Judgment of the Court (Grand Chamber) of 23 October 2007,Grand Chamber,  Republic of Poland v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-273/04,ECLI identifier: ECLI:EU:C:2007:622,28/06/2004,23/10/2007,Poland,Silva de Lapuerta,Poiares Maduro,ADH
62004CJ0134,Judgment of the Court (Seventh Chamber) of 19 April 2007,Seventh Chamber,  Kingdom of Spain v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-134/04,ECLI identifier: ECLI:EU:C:2007:222,12/03/2004,19/04/2007,Spain,Lindh,Bot,ADH
62004CJ0414,Judgment of the Court (Grand Chamber) of 28 November 2006,Grand Chamber,  European Parliament v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-414/04,ECLI identifier: ECLI:EU:C:2006:742,23/09/2004,28/11/2006,,Schiemann,Geelhoed,ADH
62004CJ0413,Judgment of the Court (Grand Chamber) of 28 November 2006,Grand Chamber,  European Parliament v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-413/04,ECLI identifier: ECLI:EU:C:2006:741,23/09/2004,28/11/2006,,Schiemann,Geelhoed,ADH
62005CJ0140,Judgment of the Court (Second Chamber) of 5 October 2006,Second Chamber,Amalia Valeško v Zollamt Klagenfurt,Reference for a preliminary ruling: Unabhängiger Finanzsenat; Außenstelle Klagenfurt - Austria,Act of Accession to the European Union - Transitional measures - Annex XIII - Taxation - Cigarettes imported from Slovenia - Import into Austria in travellers' personal luggage - Exemption from excise duty limited to certain quantities - Possibility of maintaining until 31 December 2007 the quantitative limits applied to imports from third countries - Directive 69/169/EEC,Case C-140/05,ECLI identifier: ECLI:EU:C:2006:647,25/03/2005,05/10/2006,Austria,Timmermans,Poiares Maduro,ADH
62003CJ0087,Judgment of the Court (Third Chamber) of 30 March 2006,Third Chamber,  Kingdom of Spain v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-87/03 and C-100/03,ECLI identifier: ECLI:EU:C:2006:207,27/02/2003,30/03/2006,Spain,von Bahr,Léger,ADH
62002CJ0293,Judgment of the Court (Grand Chamber) of 8 November 2005,Grand Chamber,  Jersey Produce Marketing Organisation Ltd v States of Jersey and Jersey Potato Export Marketing Board,  Reference for a preliminary ruling: Royal Court of Jersey - Channel Islands,  Legislation on the export of potatoes from Jersey to the United Kingdom - 1972 Act of Accession - Protocol No 3 on the Channel Islands and the Isle of Man - Regulation No 706/73 - Articles 23 EC; 25 EC and 29 EC - Charges having an effect equivalent to customs duties - Measures having an effect equivalent to quantitative restrictions,  Case C-293/02,ECLI identifier: ECLI:EU:C:2005:664,13/08/2002,08/11/2005,United Kingdom,Colneric,Léger,ADH
62003CJ0349,Judgment of the Court (Grand Chamber) of 21 July 2005,Grand Chamber,  Commission of the European Communities v United Kingdom of Great Britain and Northern Ireland,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-349/03,ECLI identifier: ECLI:EU:C:2005:488,07/08/2003,21/07/2005,United Kingdom,Colneric,Tizzano,ADH
62001CJ0356,Judgment of the Court (Sixth Chamber) of 20 November 2003,Sixth Chamber,  Republic of Austria v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-356/01,ECLI identifier: ECLI:EU:C:2003:630,20/09/2001,20/11/2003,Austria,Cunha Rodrigues,Mischo,ADH
62001CJ0030,Judgment of the Court of 23 September 2003,,  Commission of the European Communities v United Kingdom,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-30/01,ECLI identifier: ECLI:EU:C:2003:489,24/01/2001,23/09/2003,United Kingdom,Colneric,Tizzano,ADH
62000CJ0445,Judgment of the Court of 11 September 2003,,  Republic of Austria v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-445/00,ECLI identifier: ECLI:EU:C:2003:445,04/12/2000,11/09/2003,Austria,Cunha Rodrigues,Mischo,ADH
