62016CJ0244,Judgment of the Court (Grand Chamber) of 13 March 2018,Grand Chamber,Industrias Químicas del Vallés; SA v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-244/16 P,ECLI identifier: ECLI:EU:C:2018:177,27/04/2016,13/03/2018,Spain,Regan,Wathelet,AGRI
62016CJ0384,Judgment of the Court (Grand Chamber) of 13 March 2018,Grand Chamber,European Union Copper Task Force v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-384/16 P,ECLI identifier: ECLI:EU:C:2018:176,11/07/2016,13/03/2018,United Kingdom,Regan,Wathelet,AGRI
62016CJ0266,Judgment of the Court (Grand Chamber) of 27 February 2018,Grand Chamber,Western Sahara Campaign UK v Commissioners for Her Majesty's Revenue and Customs and Secretary of State for Environment; Food and Rural Affairs,Request for a preliminary ruling from the High Court of Justice (England & Wales); Queen's Bench Division (Administrative Court),Reference for a preliminary ruling — Fisheries Partnership Agreement between the European Community and the Kingdom of Morocco — Protocol setting out the fishing opportunities provided for by the agreement — Acts approving the conclusion of the agreement and of the protocol — Regulations allocating among the Member States the fishing opportunities set out by the protocol — Jurisdiction — Interpretation — Validity having regard to Article 3(5) TEU and international law — Applicability of that agreement and that protocol to the territory of Western Sahara and the waters adjacent thereto,Case C-266/16,ECLI identifier: ECLI:EU:C:2018:118,13/05/2016,27/02/2018,United Kingdom,Malenovský,Wathelet,AGRI
62015CJ0433,Judgment of the Court (Fourth Chamber) of 24 January 2018,Fourth Chamber,European Commission v Italian Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-433/15,ECLI identifier: ECLI:EU:C:2018:31,06/08/2015,24/01/2018,Italy,Juhász,Sharpston,AGRI
62016CJ0516,Judgment of the Court (Seventh Chamber) of 20 December 2017,Seventh Chamber,Erzeugerorganisation Tiefkühlgemüse eGen v Agrarmarkt Austria,Request for a preliminary ruling from the Bundesverwaltungsgericht,Reference for a preliminary ruling — Agriculture — Common organisation of the markets — Operational programme in the fruit and vegetables sector — Regulation (EC) No 1234/2007; as amended by Regulation (EC) No 361/2008 — Articles 103b; 103d and 103g — EU financial aid — Regulation (EU) No 543/2011 — Article 60 and point 23 of Annex IX — Investments on the holdings and/or premises of the producer organisations — Concept — Legitimate expectations — Legal certainty,Case C-516/16,ECLI identifier: ECLI:EU:C:2017:1011,03/10/2016,20/12/2017,Austria,Jarašiūnas,Campos Sánchez-Bordona,AGRI
62016CJ0492,Judgment of the Court (Second Chamber) of 20 December 2017,Second Chamber,Incyte Corporation v Szellemi Tulajdon Nemzeti Hivatala,Request for a preliminary ruling from the Fővárosi Törvényszék,Reference for a preliminary ruling — Intellectual and industrial property — Patents — Medicinal products for human use — Regulation (EC) No 469/2009 — Article 18 — Plant-protection products — Regulation (EC) No 1610/96 — Article 17(2) — Supplementary protection certificate — Duration — Fixing the date of expiry — Consequences of a judgment of the Court — Possibility or requirement to rectify the date of expiry,Case C-492/16,ECLI identifier: ECLI:EU:C:2017:995,14/09/2016,20/12/2017,Hungary,Toader,Bot,AGRI
62016CJ0268,Judgment of the Court (Fourth Chamber) of 20 December 2017,Fourth Chamber,Binca Seafoods GmbH v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-268/16 P,ECLI identifier: ECLI:EU:C:2017:1001,11/05/2016,20/12/2017,Germany,Juhász,Bobek,AGRI
62016CJ0393,Judgment of the Court (Second Chamber) of 20 December 2017,Second Chamber,Comité Interprofessionnel du Vin de Champagne v Aldi Süd Dienstleistungs-GmbH & Co,OHG; represented by Aldi Süd Dienstleistungs-GmbH,Reference for a preliminary ruling — Common organisation of the markets in agricultural products — Protection of protected designations of origin (PDOs) — Regulation (EC) No 1234/2007 — Article 118m(2)(a)(ii); (b) and (c) — Regulation (EU) No 1308/2013 — Article 103(2)(a)(ii); (b) and (c) — Scope — Exploitation of the reputation of a PDO — Misuse; imitation or evocation of a PDO — False or misleading indication — PDO ‘Champagne’ used in the name of a foodstuff — The name ‘Champagner Sorbet’ — Foodstuff containing champagne as an ingredient — Ingredient conferring on the foodstuff an essential characteristic,Case C-393/16,ECLI identifier: ECLI:EU:C:2017:991,14/07/2016,20/12/2017,Germany,Jarašiūnas,Campos Sánchez-Bordona,AGRI
62015CJ0671,Judgment of the Court (Grand Chamber) of 14 November 2017,Grand Chamber,Président de l’Autorité de la concurrence v Association des producteurs vendeurs d’endives (APVE) and Others,Request for a preliminary ruling from the Cour de cassation (France),Reference for a preliminary ruling — Common agricultural policy — Article 42 TFEU — Regulation (EC) No 2200/96 — Regulation (EC) No 1182/2007 — Regulation (EC) No 1234/2007 — Anticompetitive practices — Article 101 TFEU — Regulation No 26 — Regulation (EC) No 1184/2006 — Producer organisations — Associations of producer organisations — Responsibilities of those organisations and associations — Practice of fixing minimum sale prices — Practice of concertation on quantities placed on the market — Practice of exchanges of strategic information — French endive market,Case C-671/15,ECLI identifier: ECLI:EU:C:2017:860,14/12/2015,14/11/2017,France,Šváby,Wahl,AGRI
62016CJ0383,Judgment of the Court (Third Chamber) of 19 October 2017,Third Chamber,Vion Livestock BV v Staatssecretaris van Economische Zaken,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-383/16,ECLI identifier: ECLI:EU:C:2017:783,11/07/2016,19/10/2017,Netherlands,Šváby,Wahl,AGRI
