62015CJ0075,Judgment of the Court (Second Chamber) of 21 January 2016,Second Chamber,Viiniverla Oy v Sosiaali- ja terveysalan lupa- ja valvontavirasto,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-75/15,ECLI identifier: ECLI:EU:C:2016:35,19/02/2015,21/01/2016,Finland,Ilešič,Mengozzi,ALCO
61990CJ0201,Judgment of the Court (First Chamber) of 15 May 1991,First Chamber,  Gio Buton and Vinicola Europea SpA v Amministrazione delle finanze dello Stato,  Reference for a preliminary ruling: Tribunale civile e penale di Trieste - Italy,  Ethyl alcohol of agricultural origin - Countervailing charge,  Case C-201/90,ECLI identifier: ECLI:EU:C:1991:210,02/07/1990,15/05/1991,Italy,Rodríguez Iglesias,Mischo,ALCO
61989CJ0230,Judgment of the Court of 18 April 1991,,  Commission of the European Communities v Hellenic Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-230/89,ECLI identifier: ECLI:EU:C:1991:156,19/07/1989,18/04/1991,Greece,Rodríguez Iglesias,Jacobs,ALCO
61987CJ0323,Judgment of the Court of 11 July 1989,,  Commission of the European Communities v Italian Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 323/87,ECLI identifier: ECLI:EU:C:1989:305,16/10/1987,11/07/1989,Italy,Zuleeg,Jacobs,ALCO
61985CJ0356,Judgment of the Court of 9 July 1987,,  Commission of the European Communities v Kingdom of Belgium,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 356/85,ECLI identifier: ECLI:EU:C:1987:353,19/11/1985,09/07/1987,Belgium,Everling,Cruz Vilaça,ALCO
61985CJ0181,Judgment of the Court of 12 February 1987,,  French Republic v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 181/85,ECLI identifier: ECLI:EU:C:1987:80,04/06/1985,12/02/1987,France,Bosco,Sir Gordon Slynn,ALCO
61984CJ0243,Judgment of the Court of 4 March 1986,,  John Walker & Sons Ltd v Ministeriet for Skatter og Afgifter,  Reference for a preliminary ruling: Østre Landsret - Denmark,  Taxation of spirits - Fruit wine of the liqueur type,  Case 243/84,ECLI identifier: ECLI:EU:C:1986:100,05/10/1984,04/03/1986,Denmark,Schockweiler,VerLoren van Themaat,ALCO
61984CJ0106,Judgment of the Court of 4 March 1986,,  Commission of the European Communities v Kingdom of Denmark,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 106/84,ECLI identifier: ECLI:EU:C:1986:99,16/04/1984,04/03/1986,Denmark,Schockweiler,VerLoren van Themaat,ALCO
61984CJ0182,Judgment of the Court (Fifth Chamber) of 26 November 1985,Fifth Chamber,  Criminal proceedings against Miro BV,  Reference for a preliminary ruling: Gerechtshof Arnhem - Netherlands,  Free movement of goods - Jenever,  Case 182/84,ECLI identifier: ECLI:EU:C:1985:470,10/07/1984,26/11/1985,Netherlands,Everling,Sir Gordon Slynn,ALCO
61983CJ0277,Judgment of the Court of 3 July 1985,,  Commission of the European Communities v Italian Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 277/83,ECLI identifier: ECLI:EU:C:1985:285,19/12/1983,03/07/1985,Italy,Bahlmann,Sir Gordon Slynn,ALCO
61983CJ0123,Judgment of the Court of 30 January 1985,,  Bureau national interprofessionnel du cognac v Guy Clair,  Reference for a preliminary ruling: Tribunal de grande instance de Saintes - France,  Reference for a preliminary ruling - Competition; Article 85 - Fixing of minimum prices for cognac,  Case 123/83,ECLI identifier: ECLI:EU:C:1985:33,01/07/1983,30/01/1985,France,Kakouris,Sir Gordon Slynn,ALCO
61983CJ0253,Judgment of the Court (Fourth Chamber) of 15 January 1985,Fourth Chamber,  Sektkellerei C,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 253/83,ECLI identifier: ECLI:EU:C:1985:8,11/11/1983,15/01/1985,Germany,O'Keeffe,Lenz,ALCO
61982CJ0337,Judgment of the Court of 21 February 1984,,  St,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 337/82,ECLI identifier: ECLI:EU:C:1984:69,23/12/1982,21/02/1984,Germany,Mackenzie Stuart,Reischl,ALCO
61982CJ0218,Judgment of the Court of 13 December 1983,,  Commission of the European Communities v Council of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 218/82,ECLI identifier: ECLI:EU:C:1983:369,13/08/1982,13/12/1983,,O'Keeffe,Rozès,ALCO
61982CJ0038,Judgment of the Court of 26 April 1983,,  Hauptzollamt Flensburg v Firma Hansen GmbH & Co,  Reference for a preliminary ruling: Bundesfinanzhof - Germany,  Tax arrangements applicable to spirits - Charging of reduced taxes,  Case 38/82,ECLI identifier: ECLI:EU:C:1983:108,27/01/1982,26/04/1983,Germany,Bahlmann,Reischl,ALCO
61981CJ0319,Judgment of the Court of 15 March 1983,,  Commission of the European Communities v Italian Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 319/81,ECLI identifier: ECLI:EU:C:1983:71,23/12/1981,15/03/1983,Italy,Mertens de Wilmars,Sir Gordon Slynn,ALCO
61981CJ0314,Judgment of the Court of 14 December 1982,,  Procureur de la République and Comité national de défense contre l'alcoolisme v Alex Waterkeyn and others ; Procureur de la République v Jean Cayard and others,  References for a preliminary ruling: Tribunal de grande instance de Paris - France,  Advertising of alcoholic beveragaes,  Joined cases 314/81; 315/81; 316/81 and 83/82,ECLI identifier: ECLI:EU:C:1982:430,18/12/1981,14/12/1982,France,Pescatore,Rozès,ALCO
