61988CJ0111,Judgment of the Court of 4 April 1990,,  Hellenic Republic and Crete Citron Producers' Association v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-111/88; C-112/88 and C-20/89,ECLI identifier: ECLI:EU:C:1990:159,07/04/1988,04/04/1990,Greece,Mancini,Van Gerven,BPAI
61986CJ0308,Judgment of the Court (Fifth Chamber) of 14 July 1988,Fifth Chamber,  Criminal proceedings against R,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 308/86,ECLI identifier: ECLI:EU:C:1988:405,09/12/1986,14/07/1988,Luxembourg,Joliet,Sir Gordon Slynn,BPAI
61986CJ0240,Judgment of the Court of 24 March 1988,,  Commission of the European Communities v Hellenic Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 240/86,ECLI identifier: ECLI:EU:C:1988:173,11/09/1986,24/03/1988,Greece,Moitinho de Almeida,Lenz,BPAI
61986CJ0143,Judgment of the Court of 4 February 1988,,  John Richard Alan East and others (Margetts and Addenbrooke) v Thomas Cuddy and Winifred Cuddy,  Reference for a preliminary ruling: Circuit Court; County of Cavan - Ireland,  Implementation of Artiacle 67 of the Treaty - Validity of a Commission decision - Free movement of capital,  Case 143/86,ECLI identifier: ECLI:EU:C:1988:60,10/06/1986,04/02/1988,Ireland,Galmot,Lenz,BPAI
61985CJ0157,Judgment of the Court (Fourth Chamber) of 24 June 1986,Fourth Chamber,  Luigi Brugnoni and Roberto Ruffinengo v Cassa di risparmio di Genova e Imperia,  Reference for a preliminary ruling: Pretura di Genova - Italy,  Free movement of capital - national protective measures,  Case 157/85,ECLI identifier: ECLI:EU:C:1986:258,23/05/1985,24/06/1986,Italy,Koopmans,Darmon,BPAI
61982CJ0286,Judgment of the Court of 31 January 1984,,  Graziana Luisi and Giuseppe Carbone v Ministero del Tesoro,  References for a preliminary ruling: Tribunale civile e penale di Genova - Italy,  Invisible transactions - National control requirements,  Joined cases 286/82 and 26/83,ECLI identifier: ECLI:EU:C:1984:35,27/10/1982,31/01/1984,Italy,Koopmans,Mancini,BPAI
61981CJ0095,Judgment of the Court of 9 June 1982,,  Commission of the European Communities v Italian Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 95/81,ECLI identifier: ECLI:EU:C:1982:216,24/04/1981,09/06/1982,Italy,Touffait,Sir Gordon Slynn,BPAI
61980CJ0203,Judgment of the Court of 11 November 1981,,  Criminal proceedings against Guerrino Casati,  Reference for a preliminary ruling: Tribunale di Bolzano - Italy,  Free movement of capital - National control requirements,  Case 203/80,ECLI identifier: ECLI:EU:C:1981:261,16/10/1980,11/11/1981,Italy,Due,Capotorti,BPAI
61980CJ0172,Judgment of the Court of 14 July 1981,,  Gerhard Züchner v Bayerische Vereinsbank AG,  Reference for a preliminary ruling: Amtsgericht Rosenheim - Germany,  Bank charges,  Case 172/80,ECLI identifier: ECLI:EU:C:1981:178,29/07/1980,14/07/1981,Germany,Bosco,Sir Gordon Slynn,BPAI
61978CJ0007,Judgment of the Court of 23 November 1978,,  Regina v Ernest George Thompson; Brian Albert Johnson and Colin Alex Norman Woodiwiss,  Reference for a preliminary ruling: Court of Appeal (England) - United Kingdom,  Means of payment and movements of capital,  Case 7/78,ECLI identifier: ECLI:EU:C:1978:209,16/01/1978,23/11/1978,United Kingdom,O'Keeffe,Mayras,BPAI
61969CJ0006,Judgment of the Court of 10 December 1969,,  Commission of the European Communities v French Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 6 and 11-69,ECLI identifier: ECLI:EU:C:1969:68,31/01/1969,10/12/1969,France,Mertens de Wilmars,Roemer,BPAI
