62009CJ0201,Judgment of the Court (Grand Chamber) of 29 March 2011,Grand Chamber,  ArcelorMittal Luxembourg SA v European Commission (C-201/09 P) and European Commission v ArcelorMittal Luxembourg SA and Others (C-216/09 P),Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-201/09 P and C-216/09 P,ECLI identifier: ECLI:EU:C:2011:190,05/06/2009,29/03/2011,Luxembourg,Arabadjiev,Bot,CECA
62002CJ0065,Judgment of the Court (First Chamber) of 14 July 2005,First Chamber,ThyssenKrupp Stainless GmbH (C-65/02 P) and ThyssenKrupp Acciai speciali Terni SpA (C-73/02 P) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined cases C-65/02 P and C-73/02 P,ECLI identifier: ECLI:EU:C:2005:454,28/02/2002,14/07/2005,Italy; Germany,von Bahr,Léger,CECA
62002CJ0057,Judgment of the Court (First Chamber) of 14 July 2005,First Chamber,  Compañía española para la fabricación de aceros inoxidables SA (Acerinox) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-57/02 P,ECLI identifier: ECLI:EU:C:2005:453,22/02/2002,14/07/2005,Spain,von Bahr,Léger,CECA
61999CJ0194,Judgment of the Court (Fifth Chamber) of 2 October 2003,Fifth Chamber,  Thyssen Stahl AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-194/99 P,ECLI identifier: ECLI:EU:C:2003:527,25/05/1999,02/10/2003,Germany,Jann,Stix-Hackl,CECA
61999CJ0182,Judgment of the Court (Fifth Chamber) of 2 October 2003,Fifth Chamber,  Salzgitter AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-182/99 P,ECLI identifier: ECLI:EU:C:2003:526,18/05/1999,02/10/2003,Germany,Jann,Stix-Hackl,CECA
61999CJ0195,Judgment of the Court (Fifth Chamber) of 2 October 2003,Fifth Chamber,  Krupp Hoesch Stahl AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-195/99 P,ECLI identifier: ECLI:EU:C:2003:528,25/05/1999,02/10/2003,Germany,Jann,,CECA
62001CJ0172,Judgment of the Court (Fifth Chamber) of 2 October 2003,Fifth Chamber,  International Power plc; British Coal Corporation; PowerGen (UK) plc and Commission of the European Communities v National Association of Licensed Opencast Operators (NALOO),Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-172/01 P; C-175/01 P; C-176/01 P and C-180/01 P,ECLI identifier: ECLI:EU:C:2003:534,20/04/2001,02/10/2003,United Kingdom,Jann,Alber,CECA
61999CJ0176,Judgment of the Court (Fifth Chamber) of 2 October 2003,Fifth Chamber,  ARBED SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-176/99 P,ECLI identifier: ECLI:EU:C:2003:524,11/05/1999,02/10/2003,Luxembourg,Jann,Stix-Hackl,CECA
61999CJ0196,Judgment of the Court (Fifth Chamber) of 2 October 2003,Fifth Chamber,  Siderúrgica Aristrain Madrid SL v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-196/99 P,ECLI identifier: ECLI:EU:C:2003:529,25/05/1999,02/10/2003,Spain,Jann,,CECA
61999CJ0199,Judgment of the Court (Fifth Chamber) of 2 October 2003,Fifth Chamber,  Corus UK Ltd v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-199/99 P,ECLI identifier: ECLI:EU:C:2003:531,25/05/1999,02/10/2003,United Kingdom,Jann,,CECA
61999CJ0198,Judgment of the Court (Fifth Chamber) of 2 October 2003,Fifth Chamber,  Empresa Nacional Siderúrgica SA (Ensidesa) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-198/99 P,ECLI identifier: ECLI:EU:C:2003:530,25/05/1999,02/10/2003,Spain,Jann,Stix-Hackl,CECA
61999CJ0179,Judgment of the Court (Fifth Chamber) of 2 October 2003,Fifth Chamber,  Eurofer ASBL v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-179/99 P,ECLI identifier: ECLI:EU:C:2003:525,14/05/1999,02/10/2003,Luxembourg,Jann,Stix-Hackl,CECA
