62016CJ0408,Judgment of the Court (Eighth Chamber) of 6 December 2017,Eighth Chamber,Compania Naţională de Administrare a Infrastructurii Rutiere SA v Ministerul Fondurilor Europene - Direcţia Generală Managementul Fondurilor Externe,Request for a preliminary ruling from the Curtea de Apel Bucureşti,Reference for a preliminary ruling — Public procurement — Directive 2004/18/EC — Scope — Regulation (EC) No 1083/2006 — European Regional Development Fund; European Social Fund and Cohesion Fund — Finance agreement for the construction of a motorway concluded with the European Investment Bank before the accession of the Member State to the European Union — Concept of ‘irregularity’ within the meaning of Regulation No 1083/2006,Case C-408/16,ECLI identifier: ECLI:EU:C:2017:940,21/07/2016,06/12/2017,Romania,Šváby,Campos Sánchez-Bordona,COES
62016CJ0245,Judgment of the Court (Third Chamber) of 6 July 2017,Third Chamber,Nerea SpA v Regione Marche,Request for a preliminary ruling from the Tribunale Amministrativo Regionale per le Marche,Reference for a preliminary ruling — State aid — Regulation (EC) No 800/2008 — General exemption by category — Scope — Article 1(6)(c) — Article 1(7)( c) — Concept of ‘undertaking in difficulty’ — Concept of ‘collective insolvency proceedings’ — Company granted State aid under a regional operational programme of the European Regional Development Fund (ERDF) subsequently admitted to an arrangement with creditors as a going concern — Withdrawal of the aid — Obligation to reimburse the advance paid,Case C-245/16,ECLI identifier: ECLI:EU:C:2017:521,28/04/2016,06/07/2017,Italy,Vilaras,Campos Sánchez-Bordona,COES
62015CJ0436,Judgment of the Court (Third Chamber) of 15 June 2017,Third Chamber,Lietuvos Respublikos aplinkos ministerijos Aplinkos projektų valdymo agentūra v UAB „Alytaus regiono atliekų tvarkymo centras“,Request for a preliminary ruling from the Lietuvos vyriausiasis administracinis teismas,Reference for a preliminary ruling — Protection of the European Union’s financial interests — Regulation (EC; Euratom) No 2988/95 — Article 3(1) — Funding from the Cohesion Fund — Project for the development of a regional waste management system — Irregularities — Concept of ‘multiannual programme’ — Definitive termination of a multiannual programme — Limitation period,Case C-436/15,ECLI identifier: ECLI:EU:C:2017:468,10/08/2015,15/06/2017,Lithuania,Vilaras,Sharpston,COES
62015CJ0140,Judgment of the Court (Tenth Chamber) of 21 September 2016,Tenth Chamber,European Commission v Kingdom of Spain,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-140/15 P,ECLI identifier: ECLI:EU:C:2016:708,24/03/2015,21/09/2016,Spain,Biltgen,Wathelet,COES
62015CJ0139,Judgment of the Court (Tenth Chamber) of 21 September 2016,Tenth Chamber,European Commission v Kingdom of Spain,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-139/15 P,ECLI identifier: ECLI:EU:C:2016:707,24/03/2015,21/09/2016,Spain,Biltgen,Wathelet,COES
62014CJ0280,Judgment of the Court (Fifth Chamber) of 3 December 2015,Fifth Chamber,Italian Republic v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-280/14 P,ECLI identifier: ECLI:EU:C:2015:792,09/06/2014,03/12/2015,Italy,von Danwitz,Cruz Villalón,COES
62012CJ0549,Judgment of the Court (First Chamber) of 24 June 2015,First Chamber,Federal Republic of Germany v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-549/12 P and C-54/13 P,ECLI identifier: ECLI:EU:C:2015:412,29/11/2012,24/06/2015,Germany,Levits,Cruz Villalón,COES
62013CJ0263,Judgment of the Court (First Chamber) of 24 June 2015,First Chamber,Kingdom of Spain v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-263/13 P,ECLI identifier: ECLI:EU:C:2015:415,14/05/2013,24/06/2015,Spain,Biltgen,Szpunar,COES
62013CJ0336,Judgment of the Court (Seventh Chamber) of 12 February 2015,Seventh Chamber,European Commission v IPK International - World Tourism Marketing Consultants GmbH,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-336/13 P,ECLI identifier: ECLI:EU:C:2015:83,19/06/2013,12/02/2015,Germany,da Cruz Vilaça,Bot,COES
62013CJ0513,Judgment of the Court (Eighth Chamber) of 4 December 2014,Eighth Chamber,  Kingdom of Spain v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-513/13 P,ECLI identifier: ECLI:EU:C:2014:2412,25/09/2013,04/12/2014,Spain,Fernlund,Szpunar,COES
62013CJ0385,Judgment of the Court (Sixth Chamber) of 6 November 2014,Sixth Chamber,Italian Republic v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑385/13 P,ECLI identifier: ECLI:EU:C:2014:2350,04/07/2013,06/11/2014,Italy,Biltgen,Cruz Villalón,COES
62013CJ0429,Judgment of the Court (Sixth Chamber); 22 October 2014,Sixth Chamber,Kingdom of Spain v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑429/13 P,ECLI identifier: ECLI:EU:C:2014:2310,26/07/2013,22/10/2014,Spain,Biltgen,Wathelet,COES
62013CJ0641,Judgment of the Court (Eighth Chamber) of 9 October 2014,Eighth Chamber,Kingdom of Spain v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑641/13 P,ECLI identifier: ECLI:EU:C:2014:2264,04/12/2013,09/10/2014,Spain,Fernlund,Sharpston,COES
