62007CJ0510,Judgment of the Court (Fifth Chamber) of 17 July 2008,Fifth Chamber,  Commission of the European Communities v Kingdom of Belgium,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-510/07,ECLI identifier: ECLI:EU:C:2008:435,21/11/2007,17/07/2008,Belgium,Kasel,Kokott,CONJ
61977CJ0077,Judgment of the Court of 29 June 1978,,  Benzine en Petroleum Handelsmaatschappij BV and others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 77/77,ECLI identifier: ECLI:EU:C:1978:141,01/07/1977,29/06/1978,Netherlands,Bosco,Warner,CONJ
61977CJ0132,Judgment of the Court of 10 May 1978,,  Société pour l'Exportation des Sucres SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 132/77,ECLI identifier: ECLI:EU:C:1978:99,31/10/1977,10/05/1978,Belgium,Bosco,Mayras,CONJ
61977CJ0012,Judgment of the Court of 2 March 1978,,  Debayser SA and others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 12; 18 and 21/77,ECLI identifier: ECLI:EU:C:1978:42,25/01/1977,02/03/1978,France,Bosco,Mayras,CONJ
61977CJ0078,Judgment of the Court of 1 February 1978,,  Johann Lührs v Hauptzollamt Hamburg-Jonas,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 78/77,ECLI identifier: ECLI:EU:C:1978:20,04/07/1977,01/02/1978,Germany,Donner,Mayras,CONJ
61977CJ0094,Judgment of the Court of 31 January 1978,,  Fratelli Zerbone Snc v Amministrazione delle finanze dello Stato,  Reference for a preliminary ruling: Tribunale civile e penale di Genova - Italy,  Monetary compensatory amounts,  Case 94/77,ECLI identifier: ECLI:EU:C:1978:17,26/07/1977,31/01/1978,Italy,O'Keeffe,Warner,CONJ
61974CJ0093,Judgment of the Court of 17 June 1975,,  Pastificio Triestino v Amministrazione delle Finanze dello Stato,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 93-74,ECLI identifier: ECLI:EU:C:1975:79,13/12/1974,17/06/1975,Italy,O'Keeffe,Reischl,CONJ
61974CJ0031,Judgment of the Court of 23 January 1975,,  Filippo Galli,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 31-74,ECLI identifier: ECLI:EU:C:1975:8,13/05/1974,23/01/1975,Italy,Mertens de Wilmars,Warner,CONJ
61974CJ0034,Judgment of the Court of 12 November 1974,,  Société Roquette frères v État français,  Reference for a preliminary ruling: Tribunal d'instance de Lille - France,  Compensatory amounts,  Case 34-74,ECLI identifier: ECLI:EU:C:1974:117,16/05/1974,12/11/1974,France,Pescatore,Trabucchi,CONJ
61973CJ0154,Judgment of the Court of 15 January 1974,,  Kurt A,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 154-73,ECLI identifier: ECLI:EU:C:1974:2,25/07/1973,15/01/1974,Germany,Sørensen,Trabucchi,CONJ
61973CJ0010,Judgment of the Court of 24 October 1973,,  Rewe Zentral AG v Hauptzollamt Kehl,  Reference for a preliminary ruling: Finanzgericht Baden-Württemberg - Germany,  Compensatory amounts for variations in fluctuating exchange rates,  Case 10-73,ECLI identifier: ECLI:EU:C:1973:111,19/02/1973,24/10/1973,Germany,Mertens de Wilmars,Roemer,CONJ
61973CJ0005,Judgment of the Court of 24 October 1973,,  Balkan-Import-Export GmbH v Hauptzollamt Berlin-Packhof,  Reference for a preliminary ruling: Finanzgericht Berlin - Germany,  Compensatory amounts for variations in fluctuating exchange rates,  Case 5-73,ECLI identifier: ECLI:EU:C:1973:109,05/02/1973,24/10/1973,Germany,Mertens de Wilmars,Roemer,CONJ
61973CJ0009,Judgment of the Court of 24 October 1973,,  Carl Schlüter v Hauptzollamt Lörrach,  Reference for a preliminary ruling: Finanzgericht Baden-Württemberg - Germany,  Compensatory amounts for variations in fluctuating exchange rates,  Case 9-73,ECLI identifier: ECLI:EU:C:1973:110,19/02/1973,24/10/1973,Germany,Mertens de Wilmars,Roemer,CONJ
61972CJ0043,Judgment of the Court of 24 October 1973,,  Merkur Außenhandel-GmbH & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 43-72,ECLI identifier: ECLI:EU:C:1973:108,10/07/1972,24/10/1973,Germany,Kutscher,Mayras,CONJ
61971CJ0009,Judgment of the Court of 13 June 1972,,  Compagnie d'approvisionnement; de transport et de crédit SA and Grands Moulins de Paris SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 9 and 11-71,ECLI identifier: ECLI:EU:C:1972:52,16/03/1971,13/06/1972,France,Kutscher,Dutheillet de Lamothe Mayras,CONJ
61969CJ0006,Judgment of the Court of 10 December 1969,,  Commission of the European Communities v French Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 6 and 11-69,ECLI identifier: ECLI:EU:C:1969:68,31/01/1969,10/12/1969,France,Mertens de Wilmars,Roemer,CONJ
