62013CJ0147,Judgment of the Court (Grand Chamber) of 5 May 2015,Grand Chamber,Kingdom of Spain v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-147/13,ECLI identifier: ECLI:EU:C:2015:299,22/03/2013,05/05/2015,Spain,Ilešič,Bot,CORE
62013CJ0146,Judgment of the Court (Grand Chamber) of 5 May 2015,Grand Chamber,Kingdom of Spain v European Parliament and Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-146/13,ECLI identifier: ECLI:EU:C:2015:298,22/03/2013,05/05/2015,Spain,Ilešič,Bot,CORE
62013CJ0209,Judgment of the Court (Second Chamber); 30 April 2014,Second Chamber,United Kingdom of Great Britain and Northern Ireland v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑209/13,ECLI identifier: ECLI:EU:C:2014:283,18/04/2013,30/04/2014,United Kingdom,Lenaerts,Wahl,CORE
62011CJ0274,Judgment of the Court (Grand Chamber) of 16 April 2013,Grand Chamber,  Kingdom of Spain and Italian Republic v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-274/11 and C-295/11,ECLI identifier: ECLI:EU:C:2013:240,30/05/2011,16/04/2013,Spain; Italy,Ilešič,Bot,CORE
62012CJ0370,Judgment of the Court (Full Court); 27 November 2012,Full Court,Thomas Pringle v Government of Ireland and Others,Reference for a preliminary ruling from the Supreme Court,Stability mechanism for the Member States whose currency is the euro – Decision 2011/199/EU – Amendment of Article 136 TFEU – Validity – Article 48(6) TEU – Simplified revision procedure – ESM Treaty – Economic and monetary policy – Competence of the Member States,Case C‑370/12,ECLI identifier: ECLI:EU:C:2012:756,03/08/2012,27/11/2012,Ireland,Lenaerts,Kokott,CORE
62008CJ0482,Judgment of the Court (Grand Chamber) of 26 October 2010,Grand Chamber,  United Kingdom of Great Britain and Northern Ireland v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-482/08,ECLI identifier: ECLI:EU:C:2010:631,06/11/2008,26/10/2010,United Kingdom,Bonichot,Mengozzi,CORE
62008CJ0261,Judgment of the Court (Third Chamber) of 22 October 2009,Third Chamber,María Julia Zurita García (C-261/08) and Aurelio Choque Cabrera (C-348/08) v Delegado del Gobierno en la Región de Murcia,Reference for a preliminary ruling: Tribunal Superior de Justicia de Murcia - Spain,Visas; asylum and immigration - Measures concerning the crossing of external borders - Article 62(1) and (2)(a) EC - Convention implementing the Schengen Agreement - Articles 6b and 23 - Regulation (EC) No 562/2006 - Articles 5; 11 and 13 - Presumption concerning the duration of the stay - Unlawful presence of third-country nationals in the territory of a Member State - National legislation allowing for either a fine or expulsion; depending on the circumstances,Joined cases C-261/08 and C-348/08,ECLI identifier: ECLI:EU:C:2009:648,19/06/2008,22/10/2009,Spain,Lõhmus,Kokott,CORE
62007CJ0491,Judgment of the Court (Sixth Chamber) of 22 December 2008,Sixth Chamber,  Criminal proceedings against Vladimir Turanský,  Reference for a preliminary ruling: Landesgericht für Strafsachen Wien - Austria,  Convention implementing the Schengen Agreement - Article 54 - ‘Ne bis in idem’ principle - Scope - Concept of ‘finally disposed of’ - Decision by which a police authority orders the suspension of criminal proceedings - Decision not barring further prosecution and not having a ne bis in idem effect under national law,  Case C-491/07,ECLI identifier: ECLI:EU:C:2008:768,31/10/2007,22/12/2008,Austria,Bay Larsen,Bot,CORE
62007CJ0297,Judgment of the Court (Second Chamber) of 11 December 2008,Second Chamber,  Klaus Bourquain,  Reference for a preliminary ruling: Landgericht Regensburg - Germany,  Convention implementing the Schengen Agreement - Article 54 - ‘Ne bis in idem’ principle - Scope - Conviction in absentia in respect of the same acts - Concept of ‘finally disposed of’ - Procedural rules of national law - Concept of ‘penalty which can no longer be enforced’,  Case C-297/07,ECLI identifier: ECLI:EU:C:2008:708,21/06/2007,11/12/2008,Germany,Bay Larsen,Ruiz-Jarabo Colomer,CORE
62005CJ0137,Judgment of the Court (Grand Chamber) of 18 December 2007,Grand Chamber,  United Kingdom of Great Britain and Northern Ireland v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-137/05,ECLI identifier: ECLI:EU:C:2007:805,21/03/2005,18/12/2007,United Kingdom,Schintgen,,CORE
62005CJ0077,Judgment of the Court (Grand Chamber) of 18 December 2007,Grand Chamber,  United Kingdom of Great Britain and Northern Ireland v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-77/05,ECLI identifier: ECLI:EU:C:2007:803,14/02/2005,18/12/2007,United Kingdom,Schintgen,Trstenjak,CORE
62005CJ0367,Judgment of the Court (Second Chamber) of 18 July 2007,Second Chamber,  Criminal proceedings against Norma Kraaijenbrink,  Reference for a preliminary ruling: Hof van Cassatie - Belgium,  Convention implementing the Schengen Agreement - Article 54 - Ne bis in idem principle - Notion of ‘same acts’ - Different acts - Prosecution in two Contracting States - Acts linked together by the same criminal intention,  Case C-367/05,ECLI identifier: ECLI:EU:C:2007:444,29/09/2005,18/07/2007,Belgium,Bay Larsen,Sharpston,CORE
62005CJ0288,Judgment of the Court (Second Chamber) of 18 July 2007,Second Chamber,  Criminal proceedings against Jürgen Kretzinger,  Reference for a preliminary ruling: Bundesgerichtshof - Germany,  Convention implementing the Schengen Agreement - Article 54 - Ne bis in idem principle - Notion of ‘same acts’- Contraband cigarettes - Importation into several Contracting States - Prosecution in different Contracting States - Notion of ‘enforcement’ of criminal penalties - Suspension of the execution of the sentence - Setting-off of brief periods of detention pending trial - European arrest warrant,  Case C-288/05,ECLI identifier: ECLI:EU:C:2007:441,19/07/2005,18/07/2007,Germany,Bay Larsen,Sharpston,CORE
62005CJ0241,Judgment of the Court (Grand Chamber) of 3 October 2006,Grand Chamber,Nicolae Bot v Préfet du Val-de-Marne,Reference for a preliminary ruling: Conseil d'État - France,Convention implementing the Schengen Agreement - Article 20(1) - Conditions of movement of nationals of a third country not subject to a visa requirement - Maximum stay for a period of three months during the six months following the date of first entry into the Schengen Area - Successive stays - Definition of "first entry',Case C-241/05,ECLI identifier: ECLI:EU:C:2006:634,02/06/2005,03/10/2006,France,Ó Caoimh,Tizzano,CORE
62005CJ0150,Judgment of the Court (First Chamber) of 28 September 2006,First Chamber,Jean Leon Van Straaten v Staat der Nederlanden and Republiek Italië,Reference for a preliminary ruling: Rechtbank 's-Hertogenbosch - Netherlands,Convention implementing the Schengen Agreement - Ne bis in idem principle -Meaning of "the same acts' and of "trial disposed of' - Exporting in one State and importing in another State - Acquittal of the accused,Case C-150/05,ECLI identifier: ECLI:EU:C:2006:614,04/04/2005,28/09/2006,Netherlands,Colneric,Ruiz-Jarabo Colomer,CORE
