62016CJ0395,Judgment of the Court (Second Chamber) of 8 March 2018,Second Chamber,DOCERAM GmbH v CeramTec GmbH,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-395/16,ECLI identifier: ECLI:EU:C:2018:172,15/07/2016,08/03/2018,Germany,Jarašiūnas,Saugmandsgaard Øe,DGEN
62016CJ0284,Judgment of the Court (Grand Chamber) of 6 March 2018,Grand Chamber,Slowakische Republik v Achmea BV,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-284/16,ECLI identifier: ECLI:EU:C:2018:158,23/05/2016,06/03/2018,Germany,Tizzano,Wathelet,DGEN
62016CJ0397,Judgment of the Court (Second Chamber) of 20 December 2017,Second Chamber,Acacia Srl v Pneusgarda Srl and Audi AG and Acacia Srl and Rolando D'Amato v Dr,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-397/16 and C-435/16,ECLI identifier: ECLI:EU:C:2017:992,18/07/2016,20/12/2017,Germany; Italy,Ilešič,Saugmandsgaard Øe,DGEN
62016CJ0433,Judgment of the Court (Second Chamber) of 13 July 2017,Second Chamber,Bayerische Motoren Werke AG v Acacia Srl,Request for a preliminary ruling from the Corte suprema di cassazione,Reference for a preliminary ruling — Jurisdiction in civil and commercial matters — Regulation (EC) No 44/2001 — Intellectual property — Community designs — Regulation (EC) No 6/2002 — Articles 81 and 82 — Action for a declaration of non-infringement — Jurisdiction of Community design courts of the Member State where the defendant is domiciled,Case C-433/16,ECLI identifier: ECLI:EU:C:2017:550,03/08/2016,13/07/2017,Italy,Ilešič,Bot,DGEN
62015CJ0072,Judgment of the Court (Grand Chamber) of 28 March 2017,Grand Chamber,PJSC Rosneft Oil Company v Her Majesty's Treasury and Others,Request for a preliminary ruling from the High Court of Justice (England & Wales); Queen's Bench Division (Divisional Court),Reference for a preliminary ruling — Common Foreign and Security Policy (CFSP) — Restrictive measures adopted in view of Russia’s actions destabilising the situation in Ukraine — Provisions of Decision 2014/512/CFSP and Regulation (EU) No 833/2014 — Validity — Jurisdiction of the Court — EU-Russia Partnership Agreement — Obligation to state reasons — Principles of legal certainty and nulla poena sine lege certa — Access to capital markets — Financial assistance — Global Depositary Receipts — Oil sector — Request for interpretation of concepts of ‘shale’ and ‘waters deeper than 150 metres’ — Inadmissibility,Case C-72/15,ECLI identifier: ECLI:EU:C:2017:236,18/02/2015,28/03/2017,United Kingdom,Rosas,Wathelet,DGEN
62015CJ0272,Judgment of the Court (Fourth Chamber) of 21 December 2016,Fourth Chamber,Swiss International Air Lines AG v The Secretary of State for Energy and Climate Change and Environment Agency,Request for a preliminary ruling from the Court of Appeal (England & Wales) (Civil Division),Reference for a preliminary ruling — Directive 2003/87/EC — Scheme for greenhouse gas emission allowance trading — Obligation to surrender emission allowances in respect of flights between EU Member States and most third countries — Decision No 377/2013/EU — Article 1 — Temporary derogation — Exclusion of flights to and from airports situated in Switzerland — Difference of treatment of third countries — General principle of equal treatment — Inapplicable,Case C-272/15,ECLI identifier: ECLI:EU:C:2016:993,08/06/2015,21/12/2016,United Kingdom,von Danwitz,Saugmandsgaard Øe,DGEN
62015CJ0333,Judgment of the Court (Eighth Chamber) of 9 June 2016,Eighth Chamber,María Pilar Planes Bresco v Comunidad Autónoma de Aragón,References for a preliminary ruling from the Tribunal Supremo,References for a preliminary ruling — Common agricultural policy — Integrated administration and control system for certain aid schemes — Regulation (EC) No 1782/2003 — Single payment scheme — Articles 43 and 44 — Payment entitlements based on areas — Hectares eligible for area aid — Permanent pasture — National legislation making the eligibility of permanent pasture areas which exceed the forage areas initially taken into account for the purposes of determining the payment entitlements subject to conditions that they be used for the purposes of rearing livestock on the farm,Joined Cases C-333/15 and C-334/15,ECLI identifier: ECLI:EU:C:2016:426,06/07/2015,09/06/2016,Spain,Vilaras,Kokott,DGEN
62014CJ0330,Judgment of the Court (Fourth Chamber) of 17 December 2015,Fourth Chamber,Gergely Szemerey v Miniszterelnökséget vezető miniszter,Request for a preliminary ruling from the Gyulai Közigazgatási és Munkaügyi Bíróság,Reference for a preliminary ruling — Common agricultural policy — Rural development support measures — Agri-environmental payments — Regulation (EC) No 1122/2009 — Articles 23 and 58 — Regulation (EC) No 1698/2005 — Regulation (EC) No 1975/2006 — Aid in respect of the cultivation of a rare plant species — Application for payment — Contents — Certificate requirement — Penalties for non-presentation,Case C-330/14,ECLI identifier: ECLI:EU:C:2015:826,08/07/2014,17/12/2015,Hungary,Jürimäe,Wahl,DGEN
62013CJ0684,Judgment of the Court (First Chamber) of 2 July 2015,First Chamber,Johannes Demmer v Fødevareministeriets Klagecenter,Request for a preliminary ruling from the Vestre Landsret,Reference for a preliminary ruling — Agriculture — Common agricultural policy — Single payment scheme — Regulation (EC) No 1782/2003 — Article 44(2) –Regulation (EC) No 73/2009 — Article 34(2)(a) — Concept of ‘eligible hectare’ — Areas surrounding runways; taxiways and stopways — Agricultural use — Lawfulness — Recovery of agricultural aid unduly allocated,Case C-684/13,ECLI identifier: ECLI:EU:C:2015:439,23/12/2013,02/07/2015,Denmark,Borg Barthet,Wahl,DGEN
62013CJ0561,Judgment of the Court (Ninth Chamber) of 15 October 2014,Ninth Chamber,  Hoštická a,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-561/13,ECLI identifier: ECLI:EU:C:2014:2287,29/10/2013,15/10/2014,Czech Republic,Jürimäe,Cruz Villalón,DGEN
62013CJ0565,Judgment of the Court (Third Chamber); 9 October 2014,Third Chamber,Criminal proceedings against Ove Ahlström and Others,Request for a preliminary ruling from the Hovrätten för Västra Sverige,Reference for a preliminary ruling — External relations — Fisheries Partnership Agreement between the European Community and the Kingdom of Morocco — Exclusion of any possibility for Community vessels to carry out fishing activities in Moroccan fishing zones on the basis of a licence issued by the Moroccan authorities without the intervention of the competent European Union authorities,Case C‑565/13,ECLI identifier: ECLI:EU:C:2014:2273,04/11/2013,09/10/2014,Sweden,Jarašiūnas,Jääskinen,DGEN
62013CJ0345,Judgment of the Court (Second Chamber); 19 June 2014,Second Chamber,Karen Millen Fashions Ltd v Dunnes Stores and Dunnes Stores (Limerick) Ltd,Request for a preliminary ruling from the Supreme Court (Ireland),Regulation (EC) No 6/2002 — Community design — Article 6 — Individual character — Different overall impression — Article 85(2) — Unregistered Community design — Validity — Conditions — Burden of proof,Case C‑345/13,ECLI identifier: ECLI:EU:C:2014:2013,24/06/2013,19/06/2014,Ireland,Silva de Lapuerta,Wathelet,DGEN
62012CJ0479,Judgment of the Court (Third Chamber) of 13 February 2014,Third Chamber,  H,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-479/12,ECLI identifier: ECLI:EU:C:2014:75,25/10/2012,13/02/2014,Germany,Jarašiūnas,Wathelet,DGEN
62012CJ0166,Judgment of the Court (Fifth Chamber) of 5 December 2013,Fifth Chamber,  Radek Časta v Česká správa sociálního zabezpečení,  Reference for a preliminary ruling: Krajský soud v Praze - Czech Republic,  Request for a preliminary ruling - Article 11(2) of Annex VIII to the Staff Regulations - Regulation (EEC; Euratom; ECSC) No 259/68 and Regulation (EC; Euratom) No 723/2004 - Officials of the European Union - Pension rights in the national scheme - Transfer to the European Union pension scheme - Calculation method - Concept of ‘capital value of pension rights’,  Case C-166/12,ECLI identifier: ECLI:EU:C:2013:792,03/04/2012,05/12/2013,Czech Republic,Juhász,Cruz Villalón,DGEN
62012CJ0105,Judgment of the Court (Grand Chamber); 22 October 2013,Grand Chamber,Staat der Nederlanden v Essent NV (C‑105/12); Essent Nederland BV (C‑105/12); Eneco Holding NV (C‑106/12) and Delta NV (C‑107/12),Requests for a preliminary ruling from the Hoge Raad der Nederlanden,Reference for a preliminary ruling — Free movement of capital — Article 63 TFEU — Rules governing the system of property ownership — Article 345 TFEU — Electricity and gas distribution system operators — Prohibition of privatisation — Prohibition of links with undertakings which generate/produce; supply or trade electricity or gas — Prohibition of activity which may adversely affect system operation,Joined Cases C‑105/12 to C‑107/12,ECLI identifier: ECLI:EU:C:2013:677,29/02/2012,22/10/2013,Netherlands,Arabadjiev,Jääskinen,DGEN
62012CJ0252,Judgment of the Court (Third Chamber); 18 July 2013,Third Chamber,Specsavers International Healthcare Ltd and Others v Asda Stores Ltd,Request for a preliminary ruling from the Court of Appeal (England and Wales) (Civil Division),Trade marks — Regulation (EC) No 207/2009 — Articles 9(1)(b) and (c); 15(1) and 51(1)(a) — Grounds for revocation — Definition of ‘genuine use’ — Trade mark used together with another trade mark or as part of a ‘compound trade mark’ — Colour or combination of colours in which a trade mark is used — Reputation,Case C‑252/12,ECLI identifier: ECLI:EU:C:2013:497,16/05/2012,18/07/2013,United Kingdom,Ilešič,Kokott,DGEN
62010CJ0547,Judgment of the Court (Third Chamber) of 7 March 2013,Third Chamber,  Confédération suisse v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-547/10 P,ECLI identifier: ECLI:EU:C:2013:139,19/11/2010,07/03/2013,,Silva de Lapuerta,Jääskinen,DGEN
62010CJ0539,Judgment of the Court (Third Chamber); 15 November 2012,Third Chamber,Stichting Al-Aqsa v Council of the European Union and Kingdom of the Netherlands v Stichting Al-Aqsa,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-539/10 P and C-550/10 P,ECLI identifier: ECLI:EU:C:2012:711,18/11/2010,15/11/2012,Netherlands,von Danwitz,Trstenjak,DGEN
62011CJ0199,Judgment of the Court (Grand Chamber); 6 November 2012,Grand Chamber,Europese Gemeenschap v Otis NV and Others,Reference for a preliminary ruling from the rechtbank van koophandel te Brussel,Representation of the European Union before national courts — Articles 282 EC and 335 TFEU — Claim for damages in respect of loss caused to the European Union by a cartel — Article 47 of the Charter of Fundamental Rights of the European Union — Right to fair hearing — Right of access to a tribunal — Equality of arms — Article 16 of Regulation No 1/2003,Case C‑199/11,ECLI identifier: ECLI:EU:C:2012:684,28/04/2011,06/11/2012,Belgium,Arabadjiev,Cruz Villalón,DGEN
62010CJ0490,Judgment of the Court (Second Chamber); 6 September 2012,Second Chamber,European Parliament v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑490/10,ECLI identifier: ECLI:EU:C:2012:525,08/10/2010,06/09/2012,,Ó Caoimh,Mengozzi,DGEN
62011CJ0079,Judgment of the Court (Second Chamber); 12 July 2012,Second Chamber,Maurizio Giovanardi and Others,Reference for a preliminary ruling from the judge in charge of preliminary investigations at the Tribunale di Firenze,Police and judicial cooperation in criminal matters — Framework Decision 2001/220/JHA — Standing of victims in criminal proceedings — Directive 2004/80/EC — Compensation to victims of crime — Liability of a legal person — Compensation in criminal proceedings,Case C‑79/11,ECLI identifier: ECLI:EU:C:2012:448,22/02/2011,12/07/2012,Italy,Cunha Rodrigues,Sharpston,DGEN
62010CJ0489,Judgment of the Court (Grand Chamber); 5 June 2012,Grand Chamber,Łukasz Marcin Bonda,Reference for a preliminary ruling from the Sąd Najwyższy,Common agricultural policy — Single area payment scheme — Regulation (EC) No 1973/2004 — Article 138(1) — Exclusion from receiving aid if the area declared is not correct — Administrative or criminal nature of that penalty — Rule against the overlapping of criminal penalties — Ne bis in idem principle,Case C-489/10,ECLI identifier: ECLI:EU:C:2012:319,12/10/2010,05/06/2012,Poland,Borg Barthet,Kokott,DGEN
62010CJ0506,Judgment of the Court (Third Chamber) of 6 October 2011,Third Chamber,  Rico Graf and Rudolf Engel v Landratsamt Waldshut,  Reference for a preliminary ruling: Amtsgericht Waldshut-Tiengen - Germany,  Agreement between the European Community and its Member States; of the one part; and the Swiss Confederation; of the other; on the free movement of persons - Equal treatment - Self-employed frontier workers - Agricultural lease - Agricultural structure - Legislation of a Member State enabling an objection to be made to the contract if the goods produced in national territory by the self-employed Swiss frontier farmers are intended to be exported; free of duty; to Switzerland,  Case C-506/10,ECLI identifier: ECLI:EU:C:2011:643,21/10/2010,06/10/2011,Germany,Juhász,Jääskinen,DGEN
62010CJ0137,Judgment of the Court (Third Chamber) of 5 May 2011,Third Chamber,  Communautés européennes v Région de Bruxelles-Capitale,  Reference for a preliminary ruling: Conseil d’État - Belgium,  Articles 207(2) EC and 282 EC - Representation of the European Communities before the national courts - Powers conferred on the Commission - Delegation of the power of representation to other Community institutions - Conditions,  Case C-137/10,ECLI identifier: ECLI:EU:C:2011:280,15/03/2010,05/05/2011,Belgium,Juhász,Cruz Villalón,DGEN
