62016CJ0267,Judgment of the Court (Grand Chamber) of 23 January 2018,Grand Chamber,Albert Buhagiar and Others v Minister for Justice,Request for a preliminary ruling from the Supreme Court of Gibraltar,Reference for a preliminary ruling — Territorial scope of EU law — Article 355(3) TFEU — Act concerning the Conditions of Accession of the Kingdom of Denmark; Ireland and the United Kingdom of Great Britain and Northern Ireland and the Adjustments to the Treaties — Article 29 — Point 4 of Section I of Annex I — Exclusion of Gibraltar from the customs territory of the European Union — Implications — Directive 91/477/EEC — Article 1(4) — Article 12(2) — Annex II — European firearms pass — Hunting and target shooting activities — Applicability to the territory of Gibraltar — Obligation to transpose — No such obligation — Validity,Case C-267/16,ECLI identifier: ECLI:EU:C:2018:26,13/05/2016,23/01/2018,United Kingdom,Ilešič,Mengozzi,DOM
62014CJ0132,Judgment of the Court (Grand Chamber) of 15 December 2015,Grand Chamber,European Parliament and European Commission v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-132/14 to C-136/14,ECLI identifier: ECLI:EU:C:2015:813,21/03/2014,15/12/2015,,Arabadjiev,Wahl,DOM
61997CJ0106,Judgment of the Court of 21 September 1999,,  Dutch Antillian Dairy Industry Inc,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-106/97,ECLI identifier: ECLI:EU:C:1999:433,13/03/1997,21/09/1999,Netherlands,Sevón,La Pergola,DOM
61996CJ0269,Judgment of the Court (Fourth Chamber) of 12 November 1998,Fourth Chamber,  Sucreries et Raffineries d'Erstein SA v Fonds d'intervention et de régularisation du marché du sucre (FIRS),  Reference for a preliminary ruling: Tribunal administratif de Paris - France,  Council Regulations (EEC) Nos 1785/81 and 2225/86 - Aid for the marketing of cane sugar produced in the French overseas departments - Concept of refinery,  Case C-269/96,ECLI identifier: ECLI:EU:C:1998:530,08/08/1996,12/11/1998,France,Ioannou,Fennelly,DOM
61995CJ0192,Judgment of the Court of 14 January 1997,,  Société Comateb (C-192/95); Société Panigua (C-193/95); Société Edouard et fils (C-194/95); Société de distribution de vins et liqueurs (C-195/95); Etablissements André Haan (C-196/95); Société Diffusion générale de quincaillerie (C-197/95); Société Diffusion générale (C-198/95); Société Cama Renault (C-199/95); Scp Ovide et Dorville (C-200/95); Société Ducros Guadeloupe (C-201/95); Société Comptoir commercial Caraïbes (C-202/95); Société Giafa (C-203/95); Société LVS (C-204/95); Société Catherine et Jean-Claude Tabar Nouval (C-205/95); Société L'Heure et L'Or (C-206/95); Société Général bazar bricolage (C-207/95); Société Grain d'or (C-208/95); Société Cash Service (C-209/95); Etablissements Efira (C-210/95); Société Farandole (C-211/95); Société Carat (C-212/95); Société Rio (C-213/95); Société guadeloupéenne de distribution moderne (SGDM) (C-214/95); Martinique automobiles SA (C-215/95); Socovi SARL (C-216/95); Etablissements Gabriel Vangour et Cie SARL (C-217/95); Simat Guadeloupe SARL (C-218/95) v Directeur général des douanes et droits indirects,  Reference for a preliminary ruling: Tribunal d'instance de Paris - France,  Dock dues - Recovery of sums unduly paid - Obligation to pass on the charge - Overseas departments,  Joined cases C-192/95 to C-218/95,ECLI identifier: ECLI:EU:C:1997:12,19/06/1995,14/01/1997,France,Edward,Tesauro,DOM
61993CJ0363,Judgment of the Court of 9 August 1994,,  René Lancry SA v Direction Générale des Souanes and Société Dindar Confort; Christian Ah-Son; Paul Chevassus-Marche; Société Conforéunion and Société Dindar Autos v Conseil Régional de la Réunion and Direction Régionale des Douanes de la Réunion,  References for a preliminary ruling: Cour d'appel de Paris and tribunal d'instance de Saint-Denis (Réunion) - France,  Free movement of goods - Fiscal rules applicable to French overseas departments - Implications of the Legros judgment - Validity of Decision 89/688/EEC,  Joined cases C-363/93; C-407/93; C-408/93; C-409/93; C-410/93 and C-411/93,ECLI identifier: ECLI:EU:C:1994:315,26/07/1993,09/08/1994,France,Edward,Tesauro,DOM
61990CJ0163,Judgment of the Court of 16 July 1992,,  Administration des Douanes et Droits Indirects v Léopold Legros and others,  Reference for a preliminary ruling: Cour d'appel de Saint-Denis (La Réunion) - France,  Free movement of goods - Tax system of French overseas departments,  Case C-163/90,ECLI identifier: ECLI:EU:C:1992:326,01/03/1990,16/07/1992,France,Edward,Jacobs,DOM
61986CJ0250,Judgment of the Court (Sixth Chamber) of 29 June 1989,Sixth Chamber,  Refinarias de Açúcar Reunidas SA (RAR) v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 250/86 and 11/87,ECLI identifier: ECLI:EU:C:1989:275,29/09/1986,29/06/1989,Portugal,Mancini,Mischo,DOM
61985CJ0184,Judgment of the Court of 7 May 1987,,  Commission of the European Communities v Italian Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 184/85,ECLI identifier: ECLI:EU:C:1987:207,13/06/1985,07/05/1987,Italy,O'Higgins,Lenz,DOM
61986CJ0058,Judgment of the Court (Third Chamber) of 26 March 1987,Third Chamber,  Coopérative agricole d'approvisionnement des Avirons v Receveur des douanes de Saint-Denis and directeur régional des douanes; Réunion,  Reference for a preliminary ruling: Tribunal d'instance de Saint-Denis (La Réunion) - France,  Agricultural levies - Prohibition of discrimination - Time-barring of requests for repayments,  Case 58/86,ECLI identifier: ECLI:EU:C:1987:164,03/03/1986,26/03/1987,France,Moitinho de Almeida,Darmon,DOM
61978CJ0103,Judgment of the Court of 18 January 1979,,  Société des Usines de Beaufort and others v Council of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 103 to 109/78,ECLI identifier: ECLI:EU:C:1979:7,28/04/1978,18/01/1979,France,Donner,Warner,DOM
