62017CJ0097,Judgment of the Court (Second Chamber) of 26 April 2018,Second Chamber,European Commission v Republic of Bulgaria,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-97/17,ECLI identifier: ECLI:EU:C:2018:285,24/02/2017,26/04/2018,Bulgaria,Toader,Wathelet,ENV
62017CJ0441,Judgment of the Court (Grand Chamber) of 17 April 2018,Grand Chamber,European Commission v Republic of Poland,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-441/17,ECLI identifier: ECLI:EU:C:2018:255,20/07/2017,17/04/2018,Poland,Regan,Bot,ENV
62017CJ0323,Judgment of the Court (Seventh Chamber) of 12 April 2018,Seventh Chamber,People Over Wind and Peter Sweetman v Coillte Teoranta,Request for a preliminary ruling from the High Court (Ireland),Reference for a preliminary ruling — Environment — Directive 92/43/EEC — Conservation of natural habitats — Special areas of conservation — Article 6(3) — Screening in order to determine whether or not it is necessary to carry out an assessment of the implications; for a special area of conservation; of a plan or project — Measures that may be taken into account for that purpose,Case C-323/17,ECLI identifier: ECLI:EU:C:2018:244,30/05/2017,12/04/2018,Ireland,Toader,Kokott,ENV
62017CJ0302,Judgment of the Court (Sixth Chamber) of 12 April 2018,Sixth Chamber,PPC Power a,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-302/17,ECLI identifier: ECLI:EU:C:2018:245,24/05/2017,12/04/2018,Slovakia,Regan,Saugmandsgaard Øe,ENV
62016CJ0470,Judgment of the Court (First Chamber) of 15 March 2018,First Chamber,North East Pylon Pressure Campaign Limited and Maura Sheehy v An Bord Pleanála and Others,Request for a preliminary ruling from the High Court (Ireland),Reference for a preliminary ruling — Assessment of the effects of certain projects on the environment — Directive 2011/92/EU — Right of members of the public concerned to a review procedure — Premature challenge — Concepts of a not prohibitively expensive procedure and of decisions; acts or omissions subject to the public participation provisions of the directive — Applicability of the Aarhus Convention,Case C-470/16,ECLI identifier: ECLI:EU:C:2018:185,22/08/2016,15/03/2018,Ireland,Bonichot,Bobek,ENV
62017CJ0104,Judgment of the Court (Ninth Chamber) of 15 March 2018,Ninth Chamber,SC Cali Esprou SRL v Administraţia Fondului pentru Mediu,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-104/17,ECLI identifier: ECLI:EU:C:2018:188,27/02/2017,15/03/2018,Romania,Vajda,Campos Sánchez-Bordona,ENV
62016CJ0577,Judgment of the Court (First Chamber) of 28 February 2018,First Chamber,Trinseo Deutschland Anlagengesellschaft mbH v Bundesrepublik Deutschland,Request for a preliminary ruling from the Verwaltungsgericht Berlin,Reference for a preliminary ruling — Environment — Scheme for greenhouse gas emission allowance trading within the European Union — Directive 2003/87/EC — Scope — Article 2(1) — Annex I — Activities subject to the trading scheme — Production of polymers — Use of heat supplied by a third-party installation — Application for free allocation of emission allowances — Period 2013-2020,Case C-577/16,ECLI identifier: ECLI:EU:C:2018:127,16/11/2016,28/02/2018,Germany,Regan,Saugmandsgaard Øe,ENV
62017CJ0117,Judgment of the Court (Sixth Chamber) of 28 February 2018,Sixth Chamber,Comune di Castelbellino v Regione Marche and Others,Request for a preliminary ruling from the Tribunale Amministrativo Regionale per le Marche,Reference for a preliminary ruling — Environment — Directive 2011/92/EU — Article 4(2) and (3) and Annexes I to III — Environmental impact assessment — Authorisation to carry out work in a plant for the production of electricity from biogas without preliminary examination of the need for an environmental impact assessment — Annulment — Regularisation after the event of the authorisation on the basis of new provisions of national law without preliminary examination of the need for an environmental impact assessment,Case C-117/17,ECLI identifier: ECLI:EU:C:2018:129,06/03/2017,28/02/2018,Italy,Bonichot,Kokott,ENV
62016CJ0336,Judgment of the Court (Third Chamber) of 22 February 2018,Third Chamber,European Commission v Republic of Poland,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-336/16,ECLI identifier: ECLI:EU:C:2018:94,15/06/2016,22/02/2018,Poland,Malenovský,Sharpston,ENV
62016CJ0572,Judgment of the Court (First Chamber) of 22 February 2018,First Chamber,INEOS Köln GmbH v Bundesrepublik Deutschland,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-572/16,ECLI identifier: ECLI:EU:C:2018:100,14/11/2016,22/02/2018,Germany,Regan,Saugmandsgaard Øe,ENV
