62016CJ0234,Judgment of the Court (First Chamber) of 26 April 2018,First Chamber,Asociación Nacional de Grandes Empresas de Distribución (ANGED) v Consejería de Economía y Hacienda del Principado de Asturias and Consejo de Gobierno del Principado de Asturias,Requests for a preliminary ruling from the Tribunal Supremo,Reference for a preliminary ruling — Regional tax on large retail establishments — Freedom of establishment — Protection of the environment and town and country planning — State aid — Selective measure,Joined Cases C-234/16 and C-235/16,ECLI identifier: ECLI:EU:C:2018:281,25/04/2016,26/04/2018,Spain,Bonichot,Kokott,ETAB
62016CJ0233,Judgment of the Court (First Chamber) of 26 April 2018,First Chamber,Asociación Nacional de Grandes Empresas de Distribución (ANGED) v Generalitat de Catalunya,Request for a preliminary ruling from the Tribunal Supremo,Reference for a preliminary ruling — Regional tax on large retail establishments — Freedom of establishment — Protection of the environment and town and country planning — State aid — Selective measure — Letter from the Commission stating that no further action will be taken on a complaint — Existing aid,Case C-233/16,ECLI identifier: ECLI:EU:C:2018:280,25/04/2016,26/04/2018,Spain,Bonichot,Kokott,ETAB
62016CJ0236,Judgment of the Court (First Chamber) of 26 April 2018,First Chamber,Asociación Nacional de Grandes Empresas de Distribución (ANGED) v Diputación General de Aragón,Request for a preliminary ruling from the Tribunal Supremo,Reference for a preliminary ruling — Regional tax on large retail establishments — Freedom of establishment — Protection of the environment and town and country planning — State aid — Selective measure,Case C-236/16,ECLI identifier: ECLI:EU:C:2018:291,25/04/2016,26/04/2018,Spain,Bonichot,Kokott,ETAB
62017CJ0065,Judgment of the Court (Ninth Chamber) of 19 April 2018,Ninth Chamber,Oftalma Hospital Srl v Commissione Istituti Ospitalieri Valdesi (CIOV) and Regione Piemonte,Request for a preliminary ruling from the Corte suprema di cassazione,Reference for a preliminary ruling — Public service contracts — Health and social services — Award contrary to the rules on public procurement — Requirement to comply with the principles of transparency and equal treatment — Concept of ‘certain cross-border interest’ — Directive 92/50/EEC — Article 27,Case C-65/17,ECLI identifier: ECLI:EU:C:2018:263,06/02/2017,19/04/2018,Italy,Juhász,Campos Sánchez-Bordona,ETAB
62017CJ0152,Judgment of the Court (Ninth Chamber) of 19 April 2018,Ninth Chamber,Consorzio Italian Management e Catania Multiservizi SpA v Rete Ferroviaria Italiana SpA,Request for a preliminary ruling from the Consiglio di Stato,Reference for a preliminary ruling — Procurement procedures of entities operating in the water; energy; transport and postal services sectors — Directive 2004/17/EC — Obligation to review prices after the award of the contract — No such obligation in Directive 2004/17/EC or arising from the general principles underlying Article 56 TFEU and Directive 2004/17/EC — Cleaning and maintenance services linked to railway transport operations — Article 3(3) TEU — Articles 26; 57; 58 and 101 TFEU — Lack of sufficient information concerning the factual context of the dispute in the main proceedings and the reasons justifying the need for a reply to the questions referred — Inadmissibility — Article 16 of the Charter of Fundamental Rights of the European Union — Provision of national law not implementing EU law — Lack of jurisdiction,Case C-152/17,ECLI identifier: ECLI:EU:C:2018:264,24/03/2017,19/04/2018,Italy,Vajda,Bobek,ETAB
62016CJ0645,Judgment of the Court (Fourth Chamber) of 19 April 2018,Fourth Chamber,Conseils et mise en relations (CMR) SARL v Demeures terre et tradition SARL,Request for a preliminary ruling from the Cour de cassation (France),Reference for a preliminary ruling — Self-employed commercial agents — Directive 86/653/EEC — Right of the commercial agent to an indemnity or compensation for damage following termination of the commercial agency contract — Article 17 — Exclusion from the right to indemnity in the event of termination of the contract during the trial period provided for in the contract,Case C-645/16,ECLI identifier: ECLI:EU:C:2018:262,15/12/2016,19/04/2018,France,Jürimäe,Szpunar,ETAB
62016CJ0320,Judgment of the Court (Grand Chamber) of 10 April 2018,Grand Chamber,Criminal proceedings against Uber France,Request for a preliminary ruling from the Tribunal de grande instance de Lille,Reference for a preliminary ruling — Services in the field of transport — Directive 2006/123/EC — Services in the internal market — Directive 98/34/EC — Information society services — Rule on information society services — Definition — Intermediation service making it possible; by means of a smartphone application and for remuneration; to put non-professional drivers using their own vehicle in contact with persons who wish to make urban journeys — Criminal penalties,Case C-320/16,ECLI identifier: ECLI:EU:C:2018:221,06/06/2016,10/04/2018,France,Šváby,Szpunar,ETAB
62015CJ0688,Judgment of the Court (Fifth Chamber) of 22 March 2018,Fifth Chamber,Agnieška Anisimovienė and Others v bankas „Snoras“ AB; in liquidation and Others,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-688/15 and C-109/16,ECLI identifier: ECLI:EU:C:2018:209,21/12/2015,22/03/2018,Lithuania,da Cruz Vilaça,,ETAB
62016CJ0568,Judgment of the Court (Fifth Chamber) of 22 March 2018,Fifth Chamber,Rasool Entertainment GmbH and Staatsanwaltschaft Stuttgart v Faiz Rasool,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-568/16,ECLI identifier: ECLI:EU:C:2018:211,10/11/2016,22/03/2018,Germany,da Cruz Vilaça,Saugmandsgaard Øe,ETAB
62016CJ0187,Judgment of the Court (Grand Chamber) of 20 March 2018,Grand Chamber,European Commission v Republic of Austria,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-187/16,ECLI identifier: ECLI:EU:C:2018:194,04/04/2016,20/03/2018,Austria,Bay Larsen,,ETAB
62016CJ0355,Judgment of the Court (First Chamber) of 15 March 2018,First Chamber,Christian Picart v Ministre des Finances et des Comptes publics,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-355/16,ECLI identifier: ECLI:EU:C:2018:184,28/06/2016,15/03/2018,France,Fernlund,Mengozzi,ETAB
62016CJ0575,Judgment of the Court (Sixth Chamber) of 15 March 2018,Sixth Chamber,European Commission v Czech Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-575/16,ECLI identifier: ECLI:EU:C:2018:186,14/11/2016,15/03/2018,Czech Republic,Arabadjiev,,ETAB
62017CJ0009,Judgment of the Court (Third Chamber) of 1 March 2018,Third Chamber,Proceedings brought by Maria Tirkkonen,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-9/17,ECLI identifier: ECLI:EU:C:2018:142,09/01/2016,01/03/2018,Finland,Šváby,Campos Sánchez-Bordona,ETAB
62016CJ0297,Judgment of the Court (Third Chamber) of 1 March 2018,Third Chamber,Colegiul Medicilor Veterinari din România (CMVRO) v Autoritatea Naţională Sanitară Veterinară şi pentru Siguranţa Alimentelor,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-297/16,ECLI identifier: ECLI:EU:C:2018:141,25/05/2016,01/03/2018,Romania,Malenovský,Wahl,ETAB
62016CJ0523,Judgment of the Court (Eighth Chamber) of 28 February 2018,Eighth Chamber,MA,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-523/16 and C-536/16,ECLI identifier: ECLI:EU:C:2018:122,12/10/2016,28/02/2018,Italy,Vilaras,Campos Sánchez-Bordona,ETAB
62016CJ0398,Judgment of the Court (First Chamber) of 22 February 2018,First Chamber,X BV and X NV v Staatssecretaris van Financiën,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-398/16 and C-399/16,ECLI identifier: ECLI:EU:C:2018:110,18/07/2016,22/02/2018,Netherlands,Bonichot,Campos Sánchez-Bordona,ETAB
62017CJ0132,Judgment of the Court (Ninth Chamber) of 21 February 2018,Ninth Chamber,Peugeot Deutschland GmbH v Deutsche Umwelthilfe eV,Request for a preliminary ruling from the Bundesgerichtshof,Reference for a preliminary ruling — Freedom to provide services — Directive 2010/13/EU — Definitions — Concept of ‘audiovisual media service’ — Scope — Channel available on YouTube for videos promoting new passenger cars,Case C-132/17,ECLI identifier: ECLI:EU:C:2018:85,14/03/2017,21/02/2018,Germany,Vajda,Saugmandsgaard Øe,ETAB
62016CJ0643,Judgment of the Court (First Chamber) of 7 February 2018,First Chamber,American Express Co,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-643/16,ECLI identifier: ECLI:EU:C:2018:67,12/12/2016,07/02/2018,GBR,Regan,Campos Sánchez-Bordona,ETAB
62016CJ0304,Judgment of the Court (First Chamber) of 7 February 2018,First Chamber,American Express Co,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-304/16,ECLI identifier: ECLI:EU:C:2018:66,30/05/2016,07/02/2018,United Kingdom,Regan,Campos Sánchez-Bordona,ETAB
