62016CJ0256,Judgment of the Court (Third Chamber) of 15 March 2018,Third Chamber,Deichmann SE v Hauptzollamt Duisburg,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-256/16,ECLI identifier: ECLI:EU:C:2018:187,09/05/2016,15/03/2018,Germany,Malenovský,Campos Sánchez-Bordona,EXT
62016CJ0301,Judgment of the Court (Second Chamber) of 28 February 2018,Second Chamber,European Commission v Xinyi PV Products (Anhui) Holdings Ltd,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-301/16 P,ECLI identifier: ECLI:EU:C:2018:132,26/05/2016,28/02/2018,,Prechal,Mengozzi,EXT
62016CJ0266,Judgment of the Court (Grand Chamber) of 27 February 2018,Grand Chamber,Western Sahara Campaign UK v Commissioners for Her Majesty's Revenue and Customs and Secretary of State for Environment; Food and Rural Affairs,Request for a preliminary ruling from the High Court of Justice (England & Wales); Queen's Bench Division (Administrative Court),Reference for a preliminary ruling — Fisheries Partnership Agreement between the European Community and the Kingdom of Morocco — Protocol setting out the fishing opportunities provided for by the agreement — Acts approving the conclusion of the agreement and of the protocol — Regulations allocating among the Member States the fishing opportunities set out by the protocol — Jurisdiction — Interpretation — Validity having regard to Article 3(5) TEU and international law — Applicability of that agreement and that protocol to the territory of Western Sahara and the waters adjacent thereto,Case C-266/16,ECLI identifier: ECLI:EU:C:2018:118,13/05/2016,27/02/2018,United Kingdom,Malenovský,Wathelet,EXT
62016CJ0061,Judgment of the Court (Fourth Chamber) of 14 December 2017,Fourth Chamber,European Bicycle Manufacturers Association (EBMA) v Giant (China) Co, Ltd,Appeal — Dumping — Regulation (EU) No 502/2013 — Imports of bicycles originating in China — Regulation (EC) No 1225/2009 — Article 18(1) — Cooperation — Definition of ‘necessary information’ — Article 9(5) — Request for individual treatment — Risk of circumvention,Case C-61/16 P,ECLI identifier: ECLI:EU:C:2017:968,04/02/2016,14/12/2017,Belgium,Jürimäe,Mengozzi,EXT
62014CJ0600,Judgment of the Court (Grand Chamber) of 5 December 2017,Grand Chamber,Federal Republic of Germany v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-600/14,ECLI identifier: ECLI:EU:C:2017:935,22/12/2014,05/12/2017,Germany,Vajda,Szpunar,EXT
62016CJ0205,Judgment of the Court (Ninth Chamber) of 9 November 2017,Ninth Chamber,SolarWorld AG v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-205/16 P,ECLI identifier: ECLI:EU:C:2017:840,11/04/2016,09/11/2017,Germany,Lycourgos,Tanchev,EXT
62016CJ0204,Judgment of the Court (Ninth Chamber) of 9 November 2017,Ninth Chamber,SolarWorld AG v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-204/16 P,ECLI identifier: ECLI:EU:C:2017:838,11/04/2016,09/11/2017,Germany,Lycourgos,Tanchev,EXT
62016CJ0423,Judgment of the Court (First Chamber) of 9 November 2017,First Chamber,HX v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-423/16 P,ECLI identifier: ECLI:EU:C:2017:848,01/08/2016,09/11/2017,,Bonichot,Kokott,EXT
62016CJ0599,Judgment of the Court (Eighth Chamber) of 19 October 2017,Eighth Chamber,Oleksandr Viktorovych Yanukovych v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-599/16 P,ECLI identifier: ECLI:EU:C:2017:785,23/11/2016,19/10/2017,,Vilaras,Mengozzi,EXT
62016CJ0598,Judgment of the Court (Eighth Chamber) of 19 October 2017,Eighth Chamber,Viktor Fedorovych Yanukovych v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-598/16 P,ECLI identifier: ECLI:EU:C:2017:786,23/11/2016,19/10/2017,,Vilaras,Mengozzi,EXT
62016CJ0156,Judgment of the Court (Eighth Chamber) of 12 October 2017,Eighth Chamber,Tigers GmbH v Hauptzollamt Landshut,Request for a preliminary ruling from the Finanzgericht München,Reference for a preliminary ruling — Implementing Regulation (EU) No 412/2013 — Article 1(3) — Community Customs Code — Article 78 — Rule making the application of individual anti-dumping duty rates conditional upon presentation of a valid commercial invoice — Whether a valid commercial invoice may be presented after the customs declaration — Refusal to refund,Case C-156/16,ECLI identifier: ECLI:EU:C:2017:754,17/03/2016,12/10/2017,Germany,Malenovský,Mengozzi,EXT
62015CJ0079,Judgment of the Court (Grand Chamber) of 26 July 2017,Grand Chamber,Council of the European Union v Hamas,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-79/15 P,ECLI identifier: ECLI:EU:C:2017:584,20/02/2015,26/07/2017,,von Danwitz,Sharpston,EXT
62014CJ0599,Judgment of the Court (Grand Chamber) of 26 July 2017,Grand Chamber,Council of the European Union v Liberation Tigers of Tamil Eelam (LTTE),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-599/14 P,ECLI identifier: ECLI:EU:C:2017:583,19/12/2014,26/07/2017,Denmark,von Danwitz,Sharpston,EXT
62016CJ0349,Judgment of the Court (Eighth Chamber) of 15 June 2017,Eighth Chamber,T,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-349/16,ECLI identifier: ECLI:EU:C:2017:469,24/06/2016,15/06/2017,Belgium,Vilaras,Szpunar,EXT
62016CJ0019,Judgment of the Court (Eighth Chamber) of 15 June 2017,Eighth Chamber,Al-Bashir Mohammed Al-Faqih and Others v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-19/16 P,ECLI identifier: ECLI:EU:C:2017:466,07/01/2016,15/06/2017,United Kingdom,Vilaras,Mengozzi,EXT
62015CJ0045,Judgment of the Court (Grand Chamber) of 30 May 2017,Grand Chamber,Safa Nicu Sepahan Co, v Council of the European Union,Appeal — Action for damages — Common foreign and security policy (CFSP) — Restrictive measures against the Islamic Republic of Iran — List of persons and entities subject to the freezing of funds and economic resources — Material damage — Non-material damage — Error of assessment in respect of the amount of compensation — None — Cross-appeal — Conditions governing the incurring of the European Union’s non-contractual liability — Obligation to substantiate the restrictive measures — Sufficiently serious breach,Case C-45/15 P,ECLI identifier: ECLI:EU:C:2017:402,04/02/2015,30/05/2017,,Rosas,Mengozzi,EXT
