62015CJ0574,Judgment of the Court (Grand Chamber) of 2 May 2018,Grand Chamber,Criminal proceedings against Procura della Repubblica di Varese,Request for a preliminary ruling from Tribunale di Varese,Reference for a preliminary ruling — Value added tax (VAT) — Protection of the European Union’s financial interests — Article 4(3) TEU — Article 325(1) TFEU — Directive 2006/112/EC — PFI Convention — Penalties — Principles of equivalence and effectiveness — Failure to pay; within the time limit prescribed by law; the VAT resulting from an annual tax return — National legislation imposing a custodial sentence only where the amount of unpaid VAT exceeds a certain criminalisation threshold — National legislation imposing a lower criminalisation threshold for a failure to pay withholding income tax,Case C-574/15,ECLI identifier: ECLI:EU:C:2018:295,09/11/2015,02/05/2018,Italy,da Cruz Vilaça,Bobek,FISC
62017CJ0081,Judgment of the Court (Ninth Chamber) of 26 April 2018,Ninth Chamber,Zabrus Siret SRL v Direcţia Generală Regională a Finanţelor Publice Iaşi - Administraţia Judeţeană a Finanţelor Publice Suceava,Request for a preliminary ruling from the Curtea de Apel Suceava,Reference for a preliminary ruling — Taxation — Directive 2006/112/EC — Common system of value added tax (VAT) — Deduction of input tax — Right to a refund of VAT — Transactions relating to a tax period that has already been the subject of a tax inspection which has concluded — National legislation — Possibility for the taxable person to correct tax returns which have already been covered by a tax inspection — Precluded — Principle of effectiveness — Fiscal neutrality — Legal certainty),Case C-81/17,ECLI identifier: ECLI:EU:C:2018:283,14/02/2017,26/04/2018,Romania,Juhász,Wahl,FISC
62016CJ0234,Judgment of the Court (First Chamber) of 26 April 2018,First Chamber,Asociación Nacional de Grandes Empresas de Distribución (ANGED) v Consejería de Economía y Hacienda del Principado de Asturias and Consejo de Gobierno del Principado de Asturias,Requests for a preliminary ruling from the Tribunal Supremo,Reference for a preliminary ruling — Regional tax on large retail establishments — Freedom of establishment — Protection of the environment and town and country planning — State aid — Selective measure,Joined Cases C-234/16 and C-235/16,ECLI identifier: ECLI:EU:C:2018:281,25/04/2016,26/04/2018,Spain,Bonichot,Kokott,FISC
62016CJ0233,Judgment of the Court (First Chamber) of 26 April 2018,First Chamber,Asociación Nacional de Grandes Empresas de Distribución (ANGED) v Generalitat de Catalunya,Request for a preliminary ruling from the Tribunal Supremo,Reference for a preliminary ruling — Regional tax on large retail establishments — Freedom of establishment — Protection of the environment and town and country planning — State aid — Selective measure — Letter from the Commission stating that no further action will be taken on a complaint — Existing aid,Case C-233/16,ECLI identifier: ECLI:EU:C:2018:280,25/04/2016,26/04/2018,Spain,Bonichot,Kokott,FISC
62016CJ0236,Judgment of the Court (First Chamber) of 26 April 2018,First Chamber,Asociación Nacional de Grandes Empresas de Distribución (ANGED) v Diputación General de Aragón,Request for a preliminary ruling from the Tribunal Supremo,Reference for a preliminary ruling — Regional tax on large retail establishments — Freedom of establishment — Protection of the environment and town and country planning — State aid — Selective measure,Case C-236/16,ECLI identifier: ECLI:EU:C:2018:291,25/04/2016,26/04/2018,Spain,Bonichot,Kokott,FISC
62016CJ0580,Judgment of the Court (Fourth Chamber) of 19 April 2018,Fourth Chamber,Firma Hans Bühler KG v Finanzamt de Graz-Stadt,Request for a preliminary ruling from the Verwaltungsgerichtshof,Reference for a preliminary ruling — Taxation — Value added tax (VAT) — Directive 2006/112/EC — Place of intra-Community acquisition — Article 42 — Intra-Community acquisition of goods that are the object of a subsequent supply — Article 141 — Exemption — Triangular transaction — Simplification measures — Article 265 — Correction of recapitulative statement,Case C-580/16,ECLI identifier: ECLI:EU:C:2018:261,17/11/2016,19/04/2018,Austria,Jürimäe,Bot,FISC
62017CJ0008,Judgment of the Court (Seventh Chamber) of 12 April 2018,Seventh Chamber,Biosafe - Indústria de Reciclagens SA v Flexipiso - Pavimentos SA,Request for a preliminary ruling from the Supremo Tribunal de Justiça,Reference for a preliminary ruling — Value added tax (VAT) — Directive 2006/112/EC — Articles 63; 167; 168; 178 to 180; 182 and 219 — Principle of fiscal neutrality — Right to deduct VAT — Period allowed by national law for exercising that right — Deduction of additional VAT paid to the State that was the subject of documents rectifying the initial invoices following a tax adjustment — The date from which the period starts to run,Case C-8/17,ECLI identifier: ECLI:EU:C:2018:249,09/01/2017,12/04/2018,Portugal,Jarašiūnas,Kokott,FISC
62016CJ0532,Judgment of the Court (First Chamber) of 11 April 2018,First Chamber,Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos v AB SEB bankas,Request for a preliminary ruling from the Lietuvos vyriausiasis administracinis teismas,Reference for a preliminary ruling — Common system of value added tax (VAT) — Limitation of the right to deduct input tax — Adjustment of the deduction of input tax paid — Supply of land — Mischaracterisation as ‘taxable activity’ — Indication of VAT on the initial invoice — Amendment of that indication by the supplier,Case C-532/16,ECLI identifier: ECLI:EU:C:2018:228,18/10/2016,11/04/2018,Lithuania,Bonichot,Bobek,FISC
62016CJ0327,Judgment of the Court (First Chamber) of 22 March 2018,First Chamber,Marc Jacob and Ministre des Finances et des Comptes publics v Ministre des Finances et des Comptes publics and Marc Lassus,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-327/16 and C-421/16,ECLI identifier: ECLI:EU:C:2018:210,10/06/2016,22/03/2018,France,Fernlund,Wathelet,FISC
62016CJ0533,Judgment of the Court (Second Chamber) of 21 March 2018,Second Chamber,Volkswagen AG v Finančné riaditeľstvo Slovenskej republiky,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-533/16,ECLI identifier: ECLI:EU:C:2018:204,20/10/2016,21/03/2018,Slovakia,Jarašiūnas,Campos Sánchez-Bordona,FISC
