62016CJ0408,Judgment of the Court (Eighth Chamber) of 6 December 2017,Eighth Chamber,Compania Naţională de Administrare a Infrastructurii Rutiere SA v Ministerul Fondurilor Europene - Direcţia Generală Managementul Fondurilor Externe,Request for a preliminary ruling from the Curtea de Apel Bucureşti,Reference for a preliminary ruling — Public procurement — Directive 2004/18/EC — Scope — Regulation (EC) No 1083/2006 — European Regional Development Fund; European Social Fund and Cohesion Fund — Finance agreement for the construction of a motorway concluded with the European Investment Bank before the accession of the Member State to the European Union — Concept of ‘irregularity’ within the meaning of Regulation No 1083/2006,Case C-408/16,ECLI identifier: ECLI:EU:C:2017:940,21/07/2016,06/12/2017,Romania,Šváby,Campos Sánchez-Bordona,FSE
62012CJ0562,Judgment of the Court (Fourth Chamber); 17 September 2014,Fourth Chamber,Liivimaa Lihaveis MTÜ v Eesti-Läti programmi 2007-2013 Seirekomitee,Request for a preliminary ruling from the Tartu ringkonnakohus,Reference for a preliminary ruling — Structural funds — Regulations (EC) Nos 1083/2006 and 1080/2006 — European Regional Development Fund (ERDF) — Operational programme aiming to promote European territorial cooperation between the Republic of Estonia and the Republic of Latvia — Decision of the monitoring committee rejecting a subsidy — Provision that the decisions of that committee cannot be subject to legal review — Article 267 TFEU — Act adopted by an institution; organ or body of the European Union — Charter of Fundamental Rights of the European Union — Implementation of EU law — Article 47 — Right to effective judicial protection — Right of access to the courts — Determination of which Member State’s courts have jurisdiction to rule on an action,Case C‑562/12,ECLI identifier: ECLI:EU:C:2014:2229,05/12/2012,17/09/2014,Estonia,Safjan,Jääskinen,FSE
62006CJ0383,Judgment of the Court (Third Chamber) of 13 March 2008,Third Chamber,  Vereniging Nationaal Overlegorgaan Sociale Werkvoorziening (C-383/06) and Gemeente Rotterdam (C-384/06) v Minister van Sociale Zaken en Werkgelegenheid and Sociaal Economische Samenwerking West-Brabant (C-385/06) v Algemene Directie voor de Arbeidsvoorziening,  Reference for a preliminary ruling: Raad van State - Netherlands,  Structural Funds - Article 23(1) of Council Regulation (EEC) No 4253/88 - Withdrawal and recovery of Community financial aid - Article 249 EC - Protection of legitimate expectations and legal certainty,  Joined cases C-383/06 to C-385/06,ECLI identifier: ECLI:EU:C:2008:165,18/09/2006,13/03/2008,Netherlands,Lindh,Bot,FSE
62006CJ0158,Judgment of the Court (First Chamber) of 21 June 2007,First Chamber,  Stichting ROM-projecten v Staatssecretaris van Economische Zaken,  Reference for a preliminary ruling: College van Beroep voor het bedrijfsleven - Netherlands,  Structural funds - Repayment of Community aid in the case of irregularity - Failure to publish or make known the conditions of grant of the aid - Beneficiary’s lack of knowledge - Good faith - Legal certainty - Effectiveness -Article 10 EC,  Case C-158/06,ECLI identifier: ECLI:EU:C:2007:370,23/03/2006,21/06/2007,Netherlands,Ilešič,Mazák,FSE
62003CJ0199,Judgment of the Court (Second Chamber) of 15 September 2005,Second Chamber,  Ireland v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-199/03,ECLI identifier: ECLI:EU:C:2005:548,07/05/2003,15/09/2005,Ireland,Silva de Lapuerta,Tizzano,FSE
61998CJ0413,Judgment of the Court (Sixth Chamber) of 25 January 2001,Sixth Chamber,  Directora-Geral do Departamento para os Assuntos do Fundo Social Europeu (DAFSE) v Frota Azul-Transportes e Turismo Ldª,  Reference for a preliminary ruling: Supremo Tribunal Administrativo - Portugal,  European Social Fund - Certification of facts and accounts - Powers of certification - Limits,  Case C-413/98,ECLI identifier: ECLI:EU:C:2001:55,20/11/1998,25/01/2001,Portugal,Macken,Mischo,FSE
61998CJ0462,Judgment of the Court (Fifth Chamber) of 21 September 2000,Fifth Chamber,  Mediocurso - Estabelecimento de Ensino Particular Ld,ª v Commission of the European Communities,  Appeal - European Social Fund - Training programmes - Reduction of financial assistance - Rights of defence - Right to be heard,  Case C-462/98 P,ECLI identifier: ECLI:EU:C:2000:480,17/12/1998,21/09/2000,Portugal,Ragnemalm,Mischo,FSE
61998CJ0186,Judgment of the Court (First Chamber) of 8 July 1999,First Chamber,  Criminal proceedings against Maria Amélia Nunes and Evangelina de Matos,  Reference for a preliminary ruling: Tribunal de Círculo do Porto - Portugal,  Financial assistance granted from the European Social Fund - Improper use of funds - Penalties under Community law and national law,  Case C-186/98,ECLI identifier: ECLI:EU:C:1999:376,18/05/1998,08/07/1999,Portugal,Jann,Jacobs,FSE
61995CJ0143,Judgment of the Court (Sixth Chamber) of 9 January 1997,Sixth Chamber,  Commission of the European Communities v Sociedade de Curtumes a Sul do Tejo Ldª (Socurte); Revestimentos de Cortiça Ldª (Quavi) and Sociedade Transformadora de Carnes Ldª (Stec),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-143/95 P,ECLI identifier: ECLI:EU:C:1997:3,08/05/1995,09/01/1997,Portugal,Murray,Lenz,FSE
61995CJ0032,Judgment of the Court (Sixth Chamber) of 24 October 1996,Sixth Chamber,  Commission of the European Communities v Lisrestal - Organização Gestão de Restaurantes Colectivos Ldª; Gabinete Técnico de Informática Ldª (GTI); Lisnico - Serviço Marítimo Internacional Ldª; Rebocalis - Rebocagem e Assistência Marítima Ldª and Gaslimpo - Sociedade de Desgasificação de Navios SA,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-32/95 P,ECLI identifier: ECLI:EU:C:1996:402,10/02/1995,24/10/1996,Portugal,Ragnemalm,,FSE
61991CJ0130(01),Judgment of the Court of 16 January 1996,,  ISAE/VP (Instituto Social de Apoio ao Emprego e à Valorização Profissional) and Interdata (Centro de Processamento de Dados Ldª) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-130/91 REV II,ECLI identifier: ECLI:EU:C:1996:7,15/05/1995,16/01/1996,Portugal,Murray,Léger,FSE
