62017CJ0034,Judgment of the Court (Second Chamber) of 26 April 2018,Second Chamber,Eamonn Donnellan v The Revenue Commissioners,Request for a preliminary ruling from the High Court (Ireland),Reference for a preliminary ruling — Mutual assistance for the recovery of claims — Directive 2010/24/EU — Article 14 — Right to an effective remedy — Charter of Fundamental Rights of the European Union — Article 47 — Possibility for the requested authority to refuse recovery assistance on the basis that the claim was not duly notified,Case C-34/17,ECLI identifier: ECLI:EU:C:2018:282,24/01/2017,26/04/2018,Ireland,Ilešič,Tanchev,LCC
62017CJ0110,Judgment of the Court (Sixth Chamber) of 12 April 2018,Sixth Chamber,European Commission v Kingdom of Belgium,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-110/17,ECLI identifier: ECLI:EU:C:2018:250,03/03/2017,12/04/2018,Belgium,Bonichot,Sharpston,LCC
62015CJ0688,Judgment of the Court (Fifth Chamber) of 22 March 2018,Fifth Chamber,Agnieška Anisimovienė and Others v bankas „Snoras“ AB; in liquidation and Others,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-688/15 and C-109/16,ECLI identifier: ECLI:EU:C:2018:209,21/12/2015,22/03/2018,Lithuania,da Cruz Vilaça,,LCC
62016CJ0052,Judgment of the Court (Grand Chamber) of 6 March 2018,Grand Chamber,'SEGRO' Kft,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-52/16 and C-113/16,ECLI identifier: ECLI:EU:C:2018:157,29/01/2016,06/03/2018,Hungary,Prechal,Saugmandsgaard Øe,LCC
62017CJ0045,Judgment of the Court (Tenth Chamber) of 18 January 2018,Tenth Chamber,Frédéric Jahin v Ministre de l'Économie et des Finances and Ministre des Affaires sociales et de la Santé,Request for a preliminary ruling from the Conseil d'État (France),Reference for a preliminary ruling — Free movement of capital — Articles 63 and 65 TFEU — Regulation (EC) No 883/2004 — Article 11 — Levies on income from assets contributing to the financing of the social security scheme of a Member State — Exemption for nationals of the European Union affiliated to a social security scheme of another Member State — Natural persons affiliated to a social security scheme of a third country — Difference of treatment — Restriction — Justification,Case C-45/17,ECLI identifier: ECLI:EU:C:2018:18,30/01/2017,18/01/2018,France,Biltgen,Mengozzi,LCC
62016CJ0322,Judgment of the Court (First Chamber) of 20 December 2017,First Chamber,Global Starnet Ltd v Ministero dell'Economia e delle Finanze and Amministrazione Autonoma Monopoli di Stato,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-322/16,ECLI identifier: ECLI:EU:C:2017:985,07/06/2016,20/12/2017,Italy,Rodin,Wahl,LCC
62015CJ0658,Judgment of the Court (Fourth Chamber) of 16 November 2017,Fourth Chamber,Robeco Hollands Bezit NV and Others v Stichting Autoriteit Financiële Markten (AFM),Request for a preliminary ruling from the College van Beroep voor het Bedrijfsleven,Reference for a preliminary ruling — Directive 2004/39/EC — Markets in financial instruments — Article 4(1)(14) — Definition of ‘regulated market’ — Scope — System in which the participants are brokers representing investors and ‘open end’ investment fund agents required to execute orders relating to their funds,Case C-658/15,ECLI identifier: ECLI:EU:C:2017:870,07/12/2015,16/11/2017,Netherlands,Vajda,Campos Sánchez-Bordona,LCC
62016CJ0573,Judgment of the Court (Seventh Chamber) of 19 October 2017,Seventh Chamber,Air Berlin plc v Commissioners for Her Majesty's Revenue & Customs,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-573/16,ECLI identifier: ECLI:EU:C:2017:772,14/11/2016,19/10/2017,United Kingdom,Rosas,,LCC
62015CJ0646,Judgment of the Court (First Chamber) of 14 September 2017,First Chamber,Trustees of the P Panayi Accumulation & Maintenance Settlements v Commissioners for Her Majesty's Revenue and Customs,Request for a preliminary ruling from the First-tier Tribunal (Tax Chamber),Reference for a preliminary ruling — Direct taxation — Freedom of establishment — Freedom to provide services — Free movement of capital — Trust — Trustees — Other legal persons — Meaning — Tax on gains in value of assets held in trust by reason of the trustees’ place of residence for tax purposes being transferred to another Member State– Determination of the amount of tax due at the time of that transfer — Tax payable immediately — Justification — Proportionality,Case C-646/15,ECLI identifier: ECLI:EU:C:2017:682,03/12/2015,14/09/2017,United Kingdom,Fernlund,Kokott,LCC
62015CJ0628,Judgment of the Court (Second Chamber) of 14 September 2017,Second Chamber,The Trustees of the BT Pension Scheme v Commissioners for Her Majesty's Revenue and Customs,Request for a preliminary ruling from the Court of Appeal (England & Wales) (Civil Division),Reference for a preliminary ruling — Free movement of capital — Article 63 TFEU — Scope — Tax legislation of a Member State — Corporation tax — Tax credit — Pension funds — Refusal to grant the tax credit to shareholders not subject to tax on investment income for dividends arising from foreign income — Interpretation of the judgment of 12 December 2006; Test Claimants in the FII Group Litigation (C‑446/04; EU:C:2006:774) — Tax credit unlawfully withheld — Remedies,Case C-628/15,ECLI identifier: ECLI:EU:C:2017:687,24/11/2015,14/09/2017,United Kingdom,Rosas,Wathelet,LCC
