62017CJ0227,Judgment of the Court (Tenth Chamber) of 12 April 2018,Tenth Chamber,Medtronic GmbH v Finanzamt Neuss,Request for a preliminary ruling from the Finanzgericht Düsseldorf,Reference for a preliminary ruling — Regulation (EEC) No 2658/87 — Customs Union and Common Customs Tariff — Tariff classification — Combined Nomenclature — Subheadings 9021 10 10; 9021 10 90 and 9021 90 90 — Spinal fixation systems — Implementing Regulation (EU) No 1214/2014,Case C-227/17,ECLI identifier: ECLI:EU:C:2018:247,28/04/2017,12/04/2018,Germany,Borg Barthet,Wathelet,LCM
62017CJ0076,Judgment of the Court (Fourth Chamber) of 1 March 2018,Fourth Chamber,SC Petrotel-Lukoil SA and Maria Magdalena Georgescu v Ministerul Economiei and Others,Request for a preliminary ruling from the Înalta Curte de Casaţie şi Justiţie,Reference for a preliminary ruling — Charges having an effect equivalent to customs duties — Article 30 TFEU — Internal taxation — Article 110 TFEU — Charge applied to exported petroleum products — Charge not passed on to the consumer — Tax burden for the taxpayer — Reimbursement of the sums paid by the taxpayer,Case C-76/17,ECLI identifier: ECLI:EU:C:2018:139,13/02/2017,01/03/2018,Romania,Lycourgos,Szpunar,LCM
62016CJ0545,Judgment of the Court (Sixth Chamber) of 22 February 2018,Sixth Chamber,Kubota (UK) Limited and EP Barrus Limited v Commissioners for Her Majesty's Revenue & Customs,Request for a preliminary ruling from the First-tier Tribunal (Tax Chamber),Reference for a preliminary ruling — Common Customs Tariff — Tariff headings — Motor vehicles for the transport of goods — Subheadings 8704 10 10 and 8704 21 91 — Regulation (EU) 2015/221 — Validity,Case C-545/16,ECLI identifier: ECLI:EU:C:2018:101,28/10/2016,22/02/2018,United Kingdom,Rodin,Wahl,LCM
62016CJ0267,Judgment of the Court (Grand Chamber) of 23 January 2018,Grand Chamber,Albert Buhagiar and Others v Minister for Justice,Request for a preliminary ruling from the Supreme Court of Gibraltar,Reference for a preliminary ruling — Territorial scope of EU law — Article 355(3) TFEU — Act concerning the Conditions of Accession of the Kingdom of Denmark; Ireland and the United Kingdom of Great Britain and Northern Ireland and the Adjustments to the Treaties — Article 29 — Point 4 of Section I of Annex I — Exclusion of Gibraltar from the customs territory of the European Union — Implications — Directive 91/477/EEC — Article 1(4) — Article 12(2) — Annex II — European firearms pass — Hunting and target shooting activities — Applicability to the territory of Gibraltar — Obligation to transpose — No such obligation — Validity,Case C-267/16,ECLI identifier: ECLI:EU:C:2018:26,13/05/2016,23/01/2018,United Kingdom,Ilešič,Mengozzi,LCM
62016CJ0529,Judgment of the Court (First Chamber) of 20 December 2017,First Chamber,Hamamatsu Photonics Deutschland GmbH v Hauptzollamt München,Request for a preliminary ruling from the Finanzgericht München,Reference for a preliminary ruling — Common Customs Tariff — Customs Code — Article 29 — Determination of the customs value — Cross-border transactions between related companies — Advance transfer pricing arrangement — Agreed transfer price composed of an amount initially invoiced and a flat-rate adjustment made after the end of the accounting period,Case C-529/16,ECLI identifier: ECLI:EU:C:2017:984,17/10/2016,20/12/2017,Germany,Regan,Tanchev,LCM
62016CJ0276,Judgment of the Court (Seventh Chamber) of 20 December 2017,Seventh Chamber,Prequ' Italia Srl v Agenzia delle Dogane e dei Monopoli,Request for a preliminary ruling from the Corte suprema di cassazione,Reference for a preliminary ruling — Principle of protection of the rights of the defence — Right to be heard — Regulation (EEC) No 2913/92 — Community Customs Code — Article 244 — Recovery of a customs debt — Lack of prior hearing of the addressee before the adoption of an amended tax assessment — Right of the addressee to obtain suspension of the implementation of the amended tax assessment — Lack of automatic suspension in the event of the bringing of administrative proceedings — Reference to the conditions provided for in Article 244 of the Customs Code,Case C-276/16,ECLI identifier: ECLI:EU:C:2017:1010,17/05/2016,20/12/2017,Italy,Rosas,Wathelet,LCM
62016CJ0224,Judgment of the Court (Second Chamber) of 22 November 2017,Second Chamber,Asotsiatsia na balgarskite predpriyatia za mezhdunarodni prevozi i patishtata (Aebtri) v Nachalnik na Mitnitsa Burgas,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-224/16,ECLI identifier: ECLI:EU:C:2017:880,20/04/2016,22/11/2017,Bulgaria,Prechal,Bobek,LCM
62016CJ0046,Judgment of the Court (Fifth Chamber) of 9 November 2017,Fifth Chamber,Valsts ieņēmumu dienests v "LS Customs Services"; SIA,Request for a preliminary ruling from the Augstākā tiesa,Reference for a preliminary ruling — Customs union — Regulation (EEC) No 2913/92 — Community Customs Code — Non-Community goods — External Community customs transit procedure — Unlawful removal from customs supervision of goods liable to import duties — Determination of the customs value — Article 29(1) — Conditions for the application of the transaction value method — Articles 30 and 31 — Choice of the method for determining the customs value — Obligation imposed upon the customs authorities to state reasons for the chosen method,Case C-46/16,ECLI identifier: ECLI:EU:C:2017:839,27/01/2016,09/11/2017,Latvia,Borg Barthet,Kokott,LCM
62016CJ0522,Judgment of the Court (Third Chamber) of 19 October 2017,Third Chamber,A v Staatssecretaris van Financiën,Request for a preliminary ruling from the Hoge Raad der Nederlanden,Reference for a preliminary ruling — Customs union and Common Customs Tariff — Regulation (EEC) No 2913/92 — Second subparagraph of Article 201(3) and Article 221(3) and (4) — Regulation (EEC) No 2777/75 — Regulation (EC) No 1484/95 — Additional import duties — Artificial arrangement intended to avoid the additional duties due — Customs declaration based on false information — Persons capable of being held liable for the customs debt — Limitation period,Case C-522/16,ECLI identifier: ECLI:EU:C:2017:778,07/10/2016,19/10/2017,Netherlands,Vilaras,,LCM
62016CJ0556,Judgment of the Court (Ninth Chamber) of 19 October 2017,Ninth Chamber,Lutz GmbH v Hauptzollamt Hannover,Request for a preliminary ruling from the Finanzgericht Hamburg,Reference for a preliminary ruling — Regulation (EEC) No 2658/87 — Customs Union — Common Customs Tariff — Tariff classification — Combined Nomenclature — Tariff headings — Subheading 6212 20 00 (Panty girdles) — Explanatory Notes to the Combined Nomenclature — Explanatory Notes to the Harmonised System,Case C-556/16,ECLI identifier: ECLI:EU:C:2017:777,03/11/2016,19/10/2017,Germany,Juhász,,LCM
