62016CJ0434,Judgment of the Court (Second Chamber) of 20 December 2017,Second Chamber,Peter Nowak v Data Protection Commissioner,Request for a preliminary ruling from the Supreme Court,Reference for a preliminary ruling — Protection of individuals with regard to the processing of personal data — Directive 95/46/EC — Article 2(a) — Concept of ‘personal data’ — Written answers submitted by a candidate in a professional examination — Examiner’s comments with respect to those answers — Article 12(a) and (b) — Extent of the data subject’s rights to access and rectification,Case C-434/16,ECLI identifier: ECLI:EU:C:2017:994,04/08/2016,20/12/2017,Ireland,Ilešič,Kokott,PDON
62016CJ0073,Judgment of the Court (Second Chamber) of 27 September 2017,Second Chamber,Peter Puškár v Finančné riaditeľstvo Slovenskej republiky and Kriminálny úrad finančnej správy,Request for a preliminary ruling from the Najvyšší súd Slovenskej republiky,Reference for a preliminary ruling — Charter of Fundamental Rights of the European Union — Articles 7; 8 and 47 — Directive 95/46/EC — Articles 1; 7 and 13 — Processing of personal data — Article 4(3) TEU — Drawing up of a list of personal data — Subject matter — Tax collection — Fight against tax fraud — Judicial review — Protection of fundamental rights and freedoms — Legal action dependent on a requirement of a prior administrative complaint — Whether that list is permissible as evidence — Rules on the lawfulness of the processing of personal data — Performance of a task carried out in the public interest by the controller,Case C-73/16,ECLI identifier: ECLI:EU:C:2017:725,10/02/2016,27/09/2017,Slovakia,Rosas,Kokott,PDON
62016CJ0013,Judgment of the Court (Second Chamber) of 4 May 2017,Second Chamber,Valsts policijas Rīgas reģiona pārvaldes Kārtības policijas pārvalde v Rīgas pašvaldības SIA "Rīgas satiksme",Request for a preliminary ruling from the Augstākās tiesas Administratīvo lietu departaments,Reference for a preliminary ruling — Directive 95/46/EC — Article 7(f) — Personal data — Conditions for the lawful processing of personal data — Concept of ‘necessity for the realisation of the legitimate interests of a third party’ — Request for disclosure of personal data of a person responsible for a road accident in order to exercise a legal claim — Obligation on the controller to grant such a request — No such obligation,Case C-13/16,ECLI identifier: ECLI:EU:C:2017:336,08/01/2016,04/05/2017,Latvia,Rosas,Bobek,PDON
62015CJ0536,Judgment of the Court (Second Chamber) of 15 March 2017,Second Chamber,Tele2 (Netherlands) BV and Others v Autoriteit Consument en Markt (ACM),Request for a preliminary ruling from the College van Beroep voor het Bedrijfsleven,Reference for a preliminary ruling — Electronic communications networks and services — Directive 2002/22/EC — Article 25(2) — Directory enquiry services and directories — Directive 2002/58/EC — Article 12 — Directories of subscribers — Making available personal data concerning subscribers for the purposes of the provision of publicly available directory enquiry services and directories — Subscriber’s consent — Distinction on the basis of the Member State in which publicly available directory enquiry services and directories are provided — Principle of non-discrimination,Case C-536/15,ECLI identifier: ECLI:EU:C:2017:214,13/10/2015,15/03/2017,Netherlands,Jarašiūnas,Bot,PDON
62015CJ0398,Judgment of the Court (Second Chamber) of 9 March 2017,Second Chamber,Camera di Commercio; Industria; Artigianato e Agricoltura di Lecce v Salvatore Manni,Request for a preliminary ruling from the Corte suprema di cassazione,Reference for a preliminary ruling — Protection of individuals with regard to the processing of personal data — Directive 95/46/EC — Article 6(1)(e) — Data subject to disclosure in the companies register — First Directive 68/151/EEC — Article 3 — Winding-up of the company concerned — Restriction of access to that data by third parties,Case C-398/15,ECLI identifier: ECLI:EU:C:2017:197,23/07/2015,09/03/2017,Italy,Ilešič,Bot,PDON
62015CJ0203,Judgment of the Court (Grand Chamber) of 21 December 2016,Grand Chamber,Tele2 Sverige AB v Post- och telestyrelsen and Secretary of State for the Home Department v Tom Watson and Others,Requests for a preliminary ruling from the Kammarrätten i Stockholm and the Court of Appeal (England & Wales) (Civil Division),Reference for a preliminary ruling — Electronic communications — Processing of personal data — Confidentiality of electronic communications — Protection — Directive 2002/58/EC — Articles 5; 6 and 9 and Article 15(1) — Charter of Fundamental Rights of the European Union — Articles 7; 8 and 11 and Article 52(1) — National legislation — Providers of electronic communications services — Obligation relating to the general and indiscriminate retention of traffic and location data — National authorities — Access to data — No prior review by a court or independent administrative authority — Compatibility with EU law,Joined Cases C-203/15 and C-698/15,ECLI identifier: ECLI:EU:C:2016:970,04/05/2015,21/12/2016,Sweden; United Kingdom,von Danwitz,Saugmandsgaard Øe,PDON
62014CJ0582,Judgment of the Court (Second Chamber) of 19 October 2016,Second Chamber,Patrick Breyer v Bundesrepublik Deutschland,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-582/14,ECLI identifier: ECLI:EU:C:2016:779,17/12/2014,19/10/2016,Germany,Rosas,Campos Sánchez-Bordona,PDON
62015CJ0191,Judgment of the Court (Third Chamber) of 28 July 2016,Third Chamber,Verein für Konsumenteninformation v Amazon EU Sàrl,Request for a preliminary ruling from the Oberster Gerichtshof,Reference for a preliminary ruling — Judicial cooperation in civil matters — Regulations (EC) No 864/2007 and (EC) No 593/2008 — Consumer protection — Directive 93/13/EEC — Data protection — Directive 95/46/EC — Online sales contracts concluded with consumers resident in other Member States — Unfair terms — General terms and conditions containing a choice-of-law term applying the law of the Member State in which the company is established — Determination of the applicable law for assessing the unfairness of terms in those general terms and conditions in an action for an injunction — Determination of the law governing the processing of personal data of consumers,Case C-191/15,ECLI identifier: ECLI:EU:C:2016:612,27/04/2015,28/07/2016,Austria,Safjan,Saugmandsgaard Øe,PDON
62014CJ0235,Judgment of the Court (Fifth Chamber) of 10 March 2016,Fifth Chamber,Safe Interenvios; SA v Liberbank; SA and Others,Request for a preliminary ruling from the Audiencia Provincial de Barcelona,Reference for a preliminary ruling — Prevention of the use of the financial system for the purpose of money laundering and terrorist financing — Directive 2005/60/EC — Customer due diligence measures — Directive 2007/64/EC — Payment services in the internal market,Case C-235/14,ECLI identifier: ECLI:EU:C:2016:154,13/05/2014,10/03/2016,Spain,Rosas,Sharpston,PDON
62014CJ0362,Judgment of the Court (Grand Chamber) of 6 October 2015,Grand Chamber,Maximillian Schrems v Data Protection Commissioner,Request for a preliminary ruling from the High Court (Ireland),Reference for a preliminary ruling — Personal data — Protection of individuals with regard to the processing of such data — Charter of Fundamental Rights of the European Union — Articles 7; 8 and 47 — Directive 95/46/EC — Articles 25 and 28 — Transfer of personal data to third countries — Decision 2000/520/EC — Transfer of personal data to the United States — Inadequate level of protection — Validity — Complaint by an individual whose data has been transferred from the European Union to the United States — Powers of the national supervisory authorities,Case C-362/14,ECLI identifier: ECLI:EU:C:2015:650,25/07/2014,06/10/2015,Ireland,von Danwitz,Bot,PDON
