62015CJ0589,Judgment of the Court (Grand Chamber) of 12 September 2017,Grand Chamber,Alexios Anagnostakis v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-589/15 P,ECLI identifier: ECLI:EU:C:2017:663,13/11/2015,12/09/2017,Greece,Rodin,Mengozzi,PEM
62015CJ0041,Judgment of the Court (Grand Chamber) of 8 November 2016,Grand Chamber,Gerard Dowling and Others v Minister for Finance,Request for a preliminary ruling from the High Court (Irland),Regulation (EU) No 407/2010 — European Financial Stabilisation Mechanism — Implementing Decision 2011/77/EU — European Union financial assistance to Ireland — Recapitalisation of national banks — Company law — Second Directive 77/91/EEC — Articles 8; 25 and 29 — Recapitalisation of a bank by means of judicial direction order — Increase in share capital without general meeting decision and without the shares issued being offered on a pre-emptive basis to existing shareholders — Issue of new shares at a price lower than their nominal value,Case C-41/15,ECLI identifier: ECLI:EU:C:2016:836,02/02/2015,08/11/2016,Ireland,von Danwitz,Wahl,PEM
62015CJ0008,Judgment of the Court (Grand Chamber) of 20 September 2016,Grand Chamber,Ledra Advertising Ltd and Others v European Commission and European Central Bank (ECB),Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-8/15 P to C-10/15 P,ECLI identifier: ECLI:EU:C:2016:701,09/01/2015,20/09/2016,Cyprus,Arabadjiev,Wahl,PEM
62015CJ0105,Judgment of the Court (Grand Chamber) of 20 September 2016,Grand Chamber,Konstantinos Mallis and Others v European Commission and European Central Bank (ECB),Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-105/15 P to C-109/15 P,ECLI identifier: ECLI:EU:C:2016:702,27/02/2015,20/09/2016,Cyprus,Arabadjiev,Wathelet,PEM
62014CJ0201,Judgment of the Court (Third Chamber) of 1 October 2015,Third Chamber,Smaranda Bara and Others v Casa Naţională de Asigurări de Sănătate and Others,Request for a preliminary ruling from the Curtea de Apel Cluj,Reference for a preliminary ruling — Directive 95/46/EC — Processing of personal data — Articles 10 and 11 — Data subjects’ information — Article 13 — Exceptions and limitations — Transfer by a public administrative body of a Member State of personal tax data for processing by another public administrative body,Case C-201/14,ECLI identifier: ECLI:EU:C:2015:638,22/04/2014,01/10/2015,Romania,Fernlund,Cruz Villalón,PEM
62014CJ0062,Judgment of the Court (Grand Chamber) of 16 June 2015,Grand Chamber,Peter Gauweiler and Others v Deutscher Bundestag,Request for a preliminary ruling from the Bundesverfassungsgericht,Reference for a preliminary ruling — Economic and monetary policy — Decisions of the Governing Council of the European Central Bank (ECB) on a number of technical features regarding the Eurosystem’s outright monetary transactions in secondary sovereign bond markets — Articles 119 TFEU and 127 TFEU — Powers conferred on the ECB and the European System of Central Banks — Monetary policy transmission mechanism — Maintenance of price stability — Proportionality — Article 123 TFEU — Prohibition of monetary financing of Member States in the euro area,Case C-62/14,ECLI identifier: ECLI:EU:C:2015:400,10/02/2014,16/06/2015,Germany,Bay Larsen,Cruz Villalón,PEM
62012CJ0270,Judgment of the Court (Grand Chamber); 22 January 2014,Grand Chamber,United Kingdom of Great Britain and Northern Ireland v European Parliament and Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑270/12,ECLI identifier: ECLI:EU:C:2014:18,31/05/2012,22/01/2014,United Kingdom,Silva de Lapuerta,Jääskinen,PEM
62012CJ0370,Judgment of the Court (Full Court); 27 November 2012,Full Court,Thomas Pringle v Government of Ireland and Others,Reference for a preliminary ruling from the Supreme Court,Stability mechanism for the Member States whose currency is the euro – Decision 2011/199/EU – Amendment of Article 136 TFEU – Validity – Article 48(6) TEU – Simplified revision procedure – ESM Treaty – Economic and monetary policy – Competence of the Member States,Case C‑370/12,ECLI identifier: ECLI:EU:C:2012:756,03/08/2012,27/11/2012,Ireland,Lenaerts,Kokott,PEM
62010CJ0559,Judgment of the Court (Eighth Chamber) of 27 October 2011,Eighth Chamber,Deli Ostrich NV v Belgische Staat,Reference for a preliminary ruling: Rechtbank van eerste aanleg te Antwerpen - Belgium,Common Customs Tariff - Combined Nomenclature - Tariff classification - Frozen camel meat not from farm-raised animals - Classification under subheading 0208 90 40 (other game meat) or 0208 90 95 (other),Case C-559/10,ECLI identifier: ECLI:EU:C:2011:708,29/11/2010,27/10/2011,Belgium,Jarašiūnas,Mengozzi,PEM
62005CJ0359,Judgment of the Court (Second Chamber) of 18 January 2007,Second Chamber,  Estager SA v Receveur principal de la recette des douanes de Brive,  Reference for a preliminary ruling: Tribunal de grande instance de Brive-la-Gaillarde - France,  Economic and monetary policy - Regulations (EC) No 1103/97 and No 974/98 -Introduction of the euro - Conversion between the euro and national currency units - Legislation of a Member State adjusting the value in euros of certain sums expressed in national currency in the legislative texts of that State,  Case C-359/05,ECLI identifier: ECLI:EU:C:2007:36,26/09/2005,18/01/2007,France,Silva de Lapuerta,Poiares Maduro,PEM
62003CJ0019,Judgment of the Court (Grand Chamber) of 14  September  2004,Grand Chamber,  Verbraucher-Zentrale Hamburg eV v O2 (Germany) GmbH & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-19/03,ECLI identifier: ECLI:EU:C:2004:524,20/01/2003,14/09/2004,Germany,Puissochet,Poiares Maduro,PEM
62004CJ0027,Judgment of the Court (Full Court) of 13 July 2004,Full Court,  Commission of the European Communities v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-27/04,ECLI identifier: ECLI:EU:C:2004:436,27/01/2004,13/07/2004,,Gulmann,Tizzano,PEM
61999CJ0009,Judgment of the Court (Sixth Chamber) of 3 October 2000,Sixth Chamber,  Echirolles Distribution SA v Association du Dauphiné and Others,  Reference for a preliminary ruling: Cour d'appel de Grenoble - France,  National legislation on book prices,  Case C-9/99,ECLI identifier: ECLI:EU:C:2000:532,18/01/1999,03/10/2000,France,Moitinho de Almeida,Alber,PEM
