62017CJ0152,Judgment of the Court (Ninth Chamber) of 19 April 2018,Ninth Chamber,Consorzio Italian Management e Catania Multiservizi SpA v Rete Ferroviaria Italiana SpA,Request for a preliminary ruling from the Consiglio di Stato,Reference for a preliminary ruling — Procurement procedures of entities operating in the water; energy; transport and postal services sectors — Directive 2004/17/EC — Obligation to review prices after the award of the contract — No such obligation in Directive 2004/17/EC or arising from the general principles underlying Article 56 TFEU and Directive 2004/17/EC — Cleaning and maintenance services linked to railway transport operations — Article 3(3) TEU — Articles 26; 57; 58 and 101 TFEU — Lack of sufficient information concerning the factual context of the dispute in the main proceedings and the reasons justifying the need for a reply to the questions referred — Inadmissibility — Article 16 of the Charter of Fundamental Rights of the European Union — Provision of national law not implementing EU law — Lack of jurisdiction,Case C-152/17,ECLI identifier: ECLI:EU:C:2018:264,24/03/2017,19/04/2018,Italy,Vajda,Bobek,PRIN
62016CJ0414,Judgment of the Court (Grand Chamber) of 17 April 2018,Grand Chamber,Vera Egenberger v Evangelisches Werk für Diakonie und Entwicklung e,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-414/16,ECLI identifier: ECLI:EU:C:2018:257,27/07/2016,17/04/2018,Germany,Biltgen,Tanchev,PRIN
62016CJ0482,Judgment of the Court (First Chamber) of 14 March 2018,First Chamber,Georg Stollwitzer v ÖBB Personenverkehr AG,Request for a preliminary ruling from the Oberlandesgericht Innsbruck,Reference for a preliminary ruling — Social policy — Article 45 TFEU — Principle of non-discrimination on grounds of age — Charter of Fundamental Rights of the European Union — Article 21(1) — Directive 2000/78/EC — Articles 2; 6 and 16 — Reference date for the purpose of advancement — Discriminatory legislation of a Member State which does not allow periods of activity completed before reaching the age of 18 to be taken into account for the purpose of determining remuneration — Abolition of provisions that are contrary to the principle of equal treatment,Case C-482/16,ECLI identifier: ECLI:EU:C:2018:180,07/09/2016,14/03/2018,Austria,Arabadjiev,Mengozzi,PRIN
62017CJ0046,Judgment of the Court (Sixth Chamber) of 28 February 2018,Sixth Chamber,Hubertus John v Freie Hansestadt Bremen,Request for a preliminary ruling from the Landesarbeitsgericht Bremen,Reference for a preliminary ruling — Social policy — Directive 1999/70/EC — Framework Agreement on fixed-term work concluded by ETUC; UNICE and CEEP — Successive fixed-term employment contracts — Clause 5(1) — Measures aimed at preventing the misuse of fixed-term contracts — Directive 2000/78/EC — Article 6(1) — Prohibition of discrimination on the ground of age — National legislation authorising the postponement of the end of the contract of employment fixed at the normal retirement age simply because that the worker qualified for a retirement pension,Case C-46/17,ECLI identifier: ECLI:EU:C:2018:131,30/01/2017,28/02/2018,Germany,Arabadjiev,Saugmandsgaard Øe,PRIN
62016CJ0266,Judgment of the Court (Grand Chamber) of 27 February 2018,Grand Chamber,Western Sahara Campaign UK v Commissioners for Her Majesty's Revenue and Customs and Secretary of State for Environment; Food and Rural Affairs,Request for a preliminary ruling from the High Court of Justice (England & Wales); Queen's Bench Division (Administrative Court),Reference for a preliminary ruling — Fisheries Partnership Agreement between the European Community and the Kingdom of Morocco — Protocol setting out the fishing opportunities provided for by the agreement — Acts approving the conclusion of the agreement and of the protocol — Regulations allocating among the Member States the fishing opportunities set out by the protocol — Jurisdiction — Interpretation — Validity having regard to Article 3(5) TEU and international law — Applicability of that agreement and that protocol to the territory of Western Sahara and the waters adjacent thereto,Case C-266/16,ECLI identifier: ECLI:EU:C:2018:118,13/05/2016,27/02/2018,United Kingdom,Malenovský,Wathelet,PRIN
62016CJ0270,Judgment of the Court (Third Chamber) of 18 January 2018,Third Chamber,Carlos Enrique Ruiz Conejero v Ferroser Servicios Auxiliares SA and Ministerio Fiscal,Request for a preliminary ruling from the Juzgado de lo Social de Cuenca,Reference for a preliminary ruling — Social policy — Directive 2000/78/EC — Equal treatment in employment and occupation — Article 2(2)(b)(i) — Prohibition of discrimination based on disability — National legislation permitting; subject to certain conditions; the dismissal of an employee by reason of intermittent absences; even where justified — Worker’s absences resulting from illnesses linked to his disability — Difference in treatment based on disability — Indirect discrimination — Whether justified — Combating absenteeism in the workplace — Whether appropriate — Whether proportionate,Case C-270/16,ECLI identifier: ECLI:EU:C:2018:17,13/05/2016,18/01/2018,Spain,Safjan,Sharpston,PRIN
62016CJ0442,Judgment of the Court (Fifth Chamber) of 20 December 2017,Fifth Chamber,Florea Gusa v Minister for Social Protection and Others,Request for a preliminary ruling from the Court of Appeal (Ireland),Reference for a preliminary ruling — Directive 2004/38/EC — Person no longer working in a self-employed capacity — Retention of the status of self-employed person — Right of residence — Legislation of a Member State restricting eligibility for a jobseeker’s allowance to persons who have a right of residence on the territory of that Member State,Case C-442/16,ECLI identifier: ECLI:EU:C:2017:1004,08/08/2016,20/12/2017,Ireland,Tizzano,Wathelet,PRIN
62016CJ0500,Judgment of the Court (Second Chamber) of 20 December 2017,Second Chamber,Caterpillar Financial Services sp,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-500/16,ECLI identifier: ECLI:EU:C:2017:996,16/09/2016,20/12/2017,Poland,Toader,Campos Sánchez-Bordona,PRIN
62016CJ0298,Judgment of the Court (Third Chamber) of 9 November 2017,Third Chamber,Teodor Ispas and Anduţa Ispas v Direcţia Generală a Finanţelor Publice Cluj,Request for a preliminary ruling from the Curtea de Apel Cluj,Reference for a preliminary ruling — General principles of EU law — Right to good administration and rights of the defence — National tax rules providing for the right to be heard and the right to be informed during an administrative tax procedure — Decision to levy value added tax issued by the national tax authorities without giving the taxpayer access to the information and the documents upon which that decision was based,Case C-298/16,ECLI identifier: ECLI:EU:C:2017:843,25/05/2016,09/11/2017,Romania,Safjan,Bobek,PRIN
62016CJ0143,Judgment of the Court (First Chamber) of 19 July 2017,First Chamber,Abercrombie & Fitch Italia Srl v Antonino Bordonaro,Request for a preliminary ruling from the Corte suprema di cassazione,Reference for a preliminary ruling — Social policy — Directive 2000/78/EC — Equal treatment in employment and occupation — Article 2(1) — Article 2(2)(a) — Article 6(1) — Age discrimination — On-call employment contract which may be concluded with persons under 25 years of age — Automatic termination of the employment contract when the worker reaches 25 years of age,Case C-143/16,ECLI identifier: ECLI:EU:C:2017:566,09/03/2016,19/07/2017,Italy,Arabadjiev,Bobek,PRIN
62016CJ0354,Judgment of the Court (First Chamber) of 13 July 2017,First Chamber,Ute Kleinsteuber v Mars GmbH,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-354/16,ECLI identifier: ECLI:EU:C:2017:539,27/06/2016,13/07/2017,Germany,Arabadjiev,Szpunar,PRIN
