62017CJ0148,Judgment of the Court (Second Chamber) of 19 April 2018,Second Chamber,Peek & Cloppenburg KG; Hamburg v Peek & Cloppenburg KG; Düsseldorf,Request for a preliminary ruling from the Bundesgerichtshof,Reference for a preliminary ruling — Trade-mark law — Directive 2008/95/EC — Article 14 — Establishment a posteriori of the invalidity or revocation of a trade mark — Date on which the conditions for revocation or invalidity must be met — Regulation (EC) No 207/2009 — EU trade mark — Article 34(2) — Claiming the seniority of an earlier national trade mark — Effects of that claim on the earlier national mark,Case C-148/17,ECLI identifier: ECLI:EU:C:2018:271,24/03/2017,19/04/2018,Germany,Jarašiūnas,Szpunar,PROP
62016CJ0478,Judgment of the Court (Eighth Chamber) of 19 April 2018,Eighth Chamber,European Union Intellectual Property Office v Group OOD,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-478/16 P,ECLI identifier: ECLI:EU:C:2018:268,02/09/2016,19/04/2018,Bulgaria,Šváby,Campos Sánchez-Bordona,PROP
62017CJ0075,Judgment of the Court (Seventh Chamber) of 19 April 2018,Seventh Chamber,Fiesta Hotels & Resorts; SL v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-75/17 P,ECLI identifier: ECLI:EU:C:2018:269,09/02/2017,19/04/2018,Spain,Toader,Wathelet,PROP
62016CJ0395,Judgment of the Court (Second Chamber) of 8 March 2018,Second Chamber,DOCERAM GmbH v CeramTec GmbH,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-395/16,ECLI identifier: ECLI:EU:C:2018:172,15/07/2016,08/03/2018,Germany,Jarašiūnas,Saugmandsgaard Øe,PROP
62016CJ0412,Judgment of the Court (Tenth Chamber) of 1 March 2018,Tenth Chamber,Ice Mountain Ibiza; SL v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-412/16 P and C-413/16 P,ECLI identifier: ECLI:EU:C:2018:140,27/07/2016,01/03/2018,Spain,Borg Barthet,Saugmandsgaard Øe,PROP
62016CJ0418,Judgment of the Court (First Chamber) of 28 February 2018,First Chamber,mobile,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-418/16 P,ECLI identifier: ECLI:EU:C:2018:128,27/07/2016,28/02/2018,Germany,Regan,Sharpston,PROP
62016CJ0634,Judgment of the Court (First Chamber) of 24 January 2018,First Chamber,European Union Intellectual Property Office v European Food SA,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-634/16 P,ECLI identifier: ECLI:EU:C:2018:30,07/12/2016,24/01/2018,Romania,Silva de Lapuerta,Kokott,PROP
62016CJ0492,Judgment of the Court (Second Chamber) of 20 December 2017,Second Chamber,Incyte Corporation v Szellemi Tulajdon Nemzeti Hivatala,Request for a preliminary ruling from the Fővárosi Törvényszék,Reference for a preliminary ruling — Intellectual and industrial property — Patents — Medicinal products for human use — Regulation (EC) No 469/2009 — Article 18 — Plant-protection products — Regulation (EC) No 1610/96 — Article 17(2) — Supplementary protection certificate — Duration — Fixing the date of expiry — Consequences of a judgment of the Court — Possibility or requirement to rectify the date of expiry,Case C-492/16,ECLI identifier: ECLI:EU:C:2017:995,14/09/2016,20/12/2017,Hungary,Toader,Bot,PROP
62016CJ0397,Judgment of the Court (Second Chamber) of 20 December 2017,Second Chamber,Acacia Srl v Pneusgarda Srl and Audi AG and Acacia Srl and Rolando D'Amato v Dr,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-397/16 and C-435/16,ECLI identifier: ECLI:EU:C:2017:992,18/07/2016,20/12/2017,Germany; Italy,Ilešič,Saugmandsgaard Øe,PROP
62016CJ0291,Judgment of the Court (Second Chamber) of 20 December 2017,Second Chamber,Schweppes SA v Red Paralela SL and Red Paralela BCN SL,Request for a preliminary ruling from the Juzgado de lo Mercantil n° 8 de Barcelona,Reference for a preliminary ruling — Approximation of laws — Trade marks — Directive 2008/95/EC — Article 7(1) — Exhaustion of the rights conferred by a trade mark — Parallel trade marks — Assignment of trade marks in respect of part of the European Economic Area (EEA) — Commercial strategy deliberately promoting the image of a single global trade mark following that assignment — Independent proprietors nonetheless maintaining close commercial and economic relations,Case C-291/16,ECLI identifier: ECLI:EU:C:2017:990,23/05/2016,20/12/2017,Spain,Ilešič,Mengozzi,PROP
62016CJ0567,Judgment of the Court (Seventh Chamber) of 7 December 2017,Seventh Chamber,Merck Sharp & Dohme Corporation v Comptroller-General of Patents; Designs and Trade Marks,Request for a preliminary ruling from the High Court of Justice (England & Wales); Chancery Division; Patents Court,Reference for a preliminary ruling — Industrial and commercial property — Patent law — Medicinal products for human use — Regulation (EC) No 469/2009 — Article (3)(b) — Supplementary protection certificate — Conditions for obtaining — Article 10(3) — Granting of the certificate or rejection of the application for a certificate — Directive 2001/83/EC — Article 28(4) — Decentralised procedure,Case C-567/16,ECLI identifier: ECLI:EU:C:2017:948,10/11/2016,07/12/2017,United Kingdom,Toader,Saugmandsgaard Øe,PROP
62016CJ0265,Judgment of the Court (Third Chamber) of 29 November 2017,Third Chamber,VCAST Limited v RTI SpA,Request for a preliminary ruling from the Tribunale di Torino,Reference for a preliminary ruling — Approximation of laws — Copyright and related rights — Directive 2001/29/EC — Article 5(2)(b) — Private copying exception — Article 3(1) — Communication to the public — Specific technical means — Provision of a cloud computing service for the remote video recording of copies of works protected by copyright; without the consent of the author concerned — Active involvement of the service provider in the recording,Case C-265/16,ECLI identifier: ECLI:EU:C:2017:913,12/05/2016,29/11/2017,Italy,Malenovský,Szpunar,PROP
62016CJ0381,Judgment of the Court (Tenth Chamber) of 23 November 2017,Tenth Chamber,Salvador Benjumea Bravo de Laguna v Esteban Torras Ferrazzuolo,Request for a preliminary ruling from the Tribunal Supremo,Reference for a preliminary ruling — Regulation (EC) No 207/2009 — EU trade mark — Article 16 — Trade mark as an object of property — Dealing with EU trade marks as national trade marks — Article 18 — Transfer of a trade mark registered in the name of the agent or representative of the trade mark’s proprietor — National provision allowing the possibility of bringing an action for recovery of ownership of a national trade mark registered in fraud of the owner’s rights or in breach of a legal or contractual obligation — Whether compatible with Regulation No 207/2009,Case C-381/16,ECLI identifier: ECLI:EU:C:2017:889,11/07/2016,23/11/2017,Spain,Borg Barthet,Szpunar,PROP
