62016CJ0016,Judgment of the Court (Grand Chamber) of 20 February 2018,Grand Chamber,Kingdom of Belgium v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-16/16 P,ECLI identifier: ECLI:EU:C:2018:79,06/01/2016,20/02/2018,Belgium,Toader,Bobek,PROT
62015CJ0434,Judgment of the Court (Grand Chamber) of 20 December 2017,Grand Chamber,Asociación Profesional Elite Taxi v Uber Systems Spain; SL,Request for a preliminary ruling from the Juzgado Mercantil de Barcelona,Reference for a preliminary ruling — Article 56 TFEU — Article 58(1) TFEU — Services in the field of transport — Directive 2006/123/EC — Services in the internal market — Directive 2000/31/EC — Directive 98/34/EC — Information society services — Intermediation service to connect; by means of a smartphone application and for remuneration; non-professional drivers using their own vehicle with persons who wish to make urban journeys — Requirement for authorisation,Case C-434/15,ECLI identifier: ECLI:EU:C:2017:981,07/08/2015,20/12/2017,Spain,Šváby,Szpunar,PROT
62015CJ0598,Judgment of the Court (Fifth Chamber) of 7 December 2017,Fifth Chamber,Banco Santander; SA v Cristobalina Sánchez López,Request for a preliminary ruling from the Juzgado de Primera Instancia de Jerez de la Frontera,Reference for a preliminary ruling — Directive 93/13/EEC — Consumer contracts — Unfair terms — Powers of the national court — Effectiveness of the protection afforded to consumers — Mortgage loan agreement — Extrajudicial enforcement procedure — Simplified declaratory court procedure for recognition of the real rights of the successful bidder,Case C-598/15,ECLI identifier: ECLI:EU:C:2017:945,16/11/2015,07/12/2017,Spain,Levits,Wahl,PROT
62015CJ0596,Judgment of the Court (Third Chamber) of 23 November 2017,Third Chamber,Bionorica SE and Diapharm GmbH & Co, KG v European Commission,Appeal — Public health — Consumer protection –Regulation (EC) No 1924/2006 — Health claims on foods — Article 13(3) — List of permitted health claims on foods — Botanical substances — Claims on hold — Action for failure to act — Article 265 TFEU — Defined position of the European Commission — Interest in bringing proceedings — Locus standi,Joined Cases C-596/15 P and C-597/15 P,ECLI identifier: ECLI:EU:C:2017:886,13/11/2015,23/11/2017,Germany,Safjan,Bobek,PROT
62016CJ0289,Judgment of the Court (Ninth Chamber) of 12 October 2017,Ninth Chamber,Kamin und Grill Shop GmbH v Zentrale zur Bekämpfung unlauteren Wettbewerbs Frankfurt am Main eV,Request for a preliminary ruling from the Bundesgerichtshof,Reference for a preliminary ruling — Agriculture — Organic products — Control system established by Regulation (EC) No 834/2007 — Concept of ‘direct sale to the final consumer or user’,Case C-289/16,ECLI identifier: ECLI:EU:C:2017:758,24/05/2016,12/10/2017,Germany,Juhász,Tanchev,PROT
62016CJ0186,Judgment of the Court (Second Chamber) of 20 September 2017,Second Chamber,Ruxandra Paula Andriciuc and Others v Banca Românească SA,Request for a preliminary ruling from the Curtea de Apel Oradea,Reference for a preliminary ruling — Consumer protection — Directive 93/13/EEC — Unfair terms in consumer contracts — Article 3(1) and Article 4(2) — Assessment of the unfairness of contractual terms — Loan agreement concluded in a foreign currency — Exchange rate risk born entirely by the consumer — Significant imbalance in the parties’ rights and obligations arising under the contract — Time at which the imbalance must be assessed — Scope of the concept of terms drafted in ‘plain intelligible language’ — Level of information to be procured by the bank,Case C-186/16,ECLI identifier: ECLI:EU:C:2017:703,01/04/2016,20/09/2017,Romania,Prechal,Wahl,PROT
62016CJ0111,Judgment of the Court (Third Chamber) of 13 September 2017,Third Chamber,Criminal proceedings against Giorgio Fidenato and Others,Request for a preliminary ruling from the Tribunale di Udine,Reference for a preliminary ruling — Agriculture — Genetically modified food and feed — Emergency measures — National measure seeking to prohibit the cultivation of genetically modified maize MON 810 — Maintenance or renewal of the measure — Regulation (EC) No 1829/2003 — Article 34 — Regulation (EC) No 178/2002 — Articles 53 and 54 — Conditions of application — Precautionary principle,Case C-111/16,ECLI identifier: ECLI:EU:C:2017:676,24/02/2016,13/09/2017,Italy,Bay Larsen,Bobek,PROT
62016CJ0247,Judgment of the Court (Tenth Chamber) of 7 September 2017,Tenth Chamber,Heike Schottelius v Falk Seifert,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-247/16,ECLI identifier: ECLI:EU:C:2017:638,29/04/2016,07/09/2017,Germany,Berger,Saugmandsgaard Øe,PROT
62016CJ0357,Judgment of the Court (Tenth Chamber) of 20 July 2017,Tenth Chamber,„Gelvora“ UAB v Valstybinė vartotojų teisių apsaugos tarnyba,Request for a preliminary ruling from the Lietuvos vyriausiasis administracinis teismas,Reference for a preliminary ruling — Unfair commercial practices — Directive 2005/29/EC — Scope — Debt collection agency — Consumer credit — Assignment of debt — Nature of the legal relationship between the agency and the debtor — Article 2(c) — Concept of ‘product’ — Recovery measures taken in parallel to the intervention of a bailiff,Case C-357/16,ECLI identifier: ECLI:EU:C:2017:573,28/06/2016,20/07/2017,Lithuania,Borg Barthet,Tanchev,PROT
62016CJ0133,Judgment of the Court (Fifth Chamber) of 13 July 2017,Fifth Chamber,Christian Ferenschild v JPC Motor SA,Request for a preliminary ruling from the cour d'appel de Mons,Reference for a preliminary ruling — Sale of consumer goods and associated guarantees — Directive 1999/44/EC — Article 5(1) — Period of liability of the seller — Limitation period — Second subparagraph of Article 7(1) — Second-hand goods — Contractual reduction of the seller’s liability,Case C-133/16,ECLI identifier: ECLI:EU:C:2017:541,04/03/2016,13/07/2017,Belgium,Berger,Szpunar,PROT
