62012CJ0093,Judgment of the Court (Third Chamber) of 27 June 2013,Third Chamber,  ET Agrokonsulting-04-Velko Stoyanov v Izpalnitelen direktor na Darzhaven fond «Zemedelie» - Razplashtatelna agentsia,  Reference for a preliminary ruling: Administrativen sad Sofia-grad - Bulgaria,  Agriculture - Procedural autonomy of the Member States - Common agricultural policy - Aid - Administrative law disputes - Determination of the court with jurisdiction - National criterion - Administrative court in whose judicial district the seat of the authority which adopted the contested act is located - Principle of equivalence - Principle of effectiveness - Article 47 of the Charter of Fundamental Rights of the European Union,  Case C-93/12,ECLI identifier: ECLI:EU:C:2013:432,21/02/2012,27/06/2013,Bulgaria,Ó Caoimh,Bot,PTOM
62004CJ0300,Judgment of the Court (Grand Chamber) of 12 September 2006,Grand Chamber,M,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-300/04,ECLI identifier: ECLI:EU:C:2006:545,15/07/2004,12/09/2006,Netherlands,Rosas,Tizzano,PTOM
62003CJ0040,Judgment of the Court (Second Chamber) of 14 July 2005,Second Chamber,  Rica Foods (Free Zone) NV v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-40/03 P,ECLI identifier: ECLI:EU:C:2005:455,29/01/2003,14/07/2005,Aruba; Provisional data,Schintgen,Léger,PTOM
62003CJ0041,Judgment of the Court (Second Chamber) of 14 July 2005,Second Chamber,Rica Foods (Free Zone) NV v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-41/03 P,ECLI identifier: ECLI:EU:C:2005:456,29/01/2003,14/07/2005,,Schintgen,Léger,PTOM
62000CJ0180,Judgment of the Court (Second Chamber) of 14 July 2005,Second Chamber,Kingdom of the Netherlands v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-180/00,ECLI identifier: ECLI:EU:C:2005:451,12/05/2000,14/07/2005,Netherlands,Schintgen,Léger,PTOM
62000CJ0452,Judgment of the Court (Second Chamber) of 14 July 2005,Second Chamber,Kingdom of the Netherlands v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-452/00,ECLI identifier: ECLI:EU:C:2005:452,06/12/2000,14/07/2005,Netherlands,Schintgen,Léger,PTOM
62000CJ0026,Judgment of the Court (Second Chamber) of 14 July 2005,Second Chamber,  Kingdom of the Netherlands v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-26/00,ECLI identifier: ECLI:EU:C:2005:450,29/01/2000,14/07/2005,Netherlands,Schintgen,Léger,PTOM
62000CJ0142,Judgment of the Court (Sixth Chamber) of 10 April 2003,Sixth Chamber,  Commission of the European Communities v Nederlandse Antillen,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-142/00 P,ECLI identifier: ECLI:EU:C:2003:217,14/04/2000,10/04/2003,Netherlands Antilles; Provisional data,Macken,Léger,PTOM
61997CJ0110,Judgment of the Court of 22 November 2001,,  Kingdom of the Netherlands v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-110/97,ECLI identifier: ECLI:EU:C:2001:620,17/03/1997,22/11/2001,Netherlands,Macken,Léger,PTOM
61997CJ0301,Judgment of the Court of 22 November 2001,,  Kingdom of the Netherlands v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-301/97,ECLI identifier: ECLI:EU:C:2001:621,20/08/1997,22/11/2001,Netherlands,Macken,Léger,PTOM
61998CJ0452,Judgment of the Court of 22 November 2001,,  Nederlandse Antillen v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-452/98,ECLI identifier: ECLI:EU:C:2001:623,09/12/1998,22/11/2001,Provisional data; Netherlands Antilles,Macken,Léger,PTOM
