62017CJ0152,Judgment of the Court (Ninth Chamber) of 19 April 2018,Ninth Chamber,Consorzio Italian Management e Catania Multiservizi SpA v Rete Ferroviaria Italiana SpA,Request for a preliminary ruling from the Consiglio di Stato,Reference for a preliminary ruling — Procurement procedures of entities operating in the water; energy; transport and postal services sectors — Directive 2004/17/EC — Obligation to review prices after the award of the contract — No such obligation in Directive 2004/17/EC or arising from the general principles underlying Article 56 TFEU and Directive 2004/17/EC — Cleaning and maintenance services linked to railway transport operations — Article 3(3) TEU — Articles 26; 57; 58 and 101 TFEU — Lack of sufficient information concerning the factual context of the dispute in the main proceedings and the reasons justifying the need for a reply to the questions referred — Inadmissibility — Article 16 of the Charter of Fundamental Rights of the European Union — Provision of national law not implementing EU law — Lack of jurisdiction,Case C-152/17,ECLI identifier: ECLI:EU:C:2018:264,24/03/2017,19/04/2018,Italy,Vajda,Bobek,RAPL
62017CJ0013,Judgment of the Court (Sixth Chamber) of 12 April 2018,Sixth Chamber,Fédération des entreprises de la beauté v Ministre des Affaires sociales; de la Santé et des Droits des femmes and Others,Request for a preliminary ruling from the Conseil d'État (France),Reference for a preliminary ruling — Approximation of laws — Cosmetic products — Regulation (EC) No 1223/2009 — Article 10(2) — Assessment of the safety of cosmetic products — Qualifications of the safety assessor — Recognition of equivalent training courses — Disciplines similar to pharmacy; toxicology or medicine — Member States’ discretion,Case C-13/17,ECLI identifier: ECLI:EU:C:2018:246,12/01/2017,12/04/2018,France,Fernlund,Saugmandsgaard Øe,RAPL
62016CJ0320,Judgment of the Court (Grand Chamber) of 10 April 2018,Grand Chamber,Criminal proceedings against Uber France,Request for a preliminary ruling from the Tribunal de grande instance de Lille,Reference for a preliminary ruling — Services in the field of transport — Directive 2006/123/EC — Services in the internal market — Directive 98/34/EC — Information society services — Rule on information society services — Definition — Intermediation service making it possible; by means of a smartphone application and for remuneration; to put non-professional drivers using their own vehicle in contact with persons who wish to make urban journeys — Criminal penalties,Case C-320/16,ECLI identifier: ECLI:EU:C:2018:221,06/06/2016,10/04/2018,France,Šváby,Szpunar,RAPL
62016CJ0327,Judgment of the Court (First Chamber) of 22 March 2018,First Chamber,Marc Jacob and Ministre des Finances et des Comptes publics v Ministre des Finances et des Comptes publics and Marc Lassus,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-327/16 and C-421/16,ECLI identifier: ECLI:EU:C:2018:210,10/06/2016,22/03/2018,France,Fernlund,Wathelet,RAPL
62016CJ0568,Judgment of the Court (Fifth Chamber) of 22 March 2018,Fifth Chamber,Rasool Entertainment GmbH and Staatsanwaltschaft Stuttgart v Faiz Rasool,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-568/16,ECLI identifier: ECLI:EU:C:2018:211,10/11/2016,22/03/2018,Germany,da Cruz Vilaça,Saugmandsgaard Øe,RAPL
62017CJ0133,Judgment of the Court (Tenth Chamber) of 21 March 2018,Tenth Chamber,Dănuţ Podilă and Others v Societatea Naţională de Transport Feroviar de Călători „CFR Călători“ SA Bucureşti and Costel Nicuşor Mucea v SMDA Mureş Insolvency SPRL,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-133/17 and C-134/17,ECLI identifier: ECLI:EU:C:2018:203,14/03/2017,21/03/2018,Romania,Biltgen,Mengozzi,RAPL
62016CJ0187,Judgment of the Court (Grand Chamber) of 20 March 2018,Grand Chamber,European Commission v Republic of Austria,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-187/16,ECLI identifier: ECLI:EU:C:2018:194,04/04/2016,20/03/2018,Austria,Bay Larsen,,RAPL
62017CJ0104,Judgment of the Court (Ninth Chamber) of 15 March 2018,Ninth Chamber,SC Cali Esprou SRL v Administraţia Fondului pentru Mediu,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-104/17,ECLI identifier: ECLI:EU:C:2018:188,27/02/2017,15/03/2018,Romania,Vajda,Campos Sánchez-Bordona,RAPL
62016CJ0557,Judgment of the Court (Second Chamber) of 14 March 2018,Second Chamber,Proceedings brought by Astellas Pharma GmbH,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-557/16,ECLI identifier: ECLI:EU:C:2018:181,04/11/2016,14/03/2018,Finland,Jarašiūnas,Bobek,RAPL
62017CJ0009,Judgment of the Court (Third Chamber) of 1 March 2018,Third Chamber,Proceedings brought by Maria Tirkkonen,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-9/17,ECLI identifier: ECLI:EU:C:2018:142,09/01/2016,01/03/2018,Finland,Šváby,Campos Sánchez-Bordona,RAPL
62016CJ0523,Judgment of the Court (Eighth Chamber) of 28 February 2018,Eighth Chamber,MA,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-523/16 and C-536/16,ECLI identifier: ECLI:EU:C:2018:122,12/10/2016,28/02/2018,Italy,Vilaras,Campos Sánchez-Bordona,RAPL
