62013CJ0056,Judgment of the Court (Sixth Chamber); 22 May 2014,Sixth Chamber,Érsekcsanádi Mezőgazdasági Zrt v Bács-Kiskun Megyei Kormányhivatal,Request for a preliminary ruling from the Szegedi Ítélőtábla,Directives 92/40/EEC and 2005/94/EC — Decisions 2006/105/EC and 2006/115/EC — Charter of Fundamental Rights of the European Union — Articles 16; 17 and 47 — Measures for the control of avian influenza — Compensation for damage,Case C‑56/13,ECLI identifier: ECLI:EU:C:2014:352,04/02/2013,22/05/2014,Hungary,Levits,Bot,RESP
62009CJ0460,Judgment of the Court (First Chamber) of 28 February 2013,First Chamber,  Inalca SpA - Industria Alimentari Carni and Cremonini SpA v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-460/09 P,ECLI identifier: ECLI:EU:C:2013:111,18/11/2009,28/02/2013,Italy,Kasel,Jääskinen,RESP
62010CJ0221,Judgment of the Court (Third Chamber); 19 April 2012,Third Chamber,Artegodan GmbH v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑221/10 P,ECLI identifier: ECLI:EU:C:2012:216,05/05/2010,19/04/2012,Germany,Silva de Lapuerta,Bot,RESP
62009CJ0377,Judgment of the Court (Third Chamber) of 29 July 2010,Third Chamber,  Françoise-Eléonor Hanssens-Ensch v European Community,  Reference for a preliminary ruling: Tribunal de commerce de Bruxelles - Belgium,  Article 235 EC and the second paragraph of Article 288 EC - Jurisdiction of the Court of Justice to hear and determine an action for damages brought against the European Community on the basis of non-contractual liability - Action to make good a shortfall in assets within the meaning of Article 530(1) of the Belgian Code des sociétés - Action brought against the European Community by the insolvency administrator of a limited company - Jurisdiction of national courts to hear and determine such an action,  Case C-377/09,ECLI identifier: ECLI:EU:C:2010:459,23/09/2009,29/07/2010,Belgium,von Danwitz,Trstenjak,RESP
62007CJ0481,Judgment of the Court (Sixth Chamber) of 16 July 2009,Sixth Chamber,  SELEX Sistemi Integrati SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-481/07 P,ECLI identifier: ECLI:EU:C:2009:461,31/10/2007,16/07/2009,Italy,Kūris,Ruiz-Jarabo Colomer,RESP
62007CJ0440,Judgment of the Court (Grand Chamber) of 16 July 2009,Grand Chamber,  Commission of the European Communities v Schneider Electric SA,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-440/07 P,ECLI identifier: ECLI:EU:C:2009:459,24/09/2007,16/07/2009,France,Bay Larsen,Ruiz-Jarabo Colomer,RESP
62006CJ0120,Judgment of the Court (Grand Chamber) of 9 September 2008,Grand Chamber,  Fabbrica italiana accumulatori motocarri Montecchio SpA (FIAMM) and Fabbrica italiana accumulatori motocarri Montecchio Technologies LLC (C-120/06 P); Giorgio Fedon & Figli SpA and Fedon America; Inc, (C-121/06 P) v Council of the European Union and Commission of the European Communities,  Appeals - Recommendations and rulings of the World Trade Organisation (WTO) Dispute Settlement Body - Determination of the Dispute Settlement Body that the Community regime governing the import of bananas was incompatible with WTO rules - Imposition by the United States of America of retaliatory measures in the form of increased customs duty levied on imports of certain products from various Member States - Retaliatory measures authorised by the WTO - No non-contractual Community liability - Duration of the proceedings before the Court of First Instance - Reasonable period - Claim for fair compensation,  Joined cases C-120/06 P and C-121/06 P,ECLI identifier: ECLI:EU:C:2008:476,24/02/2006,09/09/2008,United States; Italy; Provisional data,Schiemann,Poiares Maduro,RESP
62006CJ0344,Judgment of the Court (Fourth Chamber) of 25 October 2007,Fourth Chamber,  J,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-344/06 P,ECLI identifier: ECLI:EU:C:2007:641,08/08/2006,25/10/2007,Netherlands,von Danwitz,Bot,RESP
62005CJ0331,Judgment of the Court (Second Chamber) of 28 June 2007,Second Chamber,  Internationaler Hilfsfonds eV v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-331/05 P,ECLI identifier: ECLI:EU:C:2007:390,02/09/2005,28/06/2007,Germany,Schiemann,Trstenjak,RESP
62005CJ0282,Judgment of the Court (Second Chamber) of 19 April 2007,Second Chamber,  Holcim (Deutschland) AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-282/05 P,ECLI identifier: ECLI:EU:C:2007:226,12/07/2005,19/04/2007,Germany,Bonichot,Mengozzi,RESP
62004CJ0354,Judgment of the Court (Grand Chamber) of 27 February 2007,Grand Chamber,  Gestoras Pro Amnistía; Juan Mari Olano Olano and Julen Zelarain Errasti v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-354/04 P,ECLI identifier: ECLI:EU:C:2007:115,17/08/2004,27/02/2007,Spain,Bonichot,Mengozzi,RESP
62004CJ0355,Judgment of the Court (Grand Chamber) of 27 February 2007,Grand Chamber,Segi; Araitz Zubimendi Izaga and Aritza Galarraga v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-355/04 P,ECLI identifier: ECLI:EU:C:2007:116,17/08/2004,27/02/2007,Spain; France,Bonichot,Mengozzi,RESP
62005CJ0243,Judgment of the Court (First Chamber) of 9 November 2006,First Chamber,  Agraz; SA and Others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-243/05 P,ECLI identifier: ECLI:EU:C:2006:708,06/06/2005,09/11/2006,Greece; Italy; Portugal; France; Spain,Lenaerts,Poiares Maduro,RESP
62001CJ0164,Judgment of the Court (Second Chamber) of 28  October  2004,Second Chamber,  G, van den Berg v Council of the European Union and Commission of the European Communities,  Action for damages - Non-contractual liability - Milk - Additional levy - Reference quantity - Producers who entered into a non-marketing undertaking - SLOM Producers - Change of holding - Refusal to grant a special reference quantity,  Case C-164/01 P,ECLI identifier: ECLI:EU:C:2004:665,13/04/2001,28/10/2004,Netherlands,Colneric,Stix-Hackl,RESP
62001CJ0162,Judgment of the Court (Sixth Chamber) of 29 April 2004,Sixth Chamber,  Edouard Bouma and Bernard M,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-162/01 P and C-163/01 P,ECLI identifier: ECLI:EU:C:2004:247,13/04/2001,29/04/2004,Netherlands,Colneric,Stix-Hackl,RESP
62000CJ0275,Judgment of the Court of 26 November 2002,,  European Community; represented by the Commission of the European Communities v First NV and Franex NV,  Reference for a preliminary ruling: Hof van Beroep te Gent - Belgium,  Articles 235 EC; 240 EC and second paragraph of 288 EC - Action for damages - Expert report ordered as an interlocutory measure by a national court as against the European Community - Exclusive jurisdiction of the Community Courts,  Case C-275/00,ECLI identifier: ECLI:EU:C:2002:711,12/07/2000,26/11/2002,Belgium,von Bahr,Léger,RESP
61999CJ0080,Judgment of the Court of 9 October 2001,,  Ernst-Otto Flemmer (C-80/99) and Renate Christoffel (C-81/99) v Council of the European Union and Commission of the European Communities; represented by: Bundesanstalt für Landwirtschaft und Ernährung and Marike Leitensdorfer (C-82/99) v Bundesanstalt für Landwirtschaft und Ernährung,  Reference for a preliminary ruling: Verwaltungsgericht Frankfurt am Main - Germany,  Non-contractual liability - Milk producers - Non-marketing undertaking - Exclusion from milk quota scheme - Compensation - Substitution - Flat-rate compensation by contract - Regulation (EEC) No 2187/93 - Relevant jurisdiction - Applicable law,  Joined cases C-80/99; C-81/99 and C-82/99,ECLI identifier: ECLI:EU:C:2001:525,04/03/1999,09/10/2001,Germany,Colneric,Tizzano,RESP
61989CJ0104(01),Judgment of the Court (Sixth Chamber) of 27 January 2000,Sixth Chamber,  J,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-104/89 and C-37/90,ECLI identifier: ECLI:EU:C:2000:38,31/03/1989,27/01/2000,Germany; Netherlands,Hirsch,Saggio,RESP
61995CJ0357,Judgment of the Court of 11 March 1997,,  Empresa Nacional de Urânio SA (ENU) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-357/95 P,ECLI identifier: ECLI:EU:C:1997:144,16/11/1995,11/03/1997,Portugal,Wathelet,Fennelly,RESP
61991CJ0146,Judgment of the Court (Fifth Chamber) of 15 September 1994,Fifth Chamber,  Koinopraxia Enóséon Georgikon Synetairismon Diacheiríséos Enchorion Proïonton Syn, PE (KYDEP) v Council of the European Union and Commission of the European Communities,  Common organization of the market in cereals - Non-contractual liability,  Case C-146/91,ECLI identifier: ECLI:EU:C:1994:329,29/05/1991,15/09/1994,Greece,Zuleeg,Van Gerven,RESP
61987CJ0308(01),Judgment of the Court (Sixth Chamber) of 3 February 1994,Sixth Chamber,  Alfredo Grifoni v European Atomic Energy Community,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-308/87,ECLI identifier: ECLI:EU:C:1994:38,09/10/1987,03/02/1994,Italy,Kakouris,Tesauro,RESP
61989CJ0370(01),Judgment of the Court (Sixth Chamber) of 25 May 1993,Sixth Chamber,  Société Générale d'Entreprises Electro-Mécaniques and Roland Etroy v European Investment Bank,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-370/89,ECLI identifier: ECLI:EU:C:1993:202,12/12/1989,25/05/1993,France,Murray,Gulmann,RESP
