61993CJ0351,Judgment of the Court (Sixth Chamber) of 19 January 1995,Sixth Chamber,  Fitmay Ltd; H,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-351/93; C-352/93 and C-353/93,ECLI identifier: ECLI:EU:C:1995:10,12/07/1993,19/01/1995,Netherlands,Kakouris,Van Gerven,SAUV
61992CJ0081,Judgment of the Court (Fourth Chamber) of 2 August 1993,Fourth Chamber,  Hans Dinter GmbH & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-81/92,ECLI identifier: ECLI:EU:C:1993:342,13/03/1992,02/08/1993,Germany,Kakouris,Tesauro,SAUV
61990CJ0246,Judgment of the Court (Fourth Chamber) of 3 June 1992,Fourth Chamber,  Parma Handelsgesellschaft mbH v Hauptzollamt Bad Reichenhall,  Reference for a preliminary ruling: Finanzgericht München - Germany,  Morello cherries in syrup - Definition,  Case C-246/90,ECLI identifier: ECLI:EU:C:1992:238,13/08/1990,03/06/1992,Germany,Kakouris,Tesauro,SAUV
61990CJ0266,Judgment of the Court (Fourth Chamber) of 28 January 1992,Fourth Chamber,  Franc Soba KG v Hauptzollamt Augsburg,  Reference for a preliminary ruling: Finanzgericht München - Germany,  Morello cherries - Protective measures,  Case C-266/90,ECLI identifier: ECLI:EU:C:1992:36,05/09/1990,28/01/1992,Germany,Kakouris,Tesauro,SAUV
61990CJ0025,Judgment of the Court (Sixth Chamber) of 16 October 1991,Sixth Chamber,  Hauptzollamt Hamburg-Jonas v Wünsche Handelsgesellschaft GmbH & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-25/90,ECLI identifier: ECLI:EU:C:1991:388,24/01/1990,16/10/1991,Germany,Kakouris,Jacobs,SAUV
61990CJ0024,Judgment of the Court (Sixth Chamber) of 16 October 1991,Sixth Chamber,  Hauptzollamt Hamburg-Jonas v Werner Faust Offene Handelsgesellschaft KG,  Reference for a preliminary ruling: Bundesfinanzhof - Germany,  Preserved mushrooms - Protective measures,  Case C-24/90,ECLI identifier: ECLI:EU:C:1991:387,24/01/1990,16/10/1991,Germany,Kakouris,Jacobs,SAUV
61990CJ0026,Judgment of the Court (Sixth Chamber) of 16 October 1991,Sixth Chamber,  Hauptzollamt Hamburg-Jonas v Wünsche Handelsgesellschaft GmbH & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-26/90,ECLI identifier: ECLI:EU:C:1991:389,24/01/1990,16/10/1991,Germany,Kakouris,Jacobs,SAUV
61988CJ0152,Judgment of the Court (Fifth Chamber) of 26 June 1990,Fifth Chamber,  Sofrimport SARL v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-152/88,ECLI identifier: ECLI:EU:C:1990:259,26/05/1988,26/06/1990,France,Zuleeg,Tesauro,SAUV
61986CJ0291,Judgment of the Court (Sixth Chamber) of 5 July 1988,Sixth Chamber,  Central-Import Münster GmbH & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 291/86,ECLI identifier: ECLI:EU:C:1988:361,24/11/1986,05/07/1988,Germany,Kakouris,Sir Gordon Slynn,SAUV
61986CJ0077,Judgment of the Court (Sixth Chamber) of 11 February 1988,Sixth Chamber,  The Queen v H,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 77/86,ECLI identifier: ECLI:EU:C:1988:76,13/03/1986,11/02/1988,United Kingdom,Kakouris,Sir Gordon Slynn,SAUV
