62017CJ0065,Judgment of the Court (Ninth Chamber) of 19 April 2018,Ninth Chamber,Oftalma Hospital Srl v Commissione Istituti Ospitalieri Valdesi (CIOV) and Regione Piemonte,Request for a preliminary ruling from the Corte suprema di cassazione,Reference for a preliminary ruling — Public service contracts — Health and social services — Award contrary to the rules on public procurement — Requirement to comply with the principles of transparency and equal treatment — Concept of ‘certain cross-border interest’ — Directive 92/50/EEC — Article 27,Case C-65/17,ECLI identifier: ECLI:EU:C:2018:263,06/02/2017,19/04/2018,Italy,Juhász,Campos Sánchez-Bordona,SERV
62017CJ0152,Judgment of the Court (Ninth Chamber) of 19 April 2018,Ninth Chamber,Consorzio Italian Management e Catania Multiservizi SpA v Rete Ferroviaria Italiana SpA,Request for a preliminary ruling from the Consiglio di Stato,Reference for a preliminary ruling — Procurement procedures of entities operating in the water; energy; transport and postal services sectors — Directive 2004/17/EC — Obligation to review prices after the award of the contract — No such obligation in Directive 2004/17/EC or arising from the general principles underlying Article 56 TFEU and Directive 2004/17/EC — Cleaning and maintenance services linked to railway transport operations — Article 3(3) TEU — Articles 26; 57; 58 and 101 TFEU — Lack of sufficient information concerning the factual context of the dispute in the main proceedings and the reasons justifying the need for a reply to the questions referred — Inadmissibility — Article 16 of the Charter of Fundamental Rights of the European Union — Provision of national law not implementing EU law — Lack of jurisdiction,Case C-152/17,ECLI identifier: ECLI:EU:C:2018:264,24/03/2017,19/04/2018,Italy,Vajda,Bobek,SERV
62016CJ0645,Judgment of the Court (Fourth Chamber) of 19 April 2018,Fourth Chamber,Conseils et mise en relations (CMR) SARL v Demeures terre et tradition SARL,Request for a preliminary ruling from the Cour de cassation (France),Reference for a preliminary ruling — Self-employed commercial agents — Directive 86/653/EEC — Right of the commercial agent to an indemnity or compensation for damage following termination of the commercial agency contract — Article 17 — Exclusion from the right to indemnity in the event of termination of the contract during the trial period provided for in the contract,Case C-645/16,ECLI identifier: ECLI:EU:C:2018:262,15/12/2016,19/04/2018,France,Jürimäe,Szpunar,SERV
62016CJ0320,Judgment of the Court (Grand Chamber) of 10 April 2018,Grand Chamber,Criminal proceedings against Uber France,Request for a preliminary ruling from the Tribunal de grande instance de Lille,Reference for a preliminary ruling — Services in the field of transport — Directive 2006/123/EC — Services in the internal market — Directive 98/34/EC — Information society services — Rule on information society services — Definition — Intermediation service making it possible; by means of a smartphone application and for remuneration; to put non-professional drivers using their own vehicle in contact with persons who wish to make urban journeys — Criminal penalties,Case C-320/16,ECLI identifier: ECLI:EU:C:2018:221,06/06/2016,10/04/2018,France,Šváby,Szpunar,SERV
62015CJ0688,Judgment of the Court (Fifth Chamber) of 22 March 2018,Fifth Chamber,Agnieška Anisimovienė and Others v bankas „Snoras“ AB; in liquidation and Others,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-688/15 and C-109/16,ECLI identifier: ECLI:EU:C:2018:209,21/12/2015,22/03/2018,Lithuania,da Cruz Vilaça,,SERV
62016CJ0187,Judgment of the Court (Grand Chamber) of 20 March 2018,Grand Chamber,European Commission v Republic of Austria,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-187/16,ECLI identifier: ECLI:EU:C:2018:194,04/04/2016,20/03/2018,Austria,Bay Larsen,,SERV
62016CJ0575,Judgment of the Court (Sixth Chamber) of 15 March 2018,Sixth Chamber,European Commission v Czech Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-575/16,ECLI identifier: ECLI:EU:C:2018:186,14/11/2016,15/03/2018,Czech Republic,Arabadjiev,,SERV
62017CJ0009,Judgment of the Court (Third Chamber) of 1 March 2018,Third Chamber,Proceedings brought by Maria Tirkkonen,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-9/17,ECLI identifier: ECLI:EU:C:2018:142,09/01/2016,01/03/2018,Finland,Šváby,Campos Sánchez-Bordona,SERV
62016CJ0523,Judgment of the Court (Eighth Chamber) of 28 February 2018,Eighth Chamber,MA,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-523/16 and C-536/16,ECLI identifier: ECLI:EU:C:2018:122,12/10/2016,28/02/2018,Italy,Vilaras,Campos Sánchez-Bordona,SERV
62017CJ0003,Judgment of the Court (Sixth Chamber) of 28 February 2018,Sixth Chamber,Sporting Odds Limited v Nemzeti Adó- és Vámhivatal Központi Irányítása,Request for a preliminary ruling from the Fővárosi Közigazgatási és Munkaügyi Bíróság,Reference for a preliminary ruling — Freedom to provide services — Article 56 TFEU — Article 4(3) TEU — Charter of Fundamental Rights of the European Union — Restrictions — Betting and gaming — National legislation — Operation of certain kinds of games of chance by the State — Exclusivity — Licensing system for other kinds of games of chance — Requirement of a licence — Administrative penalty,Case C-3/17,ECLI identifier: ECLI:EU:C:2018:130,03/01/2017,28/02/2018,Hungary,Rodin,Szpunar,SERV
