62016CJ0551,Judgment of the Court (First Chamber) of 21 March 2018,First Chamber,J, Klein Schiphorst v Raad van bestuur van het Uitvoeringsinstituut werknemersverzekeringen,Reference for a preliminary ruling — Social security — Agreement between the European Community and the Swiss Confederation — Coordination of social security systems — Regulation (EC) No 883/2004 — Articles 7; 63 and 64 — Unemployment benefits — Unemployed person going to another Member State — Retention of entitlement to benefits — Duration,Case C-551/16,ECLI identifier: ECLI:EU:C:2018:200,31/10/2016,21/03/2018,Netherlands,Silva de Lapuerta,Mengozzi,SESO
62016CJ0431,Judgment of the Court (Tenth Chamber) of 15 March 2018,Tenth Chamber,Instituto Nacional de la Seguridad Social (INSS) and Tesorería General de la Seguridad Social (TGSS) v José Blanco Marqués,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-431/16,ECLI identifier: ECLI:EU:C:2018:189,02/08/2016,15/03/2018,Spain,Biltgen,Tanchev,SESO
62016CJ0359,Judgment of the Court (Grand Chamber) of 6 February 2018,Grand Chamber,Criminal proceedings against Ömer Altun and Others,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-359/16,ECLI identifier: ECLI:EU:C:2018:63,24/06/2016,06/02/2018,Belgium,Regan,Saugmandsgaard Øe,SESO
62017CJ0045,Judgment of the Court (Tenth Chamber) of 18 January 2018,Tenth Chamber,Frédéric Jahin v Ministre de l'Économie et des Finances and Ministre des Affaires sociales et de la Santé,Request for a preliminary ruling from the Conseil d'État (France),Reference for a preliminary ruling — Free movement of capital — Articles 63 and 65 TFEU — Regulation (EC) No 883/2004 — Article 11 — Levies on income from assets contributing to the financing of the social security scheme of a Member State — Exemption for nationals of the European Union affiliated to a social security scheme of another Member State — Natural persons affiliated to a social security scheme of a third country — Difference of treatment — Restriction — Justification,Case C-45/17,ECLI identifier: ECLI:EU:C:2018:18,30/01/2017,18/01/2018,France,Biltgen,Mengozzi,SESO
62016CJ0442,Judgment of the Court (Fifth Chamber) of 20 December 2017,Fifth Chamber,Florea Gusa v Minister for Social Protection and Others,Request for a preliminary ruling from the Court of Appeal (Ireland),Reference for a preliminary ruling — Directive 2004/38/EC — Person no longer working in a self-employed capacity — Retention of the status of self-employed person — Right of residence — Legislation of a Member State restricting eligibility for a jobseeker’s allowance to persons who have a right of residence on the territory of that Member State,Case C-442/16,ECLI identifier: ECLI:EU:C:2017:1004,08/08/2016,20/12/2017,Ireland,Tizzano,Wathelet,SESO
62016CJ0189,Judgment of the Court (Fifth Chamber) of 7 December 2017,Fifth Chamber,Boguslawa Zaniewicz-Dybeck v Pensionsmyndigheten,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-189/16,ECLI identifier: ECLI:EU:C:2017:946,04/04/2016,07/12/2017,Sweden,Biltgen,Wathelet,SESO
62015CJ0569,Judgment of the Court (Third Chamber) of 13 September 2017,Third Chamber,X v Staatssecretaris van Financiën,Request for a preliminary ruling from the Hoge Raad der Nederlanden,Reference for a preliminary ruling — Application of social security schemes — Migrant workers — Determination of the applicable legislation — Regulation (EEC) No 1408/71 — Article 14(2)(b)(i) — Person normally employed in the territory of two or more Member States — Person employed in one Member State and engaged in paid employment on the territory of another Member State during a period of unpaid leave lasting three months,Case C-569/15,ECLI identifier: ECLI:EU:C:2017:673,05/11/2015,13/09/2017,Netherlands,Bay Larsen,Szpunar,SESO
62015CJ0570,Judgment of the Court (Third Chamber) of 13 September 2017,Third Chamber,X v Staatssecretaris van Financiën,Request for a preliminary ruling from the Hoge Raad der Nederlanden,Reference for a preliminary ruling — Application of social security schemes — Migrant workers — Determination of the applicable legislation — Regulation (EEC) No 1408/71 — Article 14(2)(b)(i) — Person normally employed in the territory of two or more Member States — Person employed in one Member State and who pursues part of his activities in the Member State of his residence,Case C-570/15,ECLI identifier: ECLI:EU:C:2017:674,05/11/2015,13/09/2017,Netherlands,Bay Larsen,Szpunar,SESO
62016CJ0089,Judgment of the Court (Third Chamber) of 13 July 2017,Third Chamber,Radosław Szoja v Sociálna poisťovňa and WEBUNG; s,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-89/16,ECLI identifier: ECLI:EU:C:2017:538,15/02/2016,13/07/2017,Slovakia,Bay Larsen,Szpunar,SESO
62016CJ0449,Judgment of the Court (Seventh Chamber) of 21 June 2017,Seventh Chamber,Kerly Del Rosario Martinez Silva v Istituto nazionale della previdenza sociale (INPS) and Comune di Genova,Request for a preliminary ruling from the Corte d'appello di Genova,Reference for a preliminary ruling — Social security — Regulation (EC) No 883/2004 — Article 3 — Family benefits — Directive 2011/98/EU — Article 12 — Right to equal treatment — Third-country nationals holding single permits,Case C-449/16,ECLI identifier: ECLI:EU:C:2017:485,05/08/2016,21/06/2017,Italy,Jarašiūnas,Tanchev,SESO
62015CJ0690,Judgment of the Court (Grand Chamber) of 10 May 2017,Grand Chamber,Wenceslas de Lobkowicz v Ministère des Finances et des Comptes publics,Request for a preliminary ruling from the Cour administrative d'appel de Douai,Reference for a preliminary ruling — Officials of the European Union — Staff Regulations — Compulsory affiliation to the social security scheme of the EU institutions — Real estate income received in a Member State — Liability to pay General Social Contribution; social levy and additional contributions under the law of a Member State — Participating in the funding of the social security scheme of that Member State,Case C-690/15,ECLI identifier: ECLI:EU:C:2017:355,21/12/2015,10/05/2017,France,Biltgen,Mengozzi,SESO
