62014CJ0494,Judgment of the Court (Fifth Chamber) of 15 October 2015,Fifth Chamber,European Union v Axa Belgium SA,Request for a preliminary ruling from the Tribunal de première instance francophone de Bruxelles,Reference for a preliminary ruling — Officials — Staff Regulations — Articles 73; 78 and 85a — Traffic accident — National law establishing strict liability — Subrogation of the European Union — Concept of a ‘third party’ — Autonomous concept of EU law — Concept covering any person required; under national law; to pay compensation for the damage suffered by the victim or those entitled under him — Benefits not definitively payable by the European Union,Case C-494/14,ECLI identifier: ECLI:EU:C:2015:692,06/11/2014,15/10/2015,Belgium,von Danwitz,Szpunar,STAT
62014CJ0417,Judgment of the Court (Fifth Chamber) of 10 September 2015,Fifth Chamber,Livio Missir Mamachi di Lusignano v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-417/14 RX-II,ECLI identifier: ECLI:EU:C:2015:588,04/09/2014,10/09/2015,,von Danwitz,Wathelet,STAT
62013CJ0261,Judgment of the Court (Grand Chamber); 9 December 2014,Grand Chamber,Peter Schönberger v European Parliament,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑261/13 P,ECLI identifier: ECLI:EU:C:2014:2423,08/05/2013,09/12/2014,Luxembourg,Bonichot,Jääskinen,STAT
62012CJ0166,Judgment of the Court (Fifth Chamber) of 5 December 2013,Fifth Chamber,  Radek Časta v Česká správa sociálního zabezpečení,  Reference for a preliminary ruling: Krajský soud v Praze - Czech Republic,  Request for a preliminary ruling - Article 11(2) of Annex VIII to the Staff Regulations - Regulation (EEC; Euratom; ECSC) No 259/68 and Regulation (EC; Euratom) No 723/2004 - Officials of the European Union - Pension rights in the national scheme - Transfer to the European Union pension scheme - Calculation method - Concept of ‘capital value of pension rights’,  Case C-166/12,ECLI identifier: ECLI:EU:C:2013:792,03/04/2012,05/12/2013,Czech Republic,Juhász,Cruz Villalón,STAT
62012CJ0196,Judgment of the Court (Grand Chamber); 19 November 2013,Grand Chamber,European Commission v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑196/12,ECLI identifier: ECLI:EU:C:2013:753,26/04/2012,19/11/2013,,von Danwitz,Bot,STAT
62012CJ0066,Judgment of the Court (Grand Chamber); 19 November 2013,Grand Chamber,Council of the European Union v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑66/12,ECLI identifier: ECLI:EU:C:2013:751,03/02/2012,19/11/2013,,von Danwitz,Bot,STAT
62012CJ0063,Judgment of the Court (Grand Chamber) of 19 November 2013,Grand Chamber,  European Commission v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-63/12,ECLI identifier: ECLI:EU:C:2013:752,03/02/2012,19/11/2013,,von Danwitz,Bot,STAT
62012CJ0579,Judgment of the Court (Fourth Chamber); 19 September 2013,Fourth Chamber,European Commission v Guido Strack,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑579/12 RX-II,ECLI identifier: ECLI:EU:C:2013:570,11/12/2012,19/09/2013,,Prechal,Kokott,STAT
62012CJ0334,Judgment of the Court (Fourth Chamber); 28 February 2013,Fourth Chamber,Oscar Orlando Arango Jaramillo and Others v European Investment Bank (EIB),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑334/12 RX‑II,ECLI identifier: ECLI:EU:C:2013:134,12/07/2012,28/02/2013,,Bay Larsen,Mengozzi,STAT
62011CJ0062,Judgment of the Court (Grand Chamber); 19 July 2012,Grand Chamber,Land Hessen v Florence Feyerbacher,Reference for a preliminary ruling from the Hessisches Landessozialgericht,Protocol on the Statute of the European System of Central Banks and of the ECB — Article 36 — Protocol on the Privileges and Immunities of the European Communities — Articles 13; 15 and 23 — ECB Headquarters Agreement — Article 15 — Applicability to ECB staff of the provisions of German social welfare law providing for a parental allowance,Case C-62/11,ECLI identifier: ECLI:EU:C:2012:486,10/02/2011,19/07/2012,Germany,Schiemann,Jääskinen,STAT
62010CJ0040,Judgment of the Court (Third Chamber) of 24 November 2010,Third Chamber,  European Commission v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-40/10,ECLI identifier: ECLI:EU:C:2010:713,22/01/2010,24/11/2010,,von Danwitz,Bot,STAT
