62016CJ0277,Judgment of the Court (Second Chamber) of 20 December 2017,Second Chamber,Polkomtel sp,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-277/16,ECLI identifier: ECLI:EU:C:2017:989,17/05/2016,20/12/2017,Poland,Jarašiūnas,Tanchev,TELE
62016CJ0112,Judgment of the Court (Fourth Chamber) of 26 July 2017,Fourth Chamber,Persidera SpA v Autorità per le Garanzie nelle Comunicazioni and Ministero dello Sviluppo Economico delle Infrastrutture e dei Trasporti,Request for a preliminary ruling from the Consiglio di Stato,Reference for a preliminary ruling — Electronic communications — Telecommunication services — Directives 2002/20/EC; 2002/21/EC and 2002/77/EC — Equal treatment — Determination of the number of digital radio frequencies to be granted to each operator which already has analogue radio frequencies — Taking into consideration analogue radio frequencies used unlawfully — Correspondence between the number of analogue radio frequencies held and the number of digital radio frequencies obtained,Case C-112/16,ECLI identifier: ECLI:EU:C:2017:597,24/02/2016,26/07/2017,Italy,Jürimäe,Kokott,TELE
62015CJ0560,Judgment of the Court (Fourth Chamber) of 26 July 2017,Fourth Chamber,Europa Way Srl and Persidera SpA v Autorità per le Garanzie nelle Comunicazioni and Others,Request for a preliminary ruling from the Consiglio di Stato,Reference for a preliminary ruling — Electronic communications networks and services — Telecommunication services — Directives 2002/20/EC; 2002/21/EC and 2002/77/EC — Allocation of the rights to use digital terrestrial broadcasting radio frequencies for radio and television — Annulment of a free of charge on-going selection procedure (‘beauty contest’) and substitution of a fee-based auction for that procedure — Intervention of the national legislature — Independence of the national regulatory authorities — Prior consultation — Award criteria — Legitimate expectations,Case C-560/15,ECLI identifier: ECLI:EU:C:2017:593,30/10/2015,26/07/2017,Italy,Jürimäe,Kokott,TELE
62015CJ0536,Judgment of the Court (Second Chamber) of 15 March 2017,Second Chamber,Tele2 (Netherlands) BV and Others v Autoriteit Consument en Markt (ACM),Request for a preliminary ruling from the College van Beroep voor het Bedrijfsleven,Reference for a preliminary ruling — Electronic communications networks and services — Directive 2002/22/EC — Article 25(2) — Directory enquiry services and directories — Directive 2002/58/EC — Article 12 — Directories of subscribers — Making available personal data concerning subscribers for the purposes of the provision of publicly available directory enquiry services and directories — Subscriber’s consent — Distinction on the basis of the Member State in which publicly available directory enquiry services and directories are provided — Principle of non-discrimination,Case C-536/15,ECLI identifier: ECLI:EU:C:2017:214,13/10/2015,15/03/2017,Netherlands,Jarašiūnas,Bot,TELE
62015CJ0203,Judgment of the Court (Grand Chamber) of 21 December 2016,Grand Chamber,Tele2 Sverige AB v Post- och telestyrelsen and Secretary of State for the Home Department v Tom Watson and Others,Requests for a preliminary ruling from the Kammarrätten i Stockholm and the Court of Appeal (England & Wales) (Civil Division),Reference for a preliminary ruling — Electronic communications — Processing of personal data — Confidentiality of electronic communications — Protection — Directive 2002/58/EC — Articles 5; 6 and 9 and Article 15(1) — Charter of Fundamental Rights of the European Union — Articles 7; 8 and 11 and Article 52(1) — National legislation — Providers of electronic communications services — Obligation relating to the general and indiscriminate retention of traffic and location data — National authorities — Access to data — No prior review by a court or independent administrative authority — Compatibility with EU law,Joined Cases C-203/15 and C-698/15,ECLI identifier: ECLI:EU:C:2016:970,04/05/2015,21/12/2016,Sweden; United Kingdom,von Danwitz,Saugmandsgaard Øe,TELE
62015CJ0327,Judgment of the Court (Second Chamber) of 21 December 2016,Second Chamber,TDC A/S v Teleklagenævnet and Erhvervs- og Vækstministeriet,Request for a preliminary ruling from the Østre Landsret,Reference for a preliminary ruling — Electronic communications networks and services — Directive 2002/22/EC — Universal service — Articles 12 and 13 — Calculation of the cost of universal service obligations — Article 32 — Compensation for costs relating to additional mandatory services — Direct effect — Article 107(1) and Article 108(3) TFEU — Maritime radio safety and emergency services in Denmark and Greenland — National rules — Submission of an application for compensation for costs relating to additional mandatory services — Three-month time limit — Principles of equivalence and effectiveness),Case C-327/15,ECLI identifier: ECLI:EU:C:2016:974,02/07/2015,21/12/2016,Denmark,Jarašiūnas,Wahl,TELE
62015CJ0424,Judgment of the Court (Second Chamber) of 19 October 2016,Second Chamber,Xabier Ormaetxea Garai and Bernardo Lorenzo Almendros v Administración del Estado,Request for a preliminary ruling from the Tribunal Supremo,Reference for a preliminary ruling — Electronic communications networks and services — Directive 2002/21/EC — Article 3 — Impartiality and independence of national regulatory authorities — Institutional reform — Merger of national regulatory authority with other regulatory authorities — Dismissal of the President and a board member of the merged national regulatory authority before the expiry of their terms of office — Ground for dismissal not provided for under national law,Case C-424/15,ECLI identifier: ECLI:EU:C:2016:780,31/07/2015,19/10/2016,Spain,Jarašiūnas,Bot,TELE
62015CJ0231,Judgment of the Court (Second Chamber) of 13 October 2016,Second Chamber,Prezes Urzędu Komunikacji Elektronicznej and Petrotel sp,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-231/15,ECLI identifier: ECLI:EU:C:2016:769,21/05/2015,13/10/2016,Poland,Jarašiūnas,Campos Sánchez-Bordona,TELE
62015CJ0028,Judgment of the Court (Second Chamber) of 15 September 2016,Second Chamber,Koninklijke KPN NV and Others v Autoriteit Consument en Markt (ACM),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-28/15,ECLI identifier: ECLI:EU:C:2016:692,23/01/2015,15/09/2016,Netherlands,Jarašiūnas,Mengozzi,TELE
62015CJ0240,Judgment of the Court (Second Chamber) of 28 July 2016,Second Chamber,Autorità per le Garanzie nelle Comunicazioni v Istituto Nazionale di Statistica - ISTAT and Others,Request for a preliminary ruling from the Consiglio di Stato,Reference for a preliminary ruling — Electronic communications networks and services — Directive 2002/21/EC — Article 3 — Impartiality and independence of the national regulatory authorities — Directive 2002/20/EC — Article 12 — Administrative charges — National regulatory authority subject to provisions applicable to public finances and to provisions for limiting and streamlining public authority spending,Case C-240/15,ECLI identifier: ECLI:EU:C:2016:608,22/05/2015,28/07/2016,Italy,Jarašiūnas,Campos Sánchez-Bordona,TELE
