62017CJ0195,Judgment of the Court (Third Chamber) of 17 April 2018,Third Chamber,Helga Krüsemann and Others v TUIfly GmbH,References for a preliminary ruling from the Amtsgericht Hannover and Amtsgericht Düsseldorf,References for a preliminary ruling — Transport — Common rules on compensation and assistance to passengers in the event of denied boarding and of cancellation or long delay of flights — Regulation (EC) No 261/2004 — Article 5(3) — Article 7(1) — Right to compensation — Exemption — ‘Extraordinary circumstances’ — ‘Wildcat strike’,Joined Cases C-195/17; C-197/17 to C-203/17; C-226/17; C-228/17; C-254/17; C-274/17; C-275/17; C-278/17 to C-286/17 and C-290/17 to C-292/17,ECLI identifier: ECLI:EU:C:2018:258,13/04/2017,17/04/2018,Germany,Šváby,Tanchev,TRAN
62016CJ0541,Judgment of the Court (Fifth Chamber) of 12 April 2018,Fifth Chamber,European Commission v Kingdom of Denmark,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-541/16,ECLI identifier: ECLI:EU:C:2018:251,25/10/2016,12/04/2018,Denmark,Biltgen,Tanchev,TRAN
62016CJ0258,Judgment of the Court (Third Chamber) of 12 April 2018,Third Chamber,Finnair Oyj v Keskinäinen Vakuutusyhtiö Fennia,Request for a preliminary ruling from the Korkein oikeus,Reference for a preliminary ruling — Air transport — Montreal Convention — Article 31 — Liability of air carriers for checked baggage — Requirements as to the form and content of the written complaint sent to the air carrier — Complaint made electronically and recorded in the air carrier’s information system — Complaint made on behalf of the person entitled to delivery of checked baggage or cargo by an agent of the air carrier,Case C-258/16,ECLI identifier: ECLI:EU:C:2018:252,09/05/2016,12/04/2018,Finland,Malenovský,Sharpston,TRAN
62017CJ0181,Judgment of the Court (Tenth Chamber) of 8 February 2018,Tenth Chamber,European Commission v Kingdom of Spain,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-181/17,ECLI identifier: ECLI:EU:C:2018:75,07/04/2017,08/02/2018,Spain,Borg Barthet,Mengozzi,TRAN
62016CJ0314,Judgment of the Court (Ninth Chamber) of 25 January 2018,Ninth Chamber,European Commission v Czech Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-314/16,ECLI identifier: ECLI:EU:C:2018:42,01/06/2016,25/01/2018,Czech Republic,Juhász,Bot,TRAN
62016CJ0102,Judgment of the Court (Tenth Chamber) of 20 December 2017,Tenth Chamber,Vaditrans BVBA v Belgische Staat,Request for a preliminary ruling from the Raad van State,Reference for a preliminary ruling — Road transport — Driver’s rest periods — Regulation (EC) No 561/2006 — Article 8(6) and (8) — Whether it is possible to take daily rest periods and reduced weekly rest periods away from base and in a vehicle — Exclusion of regular weekly rest periods,Case C-102/16,ECLI identifier: ECLI:EU:C:2017:1012,19/02/2016,20/12/2017,Belgium,Berger,Tanchev,TRAN
62014CJ0600,Judgment of the Court (Grand Chamber) of 5 December 2017,Grand Chamber,Federal Republic of Germany v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-600/14,ECLI identifier: ECLI:EU:C:2017:935,22/12/2014,05/12/2017,Germany,Vajda,Szpunar,TRAN
62016CJ0224,Judgment of the Court (Second Chamber) of 22 November 2017,Second Chamber,Asotsiatsia na balgarskite predpriyatia za mezhdunarodni prevozi i patishtata (Aebtri) v Nachalnik na Mitnitsa Burgas,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-224/16,ECLI identifier: ECLI:EU:C:2017:880,20/04/2016,22/11/2017,Bulgaria,Prechal,Bobek,TRAN
62015CJ0489,Judgment of the Court (Fifth Chamber) of 9 November 2017,Fifth Chamber,CTL Logistics GmbH v DB Netz AG,Request for a preliminary ruling from the Landgericht Berlin,Reference for a preliminary ruling — Rail transport — Directive 2001/14/EC — Infrastructure charges — Pricing — National regulatory body monitoring the conformity of those infrastructure charges with that directive — Contract for use of infrastructure concluded between a railway infrastructure manager and a railway undertaking — Principle of non-discrimination — Reimbursement of the charges without intervention by that body and outside the claims procedures involving it — National legislation enabling the civil courts to set a fair amount in the case of unfair charges,Case C-489/15,ECLI identifier: ECLI:EU:C:2017:834,17/09/2015,09/11/2017,Germany,Berger,Mengozzi,TRAN
62016CJ0195,Judgment of the Court (Second Chamber) of 26 October 2017,Second Chamber,Criminal proceedings against I,Request for a preliminary ruling from the Amtsgericht Kehl,Reference for a preliminary ruling — Transport — Driving licences — Directive 2006/126/EC — Article 2(1) — Mutual recognition of driving licences — Definition of ‘driving licence’ — Driving licence pass certificate authorising its holder to drive in the Member State having awarded it before the issue of the definitive driving licence — Situation in which the holder of a test pass certificate drives a vehicle in another Member State — Obligation to recognise the test pass certificate — Penalties imposed on the holder of the test pass certificate for driving a vehicle outside of the Member State in which it was awarded — Proportionality,Case C-195/16,ECLI identifier: ECLI:EU:C:2017:815,07/04/2016,26/10/2017,Germany,Rosas,Bobek,TRAN
62016CJ0065,Judgment of the Court (Second Chamber) of 19 October 2017,Second Chamber,Istanbul Lojistik Ltd v Nemzeti Adó- és Vámhivatal Fellebbviteli Igazgatóság,Request for a preliminary ruling from the Szegedi Közigazgatási és Munkaügyi Bíróság,Reference for a preliminary ruling — Agreement establishing an association between the European Economic Community and Turkey — Article 9 — Decision No 1/95 of the EC-Turkey Association Council — Articles 4; 5 and 7 — Customs Union — Road transport — Motor vehicle tax — Taxation of heavy goods vehicles registered in Turkey crossing Hungary in transit,Case C-65/16,ECLI identifier: ECLI:EU:C:2017:770,08/02/2016,19/10/2017,Hungary,Jarašiūnas,Saugmandsgaard Øe,TRAN
62016CJ0559,Judgment of the Court (Eighth Chamber) of 7 September 2017,Eighth Chamber,Birgit Bossen and Others v Brussels Airlines SA/NV,Request for a preliminary ruling from the Amtsgericht Hamburg,References for a preliminary ruling — Transport — Regulation (EC) No 261/2004 — Article 7(1) — Common rules on compensation and assistance to passengers in the event of denied boarding and of cancellation or long delay of flights — Flight consisting of several legs — Concept of ‘distance’ to be taken into account,Case C-559/16,ECLI identifier: ECLI:EU:C:2017:644,04/11/2016,07/09/2017,Germany,Malenovský,Bot,TRAN
62015CJ0696,Judgment of the Court (Fourth Chamber) of 26 July 2017,Fourth Chamber,Czech Republic v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-696/15 P,ECLI identifier: ECLI:EU:C:2017:595,23/12/2015,26/07/2017,Czech Republic,von Danwitz,Saugmandsgaard Øe,TRAN
62016CJ0290,Judgment of the Court (Fourth Chamber) of 6 July 2017,Fourth Chamber,Air Berlin plc & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-290/16,ECLI identifier: ECLI:EU:C:2017:523,24/05/2016,06/07/2017,Germany,Lycourgos,,TRAN
62016CJ0190,Judgment of the Court (First Chamber) of 5 July 2017,First Chamber,Werner Fries v Lufthansa CityLine GmbH,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-190/16,ECLI identifier: ECLI:EU:C:2017:513,05/04/2016,05/07/2017,Germany,Silva de Lapuerta,Bobek,TRAN
