62016CO0107,Order of the Court (Third Chamber) of 23 November 2017,Third Chamber,Criminal proceedings against Giorgio Fidenato,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-107/16,ECLI identifier: ECLI:EU:C:2017:900,22/02/2016,23/11/2017,Italy,Bay Larsen,Bobek,AGRI
62012CO0546(01),Order of the Court (Tenth Chamber) of 14 June 2017,Tenth Chamber,Community Plant Variety Office v Ralf Schräder,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-546/12 P-DEP,ECLI identifier: ECLI:EU:C:2017:460,17/10/2016,14/06/2017,Germany,Levits,Sharpston,AGRI
62016CO0176,Order of the Court (Eighth Chamber) of 6 April 2017,Eighth Chamber,Proforec Srl v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-176/16 P,ECLI identifier: ECLI:EU:C:2017:290,23/03/2016,06/04/2017,Italy,Vilaras,Wathelet,AGRI
62016CO0446,Order of the Court (Ninth Chamber) of 7 February 2017,Ninth Chamber,Kohrener Landmolkerei GmbH and DHG Deutsche Heumilchgesellschaft mbH v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-446/16 P,ECLI identifier: ECLI:EU:C:2017:110,09/08/2016,07/02/2017,Germany,Lycourgos,Tanchev,AGRI
62016CO0280,Order of the Court (Sixth Chamber) of 12 January 2017,Sixth Chamber,Amrita Soc,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-280/16 P,ECLI identifier: ECLI:EU:C:2017:9,12/05/2016,12/01/2017,Italy,Regan,Bot,AGRI
62012CO0546,Order of the Court (Tenth Chamber) of 20 July 2016,Tenth Chamber,Jørn Hansson v Ralf Schräder,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-546/12 P-DEP,ECLI identifier: ECLI:EU:C:2016:594,10/02/2016,20/07/2016,Germany,Levits,Sharpston,AGRI
62016CO0134(01),Order of the Vice-President of the Court of 14 June 2016,,Chemtura Netherlands BV v European Food Safety Authority,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-134/16 P(R),ECLI identifier: ECLI:EU:C:2016:442,04/03/2016,14/06/2016,Netherlands,Tizzano,Wathelet,AGRI
62015CO0462,Order of the Court (Sixth Chamber) of 28 April 2016,Sixth Chamber,Verners Pudāns v Valsts ieņēmumu dienests&xd; ,Request for a preliminary ruling from the Augstākā tiesa,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court — Common Agricultural Policy — Regulation (EC) No 73/2009 — Direct support schemes — Article 29(1) — Obligation to make payments in full to the beneficiaries — Income tax,Case C-462/15,ECLI identifier: ECLI:EU:C:2016:317,31/08/2015,28/04/2016,Latvia,Regan,Kokott,AGRI
62015CO0227,Order of the Court (Third Chamber) of 21 April 2016,Third Chamber,Jean-Marie Cahier and Others v Council of the European Union and European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-227/15 P,ECLI identifier: ECLI:EU:C:2016:300,19/05/2015,21/04/2016,France,Bay Larsen,Campos Sánchez-Bordona,AGRI
62015CO0152,Order of the Court (Tenth Chamber) of 23 October 2015,Tenth Chamber,  Cruz & Companhia Lda v Instituto de Financiamento da Agricultura e Pescas IP (IFAP) and Caixa Central - Caixa Central de Crédito Agrícola Mútuo CRL,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-152/15,ECLI identifier: ECLI:EU:C:2015:740,30/03/2015,23/10/2015,Portugal,Vajda,Mengozzi,AGRI
