62000CO0323,Order of the Court (Fifth Chamber) of 25 April 2002,Fifth Chamber,  DSG Dradenauer Stahlgesellschaft mbH v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-323/00 P,ECLI identifier: ECLI:EU:C:2002:260,01/09/2000,25/04/2002,Germany,Jann,Ruiz-Jarabo Colomer,CECA
62001CO0180,Order of the President of the Court of 17 July 2001,,  Commission of the European Communities v National Association of Licensed Opencast Operators (NALOO),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-180/01 P-R,ECLI identifier: ECLI:EU:C:2001:423,22/05/2001,17/07/2001,United Kingdom,Jann,Alber,CECA
61997CO0151,Order of the President of the Court of 17 June 1997,,  National Power plc and PowerGen plc v British Coal Corporation and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-151/97 P(I) and C-157/97 P(I),ECLI identifier: ECLI:EU:C:1997:307,21/04/1997,17/06/1997,United Kingdom,,Lenz,CECA
61997CO0089,Order of the President of the Court of 30 April 1997,,  Moccia Irme SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-89/97 P(R),ECLI identifier: ECLI:EU:C:1997:226,27/02/1997,30/04/1997,Italy,,Elmer,CECA
61988CO0092,Order of the President of the Court of 2 May 1988,,  Associazione industrie siderurgiche italiane (Assider) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 92/88 R,ECLI identifier: ECLI:EU:C:1988:222,30/03/1988,02/05/1988,Italy,Schockweiler,Lenz,CECA
61983CO0183,Order of the Court (Fourth Chamber) of 20 November 1987,Fourth Chamber,  Krupp Stahl AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 183/83,ECLI identifier: ECLI:EU:C:1987:501,24/06/1987,20/11/1987,Germany,Kakouris,Mancini,CECA
61987CO0223,Order of the President of the Court of 10 August 1987,,  Associazione industrie siderurgiche italiane (Assider) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 223/87 R,ECLI identifier: ECLI:EU:C:1987:363,17/07/1987,10/08/1987,Italy,Schockweiler,Lenz,CECA
61987CO0209,Order of the President of the Court of 10 August 1987,,  Association des aciéries européennes indépendantes - European Independent Steelworks Association "EISA" v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 209/87 R,ECLI identifier: ECLI:EU:C:1987:361,09/07/1987,10/08/1987,Belgium,Schockweiler,Lenz,CECA
61987CO0214,Order of the President of the Court of 10 August 1987,,  Cockerill-Sambre v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 214/87 R,ECLI identifier: ECLI:EU:C:1987:362,13/07/1987,10/08/1987,Belgium,Schockweiler,Lenz,CECA
61986CO0095,Order of the Court (Third Chamber) of 17 March 1987,Third Chamber,  Ferriere San Carlo SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 95/86,ECLI identifier: ECLI:EU:C:1987:140,03/04/1986,17/03/1987,Italy,Galmot,Mancini,CECA
