62016CO0491,Order of the Court (Eighth Chamber) of 16 November 2017,Eighth Chamber,Instituto de Financiamento da Agricultura e Pescas; IP v Maxiflor – Promoção e Comercialização de Plantas; Importação e Exportação; Lda,Request for a preliminary ruling from the Supremo Tribunal Administrativo,Reference for a preliminary ruling — Article 53(2) and Article 99 of the Rules of Procedure of the Court — Regulation (EC) No 1260/1999 — Regulation (EC; Euratom) No 2988/95 — Article 3(1) — Protection of the European Union’s financial interests — Concept of ‘multiannual programme’ — Scope of application,Case C-491/16,ECLI identifier: ECLI:EU:C:2017:875,14/09/2016,16/11/2017,Portugal,Vilaras,Sharpston,COES
62013CO0175,Order of the Court (Ninth Chamber) of 10 February 2015,Ninth Chamber,  Liivimaa Lihaveis MTÜ v Eesti-Läti programmi 2007-2013 Seirekomitee,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-175/13,ECLI identifier: ECLI:EU:C:2015:80,28/03/2013,10/02/2015,Estonia,Safjan,Jääskinen,COES
62011CO0586,Order of the Court (Eighth Chamber) of 9 July 2013,Eighth Chamber,  Regione Puglia v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-586/11 P,ECLI identifier: ECLI:EU:C:2013:459,23/11/2011,09/07/2013,Italy,Fernlund,Jääskinen,COES
62011CO0242,Order of the Court (Eighth Chamber) of 16 May 2013,Eighth Chamber,  Caixa Geral de Depósitos SA v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-242/11 P,ECLI identifier: ECLI:EU:C:2013:306,13/05/2011,16/05/2013,Portugal,Fernlund,Jääskinen,COES
62011CO0627,Order of the Court (Ninth Chamber) of 27 November 2012,Ninth Chamber,S,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑627/11,ECLI identifier: ECLI:EU:C:2012:754,06/12/2011,27/11/2012,Romania,Malenovský,Wathelet,COES
62011CO0497,Order of the Court (Fifth Chamber) of 10 October 2012,Fifth Chamber,  Hellenic Republic v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-497/11 P,ECLI identifier: ECLI:EU:C:2012:625,23/09/2011,10/10/2012,Greece,Kasel,Cruz Villalón,COES
62009CO0043,Order of the Court (Seventh Chamber) of 22 January 2010,Seventh Chamber,  Hellenic Republic v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-43/09 P,ECLI identifier: ECLI:EU:C:2010:36,27/01/2009,22/01/2010,Greece,von Danwitz,Trstenjak,COES
62008CO0501,Order of the Court (Fifth Chamber) of 24 September 2009,Fifth Chamber,  Município de Gondomar v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-501/08 P,ECLI identifier: ECLI:EU:C:2009:580,18/11/2008,24/09/2009,Portugal,Kasel,Mengozzi,COES
62006CO0363,Order of the Court (Eighth Chamber) of 20 February 2008,Eighth Chamber,Comunidad Autónoma de Valencia - Generalidad Valenciana v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-363/06 P,ECLI identifier: ECLI:EU:C:2008:99,06/09/2006,20/02/2008,Spain,Arestis,Poiares Maduro,COES
61999CO0107,Order of the President of the Court of 29 June 1999,,  Italian Republic v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-107/99 R,ECLI identifier: ECLI:EU:C:1999:338,29/03/1999,29/06/1999,Italy,Puissochet,Mischo,COES
61997CO0239,Order of the Court (First Chamber) of 7 May 1998,First Chamber,  Ireland v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-239/97,ECLI identifier: ECLI:EU:C:1998:213,30/06/1997,07/05/1998,Ireland,Sevón,Mischo,COES
61994CO0325,Order of the Court (Fourth Chamber) of 11 July 1996,Fourth Chamber,  An Taisce - The National Trust for Ireland and World Wide Fund for Nature UK (WWF) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-325/94 P,ECLI identifier: ECLI:EU:C:1996:293,06/12/1994,11/07/1996,United Kingdom; Ireland,Ragnemalm,La Pergola,COES
