62017CO0508,Order of the Court (Tenth Chamber) of 8 February 2018,Tenth Chamber,CBA Spielapparate- und Restaurantbetriebs Gmbh v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-508/17 P,ECLI identifier: ECLI:EU:C:2018:72,19/08/2017,08/02/2018,Austria,Biltgen,Saugmandsgaard 0e,CONC
62016CO0373,Order of the Court (Seventh Chamber) of 7 December 2017,Seventh Chamber,Aughinish Alumina Ltd v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-373/16 P,ECLI identifier: ECLI:EU:C:2017:953,04/07/2016,07/12/2017,Ireland,Jarašiūnas,Saugmandsgaard Øe,CONC
62016CO0323,Order of the Court (Seventh Chamber) of 7 December 2017,Seventh Chamber,Eurallumina SpA v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-323/16 P,ECLI identifier: ECLI:EU:C:2017:952,08/06/2016,07/12/2017,Italy,Jarašiūnas,Saugmandsgaard Øe,CONC
62016CO0369,Order of the Court (Seventh Chamber) of 7 December 2017,Seventh Chamber,Ireland v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-369/16 P,ECLI identifier: ECLI:EU:C:2017:955,05/07/2016,07/12/2017,Ireland,Jarašiūnas,Saugmandsgaard Øe,CONC
62017CO0204,Order of the Vice-President of the Court of 11 October 2017,,Hungary v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-204/17 P(R),ECLI identifier: ECLI:EU:C:2017:751,20/04/2017,11/10/2017,Hungary,Tizzano,Wathelet,CONC
62016CO0640,Order of the Court (Eighth Chamber) of 10 October 2017,Eighth Chamber,Greenpeace Energy eG v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-640/16 P,ECLI identifier: ECLI:EU:C:2017:752,09/12/2016,10/10/2017,Germany,Vilaras,Tanchev,CONC
62016CO0180,Rectification order of 12 July 2017,,Toshiba Corporation v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-180/16 P,ECLI identifier: ECLI:EU:C:2017:559,06/07/2017,12/07/2017,,Prechal,Tanchev,CONC
62015CO0556,Order of the Court (Fifth Chamber) of 22 June 2017,Fifth Chamber,Fondul Proprietatea SA v Complexul Energetic Oltenia SA and SC Hidroelectrica SA,Requests for a preliminary ruling from the Curtea de Apel Craiova and Tribunalul Bucureşti,References for a preliminary ruling — Articles 53(2) and 94 of the Rules of Procedure of the Court of Justice — State aid — Participation of a company with a majority public shareholding in an increase in the share capital of a company in which the State is the sole shareholder or in the capital formation for a State-owned commercial company — Questions of a hypothetical nature — Insufficient information regarding the factual context — Manifest inadmissibility,Joined Cases C-556/15 and C-22/16,ECLI identifier: ECLI:EU:C:2017:494,28/10/2015,22/06/2017,Romania,da Cruz Vilaça,Wahl,CONC
62017CO0053,Order of the Court (Sixth Chamber) of 11 May 2017,Sixth Chamber,Bericap Záródástechnikai Cikkeket Gyártó Bt,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-53/17,ECLI identifier: ECLI:EU:C:2017:370,24/01/2017,11/05/2017,Hungary,Bonichot,Wathelet,CONC
62016CO0595,Order of the Court (Tenth Chamber) of 27 April 2017,Tenth Chamber,Emmea Srl and Commercial Hub Srl v Comune di Siracusa and Others,Request for a preliminary ruling from the Tribunale Amministrativo Regionale per la Sicilia,Reference for a preliminary ruling — Legislative and factual background to the case in the main proceedings — Insufficient information — Manifest inadmissibility — Article 53(2) of the Rules of Procedure of the Court of Justice — Article 94 of the Rules of Procedure of the Court of Justice,Case C-595/16,ECLI identifier: ECLI:EU:C:2017:320,23/11/2016,27/04/2017,Italy,Biltgen,Szpunar,CONC
62016CO0515,Order of the Court (Fifth Chamber) of 15 March 2017,Fifth Chamber,Enedis; SA v Axa Corporate Solutions SA and Ombrière Le Bosc SAS ,Request for a preliminary ruling from the Cour d'appel de Versailles,Request for a preliminary ruling — Article 99 of the Rules of Procedure of the Court of Justice — Articles 107 TFEU and 108 TFEU — State aid — Concept of ‘intervention by the State or through State resources’ — Solar power — Obligation to purchase at a price higher than the market price — Compensation in full — No prior notification,Case C-515/16,ECLI identifier: ECLI:EU:C:2017:217,03/10/2016,15/03/2017,France,da Cruz Vilaça,Wathelet,CONC
62016CO0232,Order of the Court (Sixth Chamber) of 9 March 2017,Sixth Chamber,Simet SpA v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-232/16 P,ECLI identifier: ECLI:EU:C:2017:200,20/04/2016,09/03/2017,Italy,Regan,Wathelet,CONC
62015CO0522(01),Order of the Court (Sixth Chamber) of 27 October 2016,Sixth Chamber,Siderurgica Latina Martin SpA (SLM) and Ori Martin SA v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-522/15 P-DEP,ECLI identifier: ECLI:EU:C:2016:831,25/02/2016,27/10/2016,Italy,Regan,Kokott,CONC
62015CO0426,Order of the Court (Seventh Chamber) of 5 October 2016,Seventh Chamber,Diputación Foral de Bizkaia v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-426/15 P,ECLI identifier: ECLI:EU:C:2016:757,28/07/2015,05/10/2016,Spain,Jarašiūnas,Wathelet,CONC
62014CO0526,Rectification order of 30 September 2016,,Tadej Kotnik and Others v Državni zbor Republike Slovenije,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-526/14,ECLI identifier: ECLI:EU:C:2016:767,20/11/2014,30/09/2016,Slovenia,da Cruz Vilaça,Wahl,CONC
62015CO0514,Order of the Court (Sixth Chamber) of 7 July 2016,Sixth Chamber,HIT Groep BV v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-514/15 P,ECLI identifier: ECLI:EU:C:2016:575,25/09/2015,07/07/2016,Netherlands,Regan,Kokott,CONC
62015CO0246,Order of the Court (Sixth Chamber) of 14 July 2016,Sixth Chamber,Pollmeier Massivholz GmbH & Co, KG v European Commission,Appeal — Article 181 of the Rules of Procedure of the Court — State aid — State measures concerning the establishment of a sawmill in Land Hessen (Germany) — Decision finding no State aid — Formal investigation procedure not initiated — Appeal manifestly inadmissible in part and manifestly unfounded in part,Case C-246/15 P,ECLI identifier: ECLI:EU:C:2016:568,26/05/2015,14/07/2016,Germany,Arabadjiev,Wathelet,CONC
62015CO0510,Order of the President of the Sixth Chamber of the Court of 7 July 2016,,Fapricela - Indústria de Trefilaria; SA v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-510/15 P,ECLI identifier: ECLI:EU:C:2016:547,24/09/2015,07/07/2016,Portugal,Regan,Kokott,CONC
62015CO0523,Order of the Court (Sixth Chamber) of 7 July 2016,Sixth Chamber,Westfälische Drahtindustrie GmbH and Others v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-523/15 P,ECLI identifier: ECLI:EU:C:2016:541,28/09/2015,07/07/2016,Germany,Regan,Kokott,CONC
62015CO0608,Order of the Court (Eighth Chamber) of 7 July 2016,Eighth Chamber,Panasonic Corp, v European Commission,Appeal — Rules of Procedure of the Court — Article 181 — Agreements; decisions and concerted practices — Global market for cathode ray tubes for television sets and computer monitors — Agreements and concerted practices on pricing; market-sharing; customer-allocation and output-limitation — Rights of the defence — Statement of objections — Content,Case C-608/15 P,ECLI identifier: ECLI:EU:C:2016:538,17/11/2015,07/07/2016,,Vilaras,Szpunar,CONC
62016CO0121,Order of the Court (Eighth Chamber) of 21 June 2016,Eighth Chamber,Salumificio Murru SpA v Autotrasporti di Marongiu Remigio,Request for a preliminary ruling from the Tribunale civile e penale di Cagliari,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court of Justice — Article 101 TFEU — Road transport — Price of road haulage services for hire or reward which may not be lower than the minimum operating costs — Competition — Fixing of costs by the Ministry of Infrastructure and Transport,Case C-121/16,ECLI identifier: ECLI:EU:C:2016:543,29/02/2016,21/06/2016,Italy,Šváby,Szpunar,CONC
62015CO0293,Order of the Court (Eighth Chamber) of 30 June 2016,Eighth Chamber,Slovenská pošta a,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-293/15 P,ECLI identifier: ECLI:EU:C:2016:511,15/06/2015,30/06/2016,Slovakia,Vilaras,Saugmandsgaard Øe,CONC
62015CO0669,Order of the Court (Fifth Chamber) of 30 June 2016,Fifth Chamber,Electricité Réseau Distribution France SA (ERDF) v Axa Corporate Solutions SA and Ombrière Le Bosc SAS ,Request for a preliminary ruling from the Cour d'appel de Versailles,Reference for a preliminary ruling — No legal framework — Manifest inadmissibility — Article 53(2) and Article 94 of the Rules of Procedure of the Court of Justice,Case C-669/15,ECLI identifier: ECLI:EU:C:2016:509,14/12/2015,30/06/2016,France,da Cruz Vilaça,Wathelet,CONC
62015CO0450,Order of the Court (Ninth Chamber) of 28 June 2016,Ninth Chamber,Autorità Garante della Concorrenza e del Mercato v Italsempione - Spedizioni Internazionali SpA,Request for a preliminary ruling from the Consiglio di Stato,Reference for a preliminary ruling — Article 53(2) of the Rules of Procedure of the Court of Justice — Regulation (EC) No 1/2003 — Article 23(2)(a) — Interpretation in the light of the principle of proportionality — Determination of the amount of the fine — Criteria — Guidelines for the calculation of fines — National practice — Adjustment of the basic amount of the fine — Account to be taken of aggravating or extenuating circumstances — Application of the maximum limit of 10% of total turnover — Absence of jurisdiction of the Court — Manifest lack of jurisdiction,Case C-450/15,ECLI identifier: ECLI:EU:C:2016:508,24/08/2015,28/06/2016,Italy,Juhász,Wathelet,CONC
62016CO0157,Order of the Vice-President of the Court of 21 June 2016,,Bundesverband der Pharmazeutischen Industrie e,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-157/16 P(I),ECLI identifier: ECLI:EU:C:2016:476,16/03/2016,21/06/2016,Germany,Tizzano,Wathelet,CONC
62014CO0541,Order of the Court (Sixth Chamber) of 21 April 2016,Sixth Chamber,Royal Scandinavian Casino Århus I/S v European Commission,Appeal — Article 181 of the Rules of Procedure of the Court — Actions for annulment — Article 263; fourth para,; TFEU — Right to bring an action — Locus standi — Natural or legal persons — State aid — Decision declaring State aid compatible with the internal market — Act concerning the applicant individually — Regulatory act not requiring implementing measures,Case C-541/14 P,ECLI identifier: ECLI:EU:C:2016:302,26/11/2014,21/04/2016,Denmark,Regan,Mengozzi,CONC
62014CO0563,Order of the Court (Sixth Chamber) of 21 April 2016,Sixth Chamber,Dansk Automat Brancheforening v European Commission,Appeal — Article 181 of the Rules of Procedure of the Court — Actions for annulment — Article 263; fourth para,; TFEU — Right to bring an action — Locus standi — Natural or legal persons — State aid — Decision declaring aid compatible with the internal market — Act concerning the applicant individually — Regulatory act not requiring implementing measures,Case C-563/14 P,ECLI identifier: ECLI:EU:C:2016:303,26/09/2014,21/04/2016,Denmark,Regan,Mengozzi,CONC
62015CO0162,Order of the Vice-President of the Court of 2 March 2016,,Evonik Degussa GmbH v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-162/15 P-R,ECLI identifier: ECLI:EU:C:2016:142,06/10/2015,02/03/2016,Germany,Tizzano,Szpunar,CONC
