62017CO0441(02),Order of the Court (Grand Chamber) of 20 November 2017,Grand Chamber,European Commission v Republic of Poland,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-441/17 R,ECLI identifier: ECLI:EU:C:2017:877,20/07/2017,20/11/2017,Poland,Tizzano,Wathelet,ENV
62015CO0369,Order of the Court (Sixth Chamber) of 26 October 2016,Sixth Chamber,Siderúrgica Sevillana SA and Others v Administración del Estado,References for a preliminary ruling from the the Tribunal Supremo,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court — System for greenhouse gas emission allowance trading in the European Union — Directive 2003/87/EC — Article 10a — Method for allocating quotas free of charge — Calculation of the uniform cross-sectoral correction factor — Decision 2013/448/EU — Article 4 — Annex II — Validity — Application of the uniform cross-sectoral correction factor to plants in sectors subject to a high risk of carbon leaks — Decision 2-11/278/EU — Article 10(9) — Validity,Joined Cases C-369/15 to C-372/15,ECLI identifier: ECLI:EU:C:2016:811,13/07/2015,26/10/2016,Spain,Bonichot,Kokott,ENV
62014CO0565(01),Order of the Court (Sixth Chamber) of 13 September 2016,Sixth Chamber,Romonta GmbH v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-565/14 P,ECLI identifier: ECLI:EU:C:2016:698,08/12/2014,13/09/2016,Germany,Bonichot,Mengozzi,ENV
62014CO0551(01),Order of the Court (Sixth Chamber) of 13 September 2016,Sixth Chamber,Arctic Paper Mochenwangen GmbH v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-551/14 P,ECLI identifier: ECLI:EU:C:2016:684,02/12/2014,13/09/2016,Germany,Bonichot,Mengozzi,ENV
62014CO0564,Order of the Court (Sixth Chamber) of 13 September 2016,Sixth Chamber,Raffinerie Heide GmbH v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-564/14 P,ECLI identifier: ECLI:EU:C:2016:685,02/12/2014,13/09/2016,Germany,Bonichot,Mengozzi,ENV
62015CO0691,Order of the Vice-President of the Court of 7 July 2016,,European Commission v Bilbaína de Alquitranes; SA and Others,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-691/15 P-R,ECLI identifier: ECLI:EU:C:2016:597,17/12/2015,07/07/2016,Belgium; Denmark; France; Netherlands; Austria; Spain; Czech Republic; United Kingdom; Poland; Germany,Fernlund,Bobek,ENV
62016CO0170,Order of the Vice-President of the Court of 16 June 2016,,ICA Laboratories Close Corp, and Others v European Commission,Appeal — Order concerning interim measures — Environment — Consumer protection — Regulation setting maximum residue levels for guazatine — Application for suspension of operation of the regulation — Dismissal — No urgency,Case C-170/16 P(R),ECLI identifier: ECLI:EU:C:2016:462,24/03/2016,16/06/2016,,Tizzano,Wathelet,ENV
62015CO0456,Order of the Court (Sixth Chamber) of 14 July 2016,Sixth Chamber,BASF SE v Bundesrepublik Deutschland,Request for a preliminary ruling from the Verwaltungsgericht Berlin,Preliminary reference — Article 99 of the Court’s Rules of Procedure — Scheme for greenhouse gas emission allowance trading in the European Union — Directive 2003/87/EC — Article 10a(5) — Method for allocating allowances — Free allocation of allowances — Method for calculating the uniform cross-sectoral correction factor — Decision 2011/278/EU — Article 15(3) — Decision 2013/448/EU — Article 4 — Annex II — Validity),Case C-456/15,ECLI identifier: ECLI:EU:C:2016:567,28/08/2015,14/07/2016,Germany,Bonichot,Sharpston,ENV
62014CO0502,Order of the Court (Sixth Chamber) of 30 June 2016,Sixth Chamber,Buzzi Unicem SpA and Others v Comitato nazionale per la gestione della Direttiva 2003/87/CE and Others,Request for a preliminary ruling from the Consiglio di Stato,Preliminary ruling — Article 99 of Rules of Procedure of the Court — Scheme for greenhouse gas emission allowance trading within the Union — Directive 2003/87/EC — Article 10a(5) — Method of allocating allowances — Allocation of allowances free of charge — Method for calculating the uniform cross-sectoral correction factor — Decision 2011/278/EU — Article 15(3) — Decision 2013/448/EU — Article 4 — Annexe II — Validity,Case C-502/14,ECLI identifier: ECLI:EU:C:2016:512,10/11/2014,30/06/2016,Italy,Bonichot,Kokott,ENV
62015CO0279,Order of the Court (Seventh Chamber) of 21 April 2016,Seventh Chamber,  Alexandre Borde and Carbonium v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-279/15 P,ECLI identifier: ECLI:EU:C:2016:297,08/06/2015,21/04/2016,France,Toader,Kokott,ENV
62014CO0580,Order of the Court (Sixth Chamber) of 17 December 2015,Sixth Chamber,Sandra Bitter v Bundesrepublik Deutschland,Request for a preliminary ruling from the Verwaltungsgericht Berlin,Reference for a preliminary ruling — Directive 2003/87/EC — Scheme for greenhouse gas emission allowance trading — Excess emissions penalty — Proportionality,Case C-580/14,ECLI identifier: ECLI:EU:C:2015:835,16/12/2014,17/12/2015,Germany,Bonichot,Mengozzi,ENV
62014CO0156,Order of the Court (Eighth Chamber) of 6 October 2015,Eighth Chamber,Tamoil Italia SpA v Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Request for a preliminary ruling from the Consiglio di Stato,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court — Article 191(2) TFEU — Directive 2004/35/EC — Environmental liability — National legislation under which no provision is made for the administrative authorities to require owners of polluted land who have not contributed to that pollution to carry out preventive and remedial measures; and the sole obligation imposed concerns the reimbursement of the measures undertaken by those authorities — Whether compatible with the ‘polluter pays’ principle; the precautionary principle and the principles that preventive action should be taken and that environmental damage should be rectified at source as a matter of priority),Case C-156/14,ECLI identifier: ECLI:EU:C:2015:677,03/04/2014,06/10/2015,Italy,Toader,Kokott,ENV
