62017CO0551,Order of the Court (Tenth Chamber) of 23 November 2017,Tenth Chamber,Ukraine v Oleksandr Viktorovych Yanukovych,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-551/17 P,ECLI identifier: ECLI:EU:C:2017:898,19/09/2017,23/11/2017,,Berger,Wathelet,EXT
62017CO0549,Order of the Court (Tenth Chamber) of 23 November 2017,Tenth Chamber,Ukraine v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-549/17 P,ECLI identifier: ECLI:EU:C:2017:903,19/09/2017,23/11/2017,,Berger,Wathelet,EXT
62017CO0550,Order of the Court (Tenth Chamber) of 23 November 2017,Tenth Chamber,Ukraine v Olga Stanislavivna Yanukovych,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-550/17 P,ECLI identifier: ECLI:EU:C:2017:897,19/09/2017,23/11/2017,,Berger,Wathelet,EXT
62016CO0476(01),Order of the Court (Eighth Chamber) of 16 November 2017,Eighth Chamber,Hrvatska agencija za civilno zrakoplovstvo v Air Serbia A,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-476/16,ECLI identifier: ECLI:EU:C:2017:874,30/08/2016,16/11/2017,Croatia,Malenovský,Tanchev,EXT
62016CO0505,Order of the Court (Eighth Chamber) of 6 July 2017,Eighth Chamber,Olga Stanislavivna Yanukovych; as heir of Viktor Viktorovych Yanukovych v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-505/16 P,ECLI identifier: ECLI:EU:C:2017:525,23/09/2016,06/07/2017,,Vilaras,Mengozzi,EXT
62016CO0385,Order of the Court (Seventh Chamber) of 4 April 2017,Seventh Chamber,Sharif University of Technology v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-385/16 P,ECLI identifier: ECLI:EU:C:2017:258,11/07/2016,04/04/2017,,Rosas,Wathelet,EXT
62016CO0222,Order of the Court (Ninth Chamber) of 15 November 2016,Ninth Chamber,„MIP-TS“ OOD v Nachalnik na Mitnitsa Varna,Request for a preliminary ruling from the Administrativen sad - Varna,Reference for a preliminary ruling — Commercial policy — Regulation (EC) No 1225/2009 — Article 13 — Circumvention — Implementing Regulation (EU) No 791/2011 — Open mesh fabrics of glass fibres originating in the People’s Republic of China — Anti-dumping duties — Implementing Regulations (EU) No 437/2012 and (EU) No 21/2013 — Consignment from Thailand — Extension of anti-dumping duties — Temporal scope — Community Customs Code — Post-clearance recovery of import duties,Case C-222/16,ECLI identifier: ECLI:EU:C:2016:877,20/04/2016,15/11/2016,Bulgaria,Jürimäe,Szpunar,EXT
62015CO0345,Order of the Court (Eighth Chamber) of 9 June 2016,Eighth Chamber,Chelyabinsk electrometallurgical integrated plant OAO (CHEMK) and Kuzneckie ferrosplavy OAO (KF) v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-345/15 P,ECLI identifier: ECLI:EU:C:2016:433,07/07/2015,09/06/2016,,Vilaras,Bot,EXT
62015CO0319,Order of the Court (Second Chamber) of 23 March 2016,Second Chamber,Overseas Financial Limited and Oaktree Finance Limited v Ministre de l’Économie; de l’Industrie et du Numérique,Request for a preliminary ruling from the Cour administrative d'appel de Paris,Reference for a preliminary ruling — No need to adjudicate,Case C-319/15,ECLI identifier: ECLI:EU:C:2016:268,29/06/2015,23/03/2016,France,Rosas,Mengozzi,EXT
62015CO0142,Order of the Court (Ninth Chamber) of 10 March 2016,Ninth Chamber,SolarWorld AG v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-142/15 P,ECLI identifier: ECLI:EU:C:2016:163,24/03/2015,10/03/2016,Germany,Jürimäe,Mengozzi,EXT
62015CO0312,Order of the Court (Ninth Chamber) of 10 March 2016,Ninth Chamber,  SolarWorld AG v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-312/15 P,ECLI identifier: ECLI:EU:C:2016:162,24/06/2015,10/03/2016,Germany,Jürimäe,Campos Sánchez-Bordona,EXT
62012CO0015,Order of the Court (Ninth Chamber) of 19 February 2016,Ninth Chamber,Council of the European Union v Dashiqiao Sanqiang Refractory Materials Co, Ltd,Taxation of costs,Case C-15/12 P-DEP,ECLI identifier: ECLI:EU:C:2016:113,07/09/2015,19/02/2016,,Lycourgos,Campos Sánchez-Bordona,EXT
62015CO0153,Order of the Court (Seventh Chamber) of 10 December 2015,Seventh Chamber,Naftiran Intertrade Co, (NICO) Sàrl v Council of the European Union,Appeal — Article 181 of the Rules of Procedure of the Court of Justice — Restrictive measures taken against Iran — List of persons and entities subject to the freezing of funds and economic resources — Inclusion of the appellant’s name — Admissibility — Period allowed for commencing proceedings — Point from which time starts to run — Manifest inadmissibility,Case C-153/15 P,ECLI identifier: ECLI:EU:C:2015:811,30/03/2015,10/12/2015,,Rosas,Sharpston,EXT
62014CO0545,Order of the Court (Seventh Chamber) of 1 December 2015,Seventh Chamber,Aguy Clement Georgias and Others v Council of the European Union and European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-545/14 P,ECLI identifier: ECLI:EU:C:2015:791,27/11/2014,01/12/2015,,Rosas,Wathelet,EXT
62012CO0601,Order of the Court (Seventh Chamber) of 15 October 2015,Seventh Chamber,  Council of the European Union v Ningbo Yonghong Fasteners Co, Ltd,  Taxation of costs,  Case C-601/12 P-DEP,ECLI identifier: ECLI:EU:C:2015:726,22/06/2015,15/10/2015,,da Cruz Vilaça,Bot,EXT
62013CO0585,Order of the Court (Fifth Chamber) of 9 July 2015,Fifth Chamber,  Europäisch-Iranische Handelsbank AG v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-585/13 P-REC,ECLI identifier: ECLI:EU:C:2015:467,17/03/2015,09/07/2015,Germany,Rosas,Mengozzi,EXT
62015CO0136,Order of the Court (Tenth Chamber) of 19 June 2015,Tenth Chamber,  Mohammad Makhlouf v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-136/15 P,ECLI identifier: ECLI:EU:C:2015:411,17/03/2015,19/06/2015,,Rosas,Wathelet,EXT
62014CO0021,Order of the Vice-President of the Court; 12 June 2014,,European Commission v Rusal Armenal ZAO,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑21/14 P-R,ECLI identifier: ECLI:EU:C:2014:1749,02/04/2014,12/06/2014,,da Cruz Vilaça,Kokott,EXT
62013CO0397,Order of the Court (Eighth Chamber) of 29 January 2014,Eighth Chamber,  Simone Gbagbo v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-397/13 P,ECLI identifier: ECLI:EU:C:2014:46,10/07/2013,29/01/2014,,Ó Caoimh,Mengozzi,EXT
62013CO0372,Order of the Court (Third Chamber) of 30 January 2014,Third Chamber,  Warner-Lambert Company LLC and Pfizer Ellas AE v SiegerPharma Anonymi Farmakeftiki Etaireia,  Reference for a preliminary ruling: Polymeles Protodikeio Athinon - Greece,  Article 99 of the Rules of Procedure of the Court - Questions referred for a preliminary ruling which are identical to questions on which the Court has already made a ruling - Agreement on Trade-Related Aspects of International Property Rights (TRIPs) - Article 27 - Patentable Subject Matter - Article 70 - Protection of Existing Subject Matter,  Case C-372/13,ECLI identifier: ECLI:EU:C:2014:61,02/07/2013,30/01/2014,Greece,Ilešič,Cruz Villalón,EXT
62013CO0462,Order of the Court (Third Chamber) of 30 January 2014,Third Chamber,  Warner-Lambert Company LLC and Pfizer Ellas AE v Minerva Farmakeftiki AE,  Reference for a preliminary ruling: Polymeles Protodikeio Athinon - Greece,  Article 99 of the Rules of Procedure of the Court of Justice - Questions referred for a preliminary ruling identical to questions on which the Court has already ruled - Agreement on Trade-Related Aspects of Intellectual Property Rights (TRIPS) - Article 27 - Patentable Subject Matter - Article 70 - Protection of Existing Subject Matter,  Case C-462/13,ECLI identifier: ECLI:EU:C:2014:62,06/08/2013,30/01/2014,Greece,Ilešič,Cruz Villalón,EXT
62012CO0471,Order of the Court (Seventh Chamber) of 20 June 2013,Seventh Chamber,  Holding kompanija Interspeed a,d, v European Commission,  Case C-471/12 P,ECLI identifier: ECLI:EU:C:2013:418,17/09/2012,20/06/2013,,Arabadjiev,Kokott,EXT
62012CO0235,Order of the Court (Seventh Chamber) of 28 February 2013,Seventh Chamber,  H-Holding AG v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-235/12 P,ECLI identifier: ECLI:EU:C:2013:132,14/05/2012,28/02/2013,,Arestis,Sharpston,EXT
62012CO0037,Order of the Court (Sixth Chamber) of 21 February 2013,Sixth Chamber,  Saupiquet SAS v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-37/12 P,ECLI identifier: ECLI:EU:C:2013:96,26/01/2012,21/02/2013,France,Levits,Sharpston,EXT
62012CO0168,Order of the President of the Court of 25 October 2012,,  Samir Hassan v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-168/12 P(R),ECLI identifier: ECLI:EU:C:2012:674,04/04/2012,25/10/2012,,Skouris,Jääskinen,EXT
62011CO0581,Order of the Court (Fifth Chamber) of 12 July 2012,Fifth Chamber,Muhamad Mugraby v Council of the European Union and European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑581/11 P,ECLI identifier: ECLI:EU:C:2012:466,22/11/2011,12/07/2012,,Safjan,Cruz Villalón,EXT
62012CO0110,Order of the President of the Court of 19 July 2012,,  Tarif Akhras v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-110/12 P(R),ECLI identifier: ECLI:EU:C:2012:507,24/02/2012,19/07/2012,,Skouris,Mazák,EXT
62011CO0644,Order of the President of the Court of 14 June 2012,,  Qualitest FZE v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-644/11 P(R),ECLI identifier: ECLI:EU:C:2012:354,14/12/2011,14/06/2012,Provisional data; United Arab Emirates,Skouris,Mazák,EXT
62011CO0656,Order of the President of the Court of 18 April 2012,,  United Kingdom of Great Britain and Northern Ireland v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-656/11 R,ECLI identifier: ECLI:EU:C:2012:211,16/12/2011,18/04/2012,United Kingdom,Jarašiūnas,Kokott,EXT
62011CO0348,Order of the Court (Eighth Chamber) of 23 March 2012,Eighth Chamber,  Thomson Sales Europe SA v Administration des douanes (Direction nationale du renseignement et des enquêtes douanières),  Reference for a preliminary ruling: Tribunal d'instance de Paris - France,  Articles 92(1) and 103(1) of the Rules of Procedure - Manifest inadmissibility - Article 104(3); second subparagraph; of the Rules of Procedure - Answer admitting of no reasonable doubt - Reference for a preliminary ruling - Assessment of validity - Common commercial policy - Dumping - Importation of televisions manufactured in Thailand - Validity of the investigation carried out by the European Anti-Fraud Office (OLAF) - Validity of Regulations (EC) Nos 710/95 and 2584/98,  Case C-348/11,ECLI identifier: ECLI:EU:C:2012:169,04/07/2011,23/03/2012,France,Toader,Mazák,EXT
62011CO0002,Order of the President of the Court of 17 October 2011,,  Lück GmbH & Co KG; Sandler AG and Gesamtverband der Deutschen Textil- und Modeindustrie eV v Council of the European Union and Others,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-2/11 P(I),ECLI identifier: ECLI:EU:C:2011:664,31/12/2010,17/10/2011,China; Provisional data,Skouris,,EXT
62011CO0003,Order of the President of the Court of 17 October 2011,,  Lück GmbH & Co KG; Sandler AG and Gesamtverband der Deutschen Textil- und Modeindustrie eV v Council of the European Union and Others,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-3/11 P(I),ECLI identifier: ECLI:EU:C:2011:665,31/12/2010,17/10/2011,China; Provisional data,Skouris,,EXT
