62017CO0243,Order of the Court (Eighth Chamber) of 16 November 2017,Eighth Chamber,Instituto de Financiamento da Agricultura e Pescas; IP v António da Silva Rodrigues,Request for a preliminary ruling from the Supremo Tribunal Administrativo,Reference for a preliminary ruling — Article 53(2) and Article 99 of the Rules of Procedure of the Court — Regulation (EC) No 1260/1999 — Regulation (EC; Euratom) No 2988/95 — Article 3(1) — Protection of the European Union’s financial interests — Concept of ‘multiannual programme’ — Scope of application,Case C-243/17,ECLI identifier: ECLI:EU:C:2017:873,10/05/2017,16/11/2017,Portugal,Vilaras,Sharpston,FIN
62016CO0491,Order of the Court (Eighth Chamber) of 16 November 2017,Eighth Chamber,Instituto de Financiamento da Agricultura e Pescas; IP v Maxiflor – Promoção e Comercialização de Plantas; Importação e Exportação; Lda,Request for a preliminary ruling from the Supremo Tribunal Administrativo,Reference for a preliminary ruling — Article 53(2) and Article 99 of the Rules of Procedure of the Court — Regulation (EC) No 1260/1999 — Regulation (EC; Euratom) No 2988/95 — Article 3(1) — Protection of the European Union’s financial interests — Concept of ‘multiannual programme’ — Scope of application,Case C-491/16,ECLI identifier: ECLI:EU:C:2017:875,14/09/2016,16/11/2017,Portugal,Vilaras,Sharpston,FIN
62014CO0259,Order of the Court (Sixth Chamber) of 4 December 2014,Sixth Chamber,  ADR Center Srl v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-259/14 P,ECLI identifier: ECLI:EU:C:2014:2417,23/05/2014,04/12/2014,Italy,Biltgen,Jääskinen,FIN
62014CO0013,Order of the Court (Eighth Chamber) of 12 June 2014,Eighth Chamber,Municipiul Piatra Neamț v Ministerul Dezvoltării Regionale și Administrației Publice,Request for a preliminary ruling from the Curtea de Apel Bacău,Reference for a preliminary ruling — Manifest inadmissibility,Case C‑13/14,ECLI identifier: ECLI:EU:C:2014:2000,15/01/2014,12/06/2014,Romania,Jarašiūnas,Cruz Villalón,FIN
62012CO0436,Order of the Court (Fifth Chamber) of 13 June 2013,Fifth Chamber,  Veolia Acqua Compagnia Generale delle Acque srl v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-436/12 P,ECLI identifier: ECLI:EU:C:2013:399,25/09/2012,13/06/2013,Italy,von Danwitz,Cruz Villalón,FIN
62012CO0418,Order of the Court (Ninth Chamber) of 7 May 2013,Ninth Chamber,  TME SpA - Termomeccanica Ecologia v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-418/12 P,ECLI identifier: ECLI:EU:C:2013:285,07/09/2012,07/05/2013,Italy,Prechal,Bot,FIN
62011CO0597,Order of the Court (Seventh Chamber) of 4 October 2012,Seventh Chamber,Evropaïki Dynamiki - Proigmena Systimata Tilepikoinonion Pliroforikis kai Tilematikis AE v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑597/11 P,ECLI identifier: ECLI:EU:C:2012:616,21/11/2011,04/10/2012,Greece,von Danwitz,Cruz Villalón,FIN
62011CO0348,Order of the Court (Eighth Chamber) of 23 March 2012,Eighth Chamber,  Thomson Sales Europe SA v Administration des douanes (Direction nationale du renseignement et des enquêtes douanières),  Reference for a preliminary ruling: Tribunal d'instance de Paris - France,  Articles 92(1) and 103(1) of the Rules of Procedure - Manifest inadmissibility - Article 104(3); second subparagraph; of the Rules of Procedure - Answer admitting of no reasonable doubt - Reference for a preliminary ruling - Assessment of validity - Common commercial policy - Dumping - Importation of televisions manufactured in Thailand - Validity of the investigation carried out by the European Anti-Fraud Office (OLAF) - Validity of Regulations (EC) Nos 710/95 and 2584/98,  Case C-348/11,ECLI identifier: ECLI:EU:C:2012:169,04/07/2011,23/03/2012,France,Toader,Mazák,FIN
62009CO0358,Order of the Court (Fifth Chamber) of 1 July 2010,Fifth Chamber,  DSV Road NV v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-358/09 P,ECLI identifier: ECLI:EU:C:2010:398,03/09/2009,01/07/2010,Belgium,Borg Barthet,Trstenjak,FIN
62006CO0457,Order of the Court (Eighth Chamber) of 4 October 2007,Eighth Chamber,Republic of Finland v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-457/06 P,ECLI identifier: ECLI:EU:C:2007:582,15/11/2006,04/10/2007,Finland,von Danwitz,Ruiz-Jarabo Colomer,FIN
