62017CO0125(01),Order of the Court (Ninth Chamber) of 22 February 2018,Ninth Chamber,Luigi Bisignani v Agenzia delle Entrate - Direzione Provinciale 1 di Roma,Request for a preliminary ruling from the Commissione tributaria provinciale di Roma,Reference for a preliminary ruling — Article 53(2) and Article 99 of the Rules of Procedure of the Court — Free movement of capital — Articles 64 and 65 TFEU — Directive 2011/16/EU — Cooperation in the field of taxation — Transfer of capital to the Vatican City State — Obligation to declare a transfer of funds sent or received from abroad — Repeal,Case C-125/17,ECLI identifier: ECLI:EU:C:2018:104,10/03/2017,22/02/2018,Italy,Vajda,Tanchev,LCC
62017CO0259,Order of the Court (Seventh Chamber) of 21 November 2017,Seventh Chamber,Zoltán Rózsavölgyi and Zoltánné Rózsavölgyi v Unicredit Leasing Hungary Zrt,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-259/17,ECLI identifier: ECLI:EU:C:2017:905,16/05/2017,21/11/2017,Hungary,Prechal,Wahl,LCC
62016CO0192,Order of the Court (Second Chamber) of 12 October 2017,Second Chamber,Peter Fisher and Others v Commissioners for Her Majesty's Revenue & Customs,Request for a preliminary ruling from the Upper Tribunal (Tax and Chancery Chamber),Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court of Justice — Article 355(3) TFEU — Status of Gibraltar — Article 49 TFEU — Article 63 TFEU — Freedom of establishment — Free movement of capital — Purely internal situation,Case C-192/16,ECLI identifier: ECLI:EU:C:2017:762,06/04/2016,12/10/2017,United Kingdom,Ilešič,Szpunar,LCC
62015CO0194,Order of the Court (Sixth Chamber) of 4 February 2016,Sixth Chamber,Véronique Baudinet and Others v Agenzia delle Entrate - Direzione Provinciale I di Torino,Request for a preliminary ruling from the Commissione tributaria provinciale di Torino,Reference for a preliminary ruling — Articles 63 TFEU and 65 TFEU — Free movement of capital — Article 49 TFEU — Freedom of establishment — Direct taxation — Imposition of dividends — Bilateral agreement on double taxation — Judicial double taxation,Case C-194/15,ECLI identifier: ECLI:EU:C:2016:81,28/04/2015,04/02/2016,Italy,Fernlund,Wathelet,LCC
62015CO0299,Order of the Court (Ninth Chamber) of 16 July 2015,Ninth Chamber,Daniele Striani and Others v Union européenne des Sociétés de Football Association (UEFA) and Union Royale Belge des Sociétés de Football - Association (URBSFA),Request for a preliminary ruling from the Tribunal de première instance de Bruxelles,Reference for a preliminary ruling — Insufficient information regarding the legal and factual context — Insufficient information regarding the reasons justifying the need for an answer to the questions referred for a preliminary ruling for the purposes of resolving a dispute in the main proceedings — Manifest inadmissibility,Case C-299/15,ECLI identifier: ECLI:EU:C:2015:519,19/06/2015,16/07/2015,Belgium,Prechal,Sharpston,LCC
62014CO0107,Order of the Court (Third Chamber) of 17 July 2014,Third Chamber,3D I srl v Agenzia delle Entrate — Ufficio di Cremona,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑107/14,ECLI identifier: ECLI:EU:C:2014:2117,04/02/2014,17/07/2014,Italy,Ilešič,Jääskinen,LCC
62011CO0540,Order of the Court (Sixth Chamber) of 19 September 2012,Sixth Chamber,  Daniel Levy and Carine Sebbag v Belgian State,  Reference for a preliminary ruling: Tribunal de première instance de Bruxelles - Belgium,  Free movement of capital - Direct taxation - Taxation of dividends - Bilateral convention which precludes double taxation - Subsequent amendment; by one of the two States party to the convention; of its national legislation; having the effect of reintroducing double taxation - Obligations of the Member States under Articles 10 EC and 293 EC,  Case C-540/11,ECLI identifier: ECLI:EU:C:2012:581,24/10/2011,19/09/2012,Belgium,Lõhmus,Mengozzi,LCC
62011CO0038,Order of the Court (Fifth Chamber) of 18 June 2012,Fifth Chamber,Amorim Energia BV v Ministério das Finanças e da Administração Pública,Reference for a preliminary ruling — Supremo Tribunal Administrativo — Interpretation of Articles 63 TFEU and 65 TFEU — National legislation subjecting dividends distributed to non-resident companies to tax rules less favourable than those applied to dividends distributed to resident companies — Non-resident companies required to have held shares for a longer minimum period and to possess a larger minimum holding,The first subparagraph of Article 104(3) of the Rules of Procedure — Articles 49 TFEU and 54 TFEU — Articles 63 TFEU and 65 TFEU — Directive 90/435/EEC — Article 3(2) — Tax legislation — Corporation tax — Taxation of dividends — Withholding tax — Exemption — Minimum holding in the company distributing dividends — Conditions — Minimum period of uninterrupted share ownership –Conditions — Resident and non-resident recipient companies — Different treatment,Case C‑38/11,ECLI identifier: ECLI:EU:C:2012:358,28/01/2011,18/06/2012,Portugal,Levits,Mengozzi,LCC
62011CO0384,Order of the Court (Fifth Chamber) of 12 July 2012,Fifth Chamber,  Tate & Lyle Investments Ltd v Belgische Staat,  Reference for a preliminary ruling: Rechtbank van eerste aanleg te Brussel - Belgium,  The first subparagraph of Article 104(3) of the Rules of Procedure - Article 63 TFEU - Tax legislation - Payment of dividends - Withholding tax - Prevention or mitigation of a series of charges to tax - Different treatment of resident recipient companies and non-resident recipient companies,  Case C-384/11,ECLI identifier: ECLI:EU:C:2012:463,19/07/2011,12/07/2012,Belgium,Levits,Mengozzi,LCC
62010CO0529,Order of the Court (Eighth Chamber) of 29 March 2012,Eighth Chamber,  Ministero dell'Economia e delle Finanze and Agenzia delle Entrate v Safilo Spa,  Reference for a preliminary ruling: Corte suprema di cassazione - Italy,  Article 104(3); first subparagraph; of the Rules of Procedure - Direct taxation - Conclusion of proceedings pending before the court giving judgment at final instance in tax matters - Abuse of rights - Article 4(3) TEU - Freedoms guaranteed by the Treaty - Principle of non-discrimination - State aid - Obligation to ensure the effective application of European Union law,  Case C-529/10,ECLI identifier: ECLI:EU:C:2012:188,16/11/2010,29/03/2012,Italy,Jarašiūnas,Sharpston,LCC
62010CO0476,Order of the Court (Eighth Chamber) of 24 June 2011,Eighth Chamber,projektart Errichtungsgesellschaft mbH; Eva Maria Pepic and Herbert Hilbe,Reference for a preliminary ruling: Unabhängiger Verwaltungssenat des Landes Vorarlberg - Austria,First subparagraph of Article 104(3) of the Rules of Procedure − Free movement of capital – Article 40 of and Annex XII to the EEA Agreement − Purchase by nationals of the Principality of Liechtenstein of a secondary residence in the Province of Vorarlberg (Austria) – Procedure of prior authorisation − Admissibility,Case C-476/10,ECLI identifier: ECLI:EU:C:2011:422,01/10/2010,24/06/2011,Austria,Prechal,Kokott,LCC
62010CO0199,Order of the Court (Fifth Chamber) of 22 November 2010,Fifth Chamber,  Secilpar - Sociedade Unipessoal SL v Fazenda Pública,  Reference for a preliminary ruling: Supremo Tribunal Administrativo - Portugal,  Article 104(3); first paragraph; of the Rules of Procedure - Articles 56 EC and 58 EC - Taxation of dividends - Deduction at source - National fiscal legislation which provides for an exemption of dividends paid to resident companies,  Case C-199/10,ECLI identifier: ECLI:EU:C:2010:706,26/04/2010,22/11/2010,Portugal,Levits,Mengozzi,LCC
62008CO0055,Order of the Court (Eighth Chamber) of 25 February 2010,Eighth Chamber,  Santa Casa da Misericórdia de Lisboa v Liga Portuguesa de Futebol Profissional; Bwin International Ltd and Betandwin,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-55/08,ECLI identifier: ECLI:EU:C:2010:86,13/02/2008,25/02/2010,Portugal,Schiemann,Bot,LCC
62007CO0439,Order of the Court (Fifth Chamber) of 4 June 2009,Fifth Chamber,Belgische Staat v KBC Bank NV (C-439/07) and Beleggen; Risicokapitaal; Beheer NV v Belgische Staat (C-499/07),References for a preliminary ruling: Hof van Beroep te Brussel and Rechtbank van eerste aanleg te Brugge - Belgium,Article 104(3); first subparagraph; of the Rules of Procedure - Articles 43 EC and 56 EC - Directive 90/435/EEC -Article 4(1) -National legislation designed to prevent double taxation of distributed profits - Deduction of the amount of dividends received from a parent company's basis of assessment only in so far as it has made taxable profits,Joined cases C-439/07 and C-499/07,ECLI identifier: ECLI:EU:C:2009:339,24/09/2007,04/06/2009,Belgium,Levits,Trstenjak,LCC
62005CO0201,Order of the Court (Fourth Chamber) of 23 April 2008,Fourth Chamber,  The Test Claimants in the CFC and Dividend Group Litigation v Commissioners of Inland Revenue,  Reference for a preliminary ruling: High Court of Justice (England & Wales); Chancery Division - United Kingdom,  First subparagraph of Article 104(3) of the Rules of Procedure - Freedom of establishment - Free movement of capital - Direct taxation - Corporation tax - Share dividends paid to a resident company by a non-resident company - Rules on controlled foreign companies (‘CFCs’) - Situation as regards a non-member country - Classification of claims brought against the tax authority - Liability of a Member State for breach of Community law,  Case C-201/05,ECLI identifier: ECLI:EU:C:2008:239,06/05/2005,23/04/2008,United Kingdom,Lenaerts,Trstenjak,LCC
62006CO0415,Order of the Court (Eighth Chamber) of 6 November 2007,Eighth Chamber,Stahlwerk Ergste Westig GmbH v Finanzamt Düsseldorf-Mettmann,Reference for a preliminary ruling: Bundesfinanzhof - Germany,First subparagraph of Article 104(3) of the Rules of Procedure - Answer clearly able to be deduced from case-law - Free movement of capital - Taxation on income - Company having permanent establishments in a non-Member State - Account taken of losses incurred by those establishments,Case C-415/06,ECLI identifier: ECLI:EU:C:2007:651,11/10/2006,06/11/2007,Germany,Silva de Lapuerta,Sharpston,LCC
62005CO0102,Order of the Court (Fourth Chamber) of 10 May 2007,Fourth Chamber,  Skatteverket v A and B,  Reference for a preliminary ruling: Regeringsrätten - Sweden,  First subparagraph of Article 104(3) of the Rules of Procedure - Free movement of capital - Freedom of establishment - Taxation - Dividends paid in respect of shares distributed by a 'close company'- 'Wage rules' - Taxation of those dividends as income from assets - Calculation of a flat-rate yield - Percentage of capital invested and fraction of salaries - Branch established in a third country - Failure to take into account employees' wages at this branch,  Case C-102/05,ECLI identifier: ECLI:EU:C:2007:275,28/02/2005,10/05/2007,Sweden,Lenaerts,Bot,LCC
