62017CO0576(01),Order of the Vice-President of the Court of 22 March 2018,,Wall Street Systems UK Ltd v European Central Bank,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-576/17 P(R),ECLI identifier: ECLI:EU:C:2018:208,29/09/2017,22/03/2018,,Tizzano,,MARC
62014CO0173,Order of the Court (Tenth Chamber) of 8 February 2018,Tenth Chamber,European Medicines Agency v European Dynamics Belgium SA and Others,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-173/14 P-DEP,ECLI identifier: ECLI:EU:C:2018:73,18/07/2017,08/02/2018,United Kingdom; Luxembourg; Greece; Belgium,Levits,Campos Sânchez-Bordona,MARC
62017CO0486,Order of the Court (Sixth Chamber) of 23 November 2017,Sixth Chamber,Olympus Italia Srl v Istituto di Ricovero e Cura a Carattere Scientifico – Centro di Riferimento Oncologico della Basilicata di Rionero in Vulture (I,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-486/17,ECLI identifier: ECLI:EU:C:2017:899,10/08/2017,23/11/2017,Italy,Rodin,Campos Sanchez- Bordona,MARC
62016CO0379,Order of the Court (Ninth Chamber) of 24 November 2016,Ninth Chamber,European Dynamics Luxembourg SA and Others v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-379/16 P,ECLI identifier: ECLI:EU:C:2016:905,07/07/2016,24/11/2016,,Juhász,Mengozzi,MARC
62015CO0590,Order of the Court (Ninth Chamber) of 10 November 2016,Ninth Chamber,Alain Laurent Brouillard v Court of Justice of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-590/15 P,ECLI identifier: ECLI:EU:C:2016:872,13/11/2015,10/11/2016,Belgium,Lycourgos,Campos Sánchez-Bordona,MARC
62016CO0088,Order of the Court (Ninth Chamber) of 7 July 2016,Ninth Chamber,European Dynamics Luxembourg SA and Evropaïki Dynamiki - Proigmena Systimata Tilepikoinonion Pliroforikis kai Tilematikis AE v European Joint Undertaking for ITER and the Development of Fusion Energy,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-88/16 P,ECLI identifier: ECLI:EU:C:2016:539,12/02/2016,07/07/2016,Luxembourg; Greece,Juhász,Mengozzi,MARC
62016CO0035,Order of the Court (Sixth Chamber) of 28 April 2016,Sixth Chamber,Matratzen Concord GmbH v European Union Intellectual Property Office (EUIPO),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-35/16 P,ECLI identifier: ECLI:EU:C:2016:314,21/01/2016,28/04/2016,Germany,Arabadjiev,Wathelet,MARC
62015CO0049,Order of the Vice-President of the Court of 5 June 2015,,STC SpA v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-49/15 P(R),ECLI identifier: ECLI:EU:C:2015:373,06/02/2015,05/06/2015,Italy,Lenaerts,Wathelet,MARC
62015CO0035,Order of the Vice-President of the Court of 23 April 2015,,European Commission v Vanbreda Risk & Benefits,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-35/15 P(R),ECLI identifier: ECLI:EU:C:2015:275,29/01/2015,23/04/2015,Belgium,,Wathelet,MARC
62013CO0501,Order of the Court (Sixth Chamber) of 2 October 2014,Sixth Chamber,  Page Protective Services Ltd v European External Action Service (EEAS),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-501/13 P,ECLI identifier: ECLI:EU:C:2014:2259,18/09/2013,02/10/2014,United Kingdom,Rodin,Cruz Villalón,MARC
62013CO0006,Order of the Court (Tenth Chamber) of 7 November 2013,Tenth Chamber,  IDT Biologika GmbH v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-6/13 P,ECLI identifier: ECLI:EU:C:2013:743,21/12/2012,07/11/2013,Germany,Vajda,Bot,MARC
62012CO0436,Order of the Court (Fifth Chamber) of 13 June 2013,Fifth Chamber,  Veolia Acqua Compagnia Generale delle Acque srl v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-436/12 P,ECLI identifier: ECLI:EU:C:2013:399,25/09/2012,13/06/2013,Italy,von Danwitz,Cruz Villalón,MARC
62012CO0418,Order of the Court (Ninth Chamber) of 7 May 2013,Ninth Chamber,  TME SpA - Termomeccanica Ecologia v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-418/12 P,ECLI identifier: ECLI:EU:C:2013:285,07/09/2012,07/05/2013,Italy,Prechal,Bot,MARC
62011CO0597,Order of the Court (Seventh Chamber) of 4 October 2012,Seventh Chamber,Evropaïki Dynamiki - Proigmena Systimata Tilepikoinonion Pliroforikis kai Tilematikis AE v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑597/11 P,ECLI identifier: ECLI:EU:C:2012:616,21/11/2011,04/10/2012,Greece,von Danwitz,Cruz Villalón,MARC
62010CO0462,Order of the Court (Seventh Chamber) of 13 January 2012,Seventh Chamber,Evropaïki Dynamiki - Proigmena Systimata Tilepikoinonion Pliroforikis kai Tilematikis AE v EEA,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑462/10 P,ECLI identifier: ECLI:EU:C:2012:14,24/09/2010,13/01/2012,Greece,Juhász,Jääskinen,MARC
