62014CO0173,Order of the Court (Tenth Chamber) of 8 February 2018,Tenth Chamber,European Medicines Agency v European Dynamics Belgium SA and Others,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-173/14 P-DEP,ECLI identifier: ECLI:EU:C:2018:73,18/07/2017,08/02/2018,United Kingdom; Luxembourg; Greece; Belgium,Levits,Campos Sânchez-Bordona,PROC
62015CO0309(01),Order of the Court (Ninth Chamber) of 14 December 2017,Ninth Chamber,MIP Metro Group Intellectual Property GmbH & Co, KG v Real Express Srl,Taxation of costs,Case C-309/15 P-DEP,ECLI identifier: ECLI:EU:C:2017:977,02/08/2017,14/12/2017,Romania,Juhász,Wathelet,PROC
62017CO0551,Order of the Court (Tenth Chamber) of 23 November 2017,Tenth Chamber,Ukraine v Oleksandr Viktorovych Yanukovych,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-551/17 P,ECLI identifier: ECLI:EU:C:2017:898,19/09/2017,23/11/2017,,Berger,Wathelet,PROC
62017CO0549,Order of the Court (Tenth Chamber) of 23 November 2017,Tenth Chamber,Ukraine v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-549/17 P,ECLI identifier: ECLI:EU:C:2017:903,19/09/2017,23/11/2017,,Berger,Wathelet,PROC
62017CO0550,Order of the Court (Tenth Chamber) of 23 November 2017,Tenth Chamber,Ukraine v Olga Stanislavivna Yanukovych,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-550/17 P,ECLI identifier: ECLI:EU:C:2017:897,19/09/2017,23/11/2017,,Berger,Wathelet,PROC
62015CO0586(01),Order of the Court (Seventh Chamber) of 9 November 2017,Seventh Chamber,Nestlé Unternehmungen Deutschland GmbH v Lotte Co, Ltd,Taxation of costs — Manifest inadmissibility,Case C-586/15 P-DEP,ECLI identifier: ECLI:EU:C:2017:855,22/06/2017,09/11/2017,Germany,Rosas,Wahl,PROC
62012CO0171(01),Order of the Court (Fifth Chamber) of 6 October 2017,Fifth Chamber,Giulio Gambettola v Carrols Corp,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-171/12 P-DEP,ECLI identifier: ECLI:EU:C:2017:748,13/06/2017,06/10/2017,,da Cruz Vilaça,Bot,PROC
62013CO0325,Order of the Court (Eighth Chamber) of 13 July 2017,Eighth Chamber,Peek & Cloppenburg KG v Peek & Cloppenburg KG,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-325/13 P-DEP,ECLI identifier: ECLI:EU:C:2017:556,01/02/2017,13/07/2017,Germany,Safjan,Bot,PROC
62015CO0061(01),Order of the Court (Eighth Chamber) of 4 July 2017,Eighth Chamber,European Aviation Safety Agency v Heli-Flight GmbH & Co, KG,Taxation of costs,Case C-61/15 P-DEP,ECLI identifier: ECLI:EU:C:2017:530,16/12/2016,04/07/2017,Germany,Malenovský,,PROC
62012CO0546(01),Order of the Court (Tenth Chamber) of 14 June 2017,Tenth Chamber,Community Plant Variety Office v Ralf Schräder,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-546/12 P-DEP,ECLI identifier: ECLI:EU:C:2017:460,17/10/2016,14/06/2017,Germany,Levits,Sharpston,PROC
62014CO0064(01),Order of the Court (Third Chamber) of 9 November 2016,Third Chamber,European Central Bank v Sven A, von Storch,Taxation of costs,Case C-64/14 P-DEP,ECLI identifier: ECLI:EU:C:2016:846,18/02/2016,09/11/2016,Germany,Bay Larsen,Campos Sánchez-Bordona,PROC
62015CO0522(01),Order of the Court (Sixth Chamber) of 27 October 2016,Sixth Chamber,Siderurgica Latina Martin SpA (SLM) and Ori Martin SA v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-522/15 P-DEP,ECLI identifier: ECLI:EU:C:2016:831,25/02/2016,27/10/2016,Italy,Regan,Kokott,PROC
62012CO0591,Order of the Court (Sixth Chamber) of 21 July 2016,Sixth Chamber,Panrico; SA v Bimbo; SA,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-591/12 P-DEP,ECLI identifier: ECLI:EU:C:2016:591,12/11/2015,21/07/2016,Spain,Arabadjiev,Mengozzi,PROC
62012CO0546,Order of the Court (Tenth Chamber) of 20 July 2016,Tenth Chamber,Jørn Hansson v Ralf Schräder,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-546/12 P-DEP,ECLI identifier: ECLI:EU:C:2016:594,10/02/2016,20/07/2016,Germany,Levits,Sharpston,PROC
62016CO0157,Order of the Vice-President of the Court of 21 June 2016,,Bundesverband der Pharmazeutischen Industrie e,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-157/16 P(I),ECLI identifier: ECLI:EU:C:2016:476,16/03/2016,21/06/2016,Germany,Tizzano,Wathelet,PROC
62014CO0035(01),Order of the Court (Second Chamber) of 25 February 2016,Second Chamber,  Gamesa Eólica; SL v Enercon GmbH,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-35/14 P-DEP,ECLI identifier: ECLI:EU:C:2016:123,02/10/2015,25/02/2016,Germany,Ilešič,Bot,PROC
62012CO0015,Order of the Court (Ninth Chamber) of 19 February 2016,Ninth Chamber,Council of the European Union v Dashiqiao Sanqiang Refractory Materials Co, Ltd,Taxation of costs,Case C-15/12 P-DEP,ECLI identifier: ECLI:EU:C:2016:113,07/09/2015,19/02/2016,,Lycourgos,Campos Sánchez-Bordona,PROC
62011CO0617(01),Order of the Court (Ninth Chamber) of 14 January 2016,Ninth Chamber,  European Commission v Luigi Marcuccio,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-617/11 P-DEP,ECLI identifier: ECLI:EU:C:2016:17,13/07/2015,14/01/2016,,Juhász,Saugmandsgaard Øe,PROC
62012CO0534(01),Order of the Court (Ninth Chamber) of 14 January 2016,Ninth Chamber,  European Commission v Luigi Marcuccio,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-534/12 P-DEP,ECLI identifier: ECLI:EU:C:2016:19,09/07/2015,14/01/2016,,Juhász,Wathelet,PROC
62013CO0669(01),Order of the Court (Sixth Chamber) of 12 November 2015,Sixth Chamber,AFT Pharmaceuticals Ltd v Mundipharma GmbH,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-669/13 P-DEP,ECLI identifier: ECLI:EU:C:2015:758,16/01/2015,12/11/2015,Germany,Rodin,Wathelet,PROC
62012CO0601,Order of the Court (Seventh Chamber) of 15 October 2015,Seventh Chamber,  Council of the European Union v Ningbo Yonghong Fasteners Co, Ltd,  Taxation of costs,  Case C-601/12 P-DEP,ECLI identifier: ECLI:EU:C:2015:726,22/06/2015,15/10/2015,,da Cruz Vilaça,Bot,PROC
62015CO0418,Order of the Vice-President of the Court of 6 October 2015,,Cap Actions SNCM v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-418/15 P(I),ECLI identifier: ECLI:EU:C:2015:671,29/07/2015,06/10/2015,France,Lenaerts,Wathelet,PROC
62015CO0410,Order of the Vice-President of the Court of 6 October 2015,,Comité d'entreprise de la Société nationale maritime Corse Méditerranée (SNCM) v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-410/15 P(I),ECLI identifier: ECLI:EU:C:2015:669,27/07/2015,06/10/2015,France,Lenaerts,Wathelet,PROC
62013CO0141,Order of the Court (Seventh Chamber) of 26 February 2015,Seventh Chamber,  Wedl & Hofmann GmbH v Reber Holding GmbH & Co, KG,  Taxation of costs,  Case C-141/13 P-DEP,ECLI identifier: ECLI:EU:C:2015:133,03/10/2014,26/02/2015,Austria; Germany,Lycourgos,Bot,PROC
62013CO0435(01),Order of the Court (Second Chamber) of 3 December 2014,Second Chamber,  Qwatchme A/S v Erich Kastenholz,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-435/13 P-DEP,ECLI identifier: ECLI:EU:C:2014:2421,28/08/2014,03/12/2014,Germany,Silva de Lapuerta,Wathelet,PROC
