62017CO0652,Order of the Court (Sixth Chamber) of 12 April 2018,Sixth Chamber,Grupo Osborne SA v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-652/17 P,ECLI identifier: ECLI:EU:C:2018:233,21/11/2017,12/04/2018,Spain,Rodin,Saugmandsgaard Øe,PROP
62017CO0651,Order of the Court (Sixth Chamber) of 12 April 2018,Sixth Chamber,Grupo Osborne SA v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-651/17 P,ECLI identifier: ECLI:EU:C:2018:234,21/11/2017,12/04/2018,Spain,Rodin,Saugmandsgaard Øe,PROP
62017CO0327,Order of the Court (Seventh Chamber) of 12 April 2018,Seventh Chamber,Cryo-Save AG v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-327/17 P,ECLI identifier: ECLI:EU:C:2018:235,31/05/2017,12/04/2018,,Prechal,,PROP
62017CO0642,Order of the Court (Tenth Chamber) of 22 March 2018,Tenth Chamber,Arrigoni SpA v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-642/17 P,ECLI identifier: ECLI:EU:C:2018:219,15/11/2017,22/03/2018,Italy,Borg Barthet,Mengozzi,PROP
62017CO0560,Order of the Court (Eighth Chamber) of 13 March 2018,Eighth Chamber,Mediaexpert sp,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-560/17 P,ECLI identifier: ECLI:EU:C:2018:179,22/09/2017,13/03/2018,Poland,Šváby,Bot,PROP
62017CO0529,Order of the Court (Eighth Chamber) of 22 February 2018,Eighth Chamber,Isabel Martín Osete v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-529/17 P,ECLI identifier: ECLI:EU:C:2018:105,05/09/2017,22/02/2018,France,Malenovský,Wahl,PROP
62017CO0538,Order of the Court (Ninth Chamber) of 30 January 2018,Ninth Chamber,Thomas Murphy v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-538/17 P,ECLI identifier: ECLI:EU:C:2018:47,13/09/2017,30/01/2018,Ireland,Lycourgos,Wathelet,PROP
62017CO0553,Order of the Court (Tenth Chamber) of 24 January 2018,Tenth Chamber,Windfinder R & L Co, KG v European Union Intellectual Property Office,Appeal — Article 181 of the Rules of Procedure of the Court — EU trade mark — Application for the registration of the word mark Windfinder — Absolute grounds for refusal — Regulation (EC) No 207/2009 — Article 7(1)(b) and (c) — Rejection in part of the application,Case C-553/17 P,ECLI identifier: ECLI:EU:C:2018:33,19/09/2017,24/01/2018,Germany,Borg Barthet,Bobek,PROP
62016CO0678,Order of the Court (Eighth Chamber) of 18 January 2018,Eighth Chamber,Monster Energy Company v European Union Intellectual Property Office (EUIPO),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-678/16 P,ECLI identifier: ECLI:EU:C:2018:24,29/12/2016,18/01/2018,,Šváby,Saugmandsgaard Øe,PROP
62017CO0536,Order of the Court (Ninth Chamber) of 17 January 2018,Ninth Chamber,Josel; SL v European Union Intellectual Property Office (EUIPO),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-536/17 P,ECLI identifier: ECLI:EU:C:2018:14,08/09/2017,17/01/2018,Spain,Vajda,Wathelet,PROP
