62016CO0107,Order of the Court (Third Chamber) of 23 November 2017,Third Chamber,Criminal proceedings against Giorgio Fidenato,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-107/16,ECLI identifier: ECLI:EU:C:2017:900,22/02/2016,23/11/2017,Italy,Bay Larsen,Bobek,SANT
62016CO0666,Order of the Court (Sixth Chamber) of 19 July 2017,Sixth Chamber,Lysoform Dr, Hans Rosemann GmbH and Ecolab Deutschland GmbH v European Chemicals Agency (ECHA),Appeal — Article 181 of the Rules of Procedure of the Court of Justice –– Regulation (EU) No 528/2012 — Making available on the market and use of biocidal products — Article 95 — European Chemicals Agency (ECHA) — Publication of a list of active substances — Inclusion of a company as a supplier of an active substance,Case C-666/16 P,ECLI identifier: ECLI:EU:C:2017:569,21/12/2016,19/07/2017,Germany,Fernlund,Sharpston,SANT
62016CO0663,Order of the Court (Sixth Chamber) of 19 July 2017,Sixth Chamber,Lysoform Dr, Hans Rosemann GmbH and Ecolab Deutschland GmbH v European Chemicals Agency (ECHA),Appeal — Article 181 of the Rules of Procedure of the Court of Justice –– Regulation (EU) No 528/2012 — Making available on the market and use of biocidal products — Article 95 — European Chemicals Agency (ECHA) — Publication of a list of active substances — Inclusion of a company as a supplier of an active substance,Case C-663/16 P,ECLI identifier: ECLI:EU:C:2017:568,21/12/2016,19/07/2017,Germany,Fernlund,Sharpston,SANT
62016CO0497,Order of the Court (Eighth Chamber) of 2 March 2017,Eighth Chamber,Criminal proceedings against Juraj Sokáč,Request for a preliminary ruling from the Nejvyšší soud,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court of Justice — Drug precursors — Regulation (EC) No 273/2004 — Article 2(a) — Definition of ‘scheduled substance’ — Exclusion of medicinal products — Directive 2001/83/EC — Article 1(2) — Definition of ‘medicinal product’ — Medicinal product containing ephedrine or pseudoephedrine — Regulation (EC) No 111/2005 — Article 2(a) — Definition of ‘scheduled substance’ — Annex — Inclusion of medicinal products containing ephedrine or pseudoephedrine — No effect on the scope of Regulation (EC) No 273/2004,Case C-497/16,ECLI identifier: ECLI:EU:C:2017:171,12/09/2016,02/03/2017,Czech Republic,Šváby,Szpunar,SANT
62015CO0637,Order of the Court (Eighth Chamber) of 25 October 2016,Eighth Chamber,VSM Geneesmiddelen BV v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-637/15 P,ECLI identifier: ECLI:EU:C:2016:812,01/12/2015,25/10/2016,Netherlands,Safjan,Bot,SANT
62015CO0604,Order of the Court (Fifth Chamber) of 12 July 2016,Fifth Chamber,Ana Pérez Gutiérrez v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-604/15 P,ECLI identifier: ECLI:EU:C:2016:545,15/11/2015,12/07/2016,Spain,da Cruz Vilaça,Bobek,SANT
62013CO0288,Order of the Court (Eighth Chamber) of 4 September 2014,Eighth Chamber,Rütgers Germany GmbH and Others v European Chemicals Agency (ECHA),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑288/13 P,ECLI identifier: ECLI:EU:C:2014:2176,16/05/2013,04/09/2014,Germany; Czech Republic; Spain; Belgium,Fernlund,Jääskinen,SANT
62013CO0289,Order of the Court (Eighth Chamber) of 4 September 2014,Eighth Chamber,Cindu Chemicals BV and Others v European Chemicals Agency (ECHA),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑289/13 P,ECLI identifier: ECLI:EU:C:2014:2175,16/05/2013,04/09/2014,United Kingdom; Czech Republic; Netherlands; Denmark,Fernlund,Jääskinen,SANT
62013CO0290,Order of the Court (Eighth Chamber) of 4 September 2014,Eighth Chamber,Rütgers Germany GmbH and Others v European Chemicals Agency (ECHA),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑290/13 P,ECLI identifier: ECLI:EU:C:2014:2174,16/05/2013,04/09/2014,Czech Republic; Germany; United Kingdom; Belgium; Denmark,Fernlund,Jääskinen,SANT
62014CO0181,Order of the President of the Court; 6 May 2014,,G,Reference for a preliminary ruling from the Bundesgerichtshof,Expedited procedure,Case C‑181/14,ECLI identifier: ECLI:EU:C:2014:740,14/04/2014,06/05/2014,Germany,Malenovský,Bot,SANT
