source,target,paragraph
62007CO0023,61989CJ0309,N88
62007CO0023,62003CJ0347,N86
62007CO0023,62003CJ0347,N99
62007CO0023,62003CJ0347,N100
62007CO0023,62003CJ0347,N101
62007CO0023,62003CJ0347,N102
62007CO0023,62005CJ0222,N48
62007CO0023,62005CJ0222,N52
62002CO0296,61995CO0149,NN70
62000CO0030,61987CJ0265,N59
62000CO0030,61989CJ0348,N70
62000CO0030,61993CJ0415,N37
62000CO0030,61994CJ0295,N59
62000CO0030,61996CJ0370,N71
62000CO0030,61996CJ0370,N73
62000CO0030,61999CJ0015,N68
62000CO0030,61999CJ0015,N69
62000CO0030,61999CJ0015,N72
62000CO0030,61999CJ0340,N37
61993CO0107(01),61993CO0107,N5
61993CO0107,61992CO0131,N13
61993CO0107,61992CO0131,N15
61986CO0117(01),61962CJ0016,N12
61986CO0117(01),61979CJ0789,N8
61986CO0117,61962CJ0016,N31
61986CO0117,61970CJ0011,N18
61986CO0117,61972CO0075,N31
61986CO0117,61979CO0060,N31
61986CO0117,61980CO0186,N31
61986CO0117,61986CO0023,N31
61986CO0119,61970CJ0011,N18
62016CO0107,62016CJ0111,N28
62016CO0107,62016CJ0111,N34
62016CO0107,62016CJ0111,N38
62016CO0107,62016CJ0111,N40
62016CO0107,62016CJ0111,N42
62016CO0107,62016CJ0111,N32
62016CO0107,62016CJ0111,N31
62016CO0107,62016CJ0111,N35
62016CO0107,62016CJ0111,N51
62016CO0107,62016CJ0111,N43
62016CO0107,62016CJ0111,N53
62016CO0107,62016CJ0111,N44
62016CO0107,62016CJ0111,N33
62016CO0107,62016CJ0111,N25
62016CO0280,61962CJ0025,N62
62016CO0280,62011CJ0583,N75
62016CO0280,62011CJ0583,N66
62016CO0280,62012CJ0274,N30
62016CO0280,62012CJ0274,N36
62016CO0280,62012CJ0274,N31
62016CO0280,62012CJ0274,N37
62016CO0280,62012CJ0274,N47
62016CO0280,62012CJ0274,N63
62016CO0280,62013CJ0456,N31
62016CO0280,62013CJ0456,N55
62016CO0280,62013CJ0456,N42
62016CO0280,62013CJ0456,N38
62016CO0280,62013CJ0456,N32
62016CO0280,62013CJ0456,N36
62016CO0280,62013CJ0456,N41
62016CO0280,62014CJ0033,N93
62016CO0280,62014CJ0033,N62
62016CO0280,62014CJ0033,N91
62016CO0280,62014CJ0033,N33
62016CO0280,62014CJ0033,N59
62016CO0280,62014CJ0553,N44
62016CO0280,62014CJ0553,N36
62016CO0280,62014CJ0553,N46
62016CO0280,62014CJ0553,N38
62016CO0280,62014CJ0553,N45
62016CO0280,62014CJ0553,N37
62016CO0280,62014CO0084,N44
62016CO0280,62014CO0084,N38
62016CO0280,62014CO0084,N52
62016CO0280,62014CO0084,N37
62016CO0280,62014CO0084,N54
62016CO0280,62014CO0084,N46
62016CO0280,62014CO0541,N20
62016CO0280,62014CO0541,N33
62016CO0280,62014CO0541,N21
62016CO0280,62014CO0541,N62
62016CO0280,62014CO0541,N43
62016CO0280,62014CO0541,N36
62016CO0280,62016CJ0078,N55
62012CO0546,62005CO0075,N44
62012CO0546,62005CO0075,N29
62012CO0546,62009CO0038,N37
62012CO0546,62009CO0038,N27
62012CO0546,62009CO0038,N28
62012CO0546,62009CO0038,N18
62012CO0546,62009CO0038,N25
62012CO0546,62009CO0038,N16
62012CO0546,62009CO0038,N42
62012CO0546,62009CO0038,N32
62012CO0546,62012CJ0546,N3
62012CO0546,62013CO0669(01),N10
62012CO0546,62013CO0669,N15
62012CO0546,62013CO0669(01),N18
62012CO0546,62013CO0669,N21
62012CO0546,62014CO0035(01),N14
62012CO0546,62014CO0035,N13
62012CO0546,62014CO0035(01),N17
62012CO0546,62014CO0035,N17
62016CO0134(01),61999CO0065,N14
62016CO0134(01),61999CO0065,N23
62016CO0134(01),62011CO0593,N27
62016CO0134(01),62011CO0593,N46
62016CO0134(01),62011CO0593,N28
62016CO0134(01),62011CO0593,N47
62016CO0134(01),62016CO0134,N21
62015CO0462,61980CJ0036,N13
62015CO0462,61980CJ0036,N30
62015CO0462,61982CJ0297,N8
62015CO0462,61982CJ0297,N30
62015CO0462,62002CJ0312,N22
