source,ruling_title,chamber,ruling_name,ruling_type,ruling_content,case_label,ecli,lodge_date,document_date,country,judge,advocate,main_subject
62010CO0028,Order of the Court (Second Chamber) of 2 September 2010,Second Chamber,  Mehmet Salih Bayramoglu v European Parliament and Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-28/10 P,ECLI identifier: ECLI:EU:C:2010:493,20/11/2009,02/09/2010,Cyprus,Cunha Rodrigues,Jääskinen,ADH
62007CO0023,Order of the Court (Second Chamber) of 12 June 2008,Second Chamber,Confcooperative Friuli Venezia Giulia and Others v Ministero delle Politiche agricole; alimentari e forestali and Regione Friuli-Venezia Giulia,Reference for a preliminary ruling: Tribunale amministrativo regionale del Lazio - Italy,Agriculture - Regulations (EC) Nos 1493/1999; 753/2002 and 1429/2004 - Common organisation of the market in wine - Labelling of wines - Use of names of vine varieties or synonyms thereof - Geographical indication 'Tokaj' for wines originating in Hungary - Possible use of vine variety name 'Tocai friulano' or 'Tocai italico' in addition to the geographical indication of certain wines originating in Italy - Exclusion after a transitional period of thirteen years expiring on 31 March 2007 - Validity - Legal basis - Article 34 EC - Principle of non-discrimination - Principles of international law on treaties - Accession of Hungary to the European Union - Articles 22 to 24 of the TRIPs Agreement,Joined cases C-23/07 and C-24/07,ECLI identifier: ECLI:EU:C:2008:341,25/01/2007,12/06/2008,Italy,Timmermans,Sharpston,ADH
62001CO0321,Order of the Court (Third Chamber) of 5 November 2002,Third Chamber,  Agrana Zucker und Stärke AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-321/01 P,ECLI identifier: ECLI:EU:C:2002:635,20/08/2001,05/11/2002,Austria,Cunha Rodrigues,Jacobs,ADH
62002CO0296,Order of the President of the Court of 23 October 2002,,  Republic of Austria v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-296/02 R,ECLI identifier: ECLI:EU:C:2002:609,20/08/2002,23/10/2002,Austria,Cunha Rodrigues,Mischo,ADH
62000CO0030,Order of the Court (First Chamber) of 11 October 2001,First Chamber,  William Hinton & Sons Ldª v Fazenda Pública,  Reference for a preliminary ruling: Supremo Tribunal Administrativo - Portugal,  Article 104(3) of the Rules of Procedure - Post-clearance recovery of import duties - Entry in the accounts of the import duties to be collected - Expiry of the time-limit for taking action for recovery - Article 254 of the Act of Accession of Spain and Portugal - Obligation incumbent on the Portuguese Republic to proceed; at its own costs; to the elimination of certain stocks of product,  Case C-30/00,ECLI identifier: ECLI:EU:C:2001:536,04/02/2000,11/10/2001,Portugal,Jann,Tizzano,ADH
61993CO0107(01),Order of the President of the Court of 16 July 1993,,  Asociación Española de Fabricantes de Margarina v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-107/93 R,ECLI identifier: ECLI:EU:C:1993:326,24/03/1993,16/07/1993,Spain,Murray,Darmon,ADH
61993CO0107,Order of the Court of 12 July 1993,,  Asociación Española de Fabricantes de Margarina v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-107/93,ECLI identifier: ECLI:EU:C:1993:301,24/03/1993,12/07/1993,Spain,Murray,Darmon,ADH
61986CO0117(01),Order of the Court of 5 November 1986,,  § Unión de Federaciones Agrarias de España (UFADE) v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 117/86,ECLI identifier: ECLI:EU:C:1986:419,20/05/1986,05/11/1986,Spain,Koopmans,Darmon,ADH
61986CO0128,Order of the President of the Court of 10 July 1986,,  Kingdom of Spain v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 128/86 R,ECLI identifier: ECLI:EU:C:1986:318,09/06/1986,10/07/1986,Spain,Koopmans,Darmon,ADH
61986CO0117,Order of the President of the Court of 10 July 1986,,  Union de Federaciones Agrarias de España (UFADE) v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 117/86 R,ECLI identifier: ECLI:EU:C:1986:317,25/06/1986,10/07/1986,Spain,Koopmans,Darmon,ADH
