62016CO0491,Own resources
62016CO0491,economic; social and territorial cohesion
62016CO0491,European Social Fund (ESF)
62016CO0491,European Regional Development Fund (ERDF)
62016CO0491,Cohesion Fund
62016CO0491,Financial provisions
62013CO0175,Provisions governing the Institutions
62013CO0175,European Social Fund (ESF)
62013CO0175,economic; social and territorial cohesion
62013CO0175,Cohesion Fund
62013CO0175,European Regional Development Fund (ERDF)
62011CO0586,economic; social and territorial cohesion
62011CO0586,European Regional Development Fund (ERDF)
62011CO0242,European Regional Development Fund (ERDF)
62011CO0242,economic; social and territorial cohesion
62011CO0627,economic; social and territorial cohesion
62011CO0627,General provisions
62011CO0497,European Regional Development Fund (ERDF)
62011CO0497,economic; social and territorial cohesion
62009CO0043,Cohesion Fund
62009CO0043,economic; social and territorial cohesion
62008CO0501,Environment
62008CO0501,Cohesion Fund
62008CO0501,economic; social and territorial cohesion
62006CO0363,Cohesion Fund
62006CO0363,Procedural provisions
62006CO0363,economic; social and territorial cohesion
61999CO0107,European Regional Development Fund (ERDF)
61999CO0107,economic; social and territorial cohesion
61997CO0239,economic; social and territorial cohesion
61997CO0239,European Regional Development Fund (ERDF)
61994CO0325,Approximation of laws
61994CO0325,economic; social and territorial cohesion
61994CO0325,POLL
61994CO0325,European Regional Development Fund (ERDF)
61994CO0325,Environment
